time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738224726136721134,0,0,0,0,0,0,0,0,0,2.043,-0.3643,6.953,0.3555,1.152,0.0625,-0.06204,0.168,0.0302,1.999,-0.06635,7.0,0.03317,0.9995,0.0,0.0
1738224726186716318,0,0,0,0,0,0,0,0,0,2.059,-0.3096,6.953,0.3438,1.152,0.0625,-0.0626,0.1702,0.03021,2.0,0.0,7.0,-0.0,1.0,0.0,0.0
1738224726236710548,0,0,0,0,0,0,0,0,0,2.074,-0.2482,6.957,0.3008,1.148,0.04688,-0.06213,0.1777,0.03052,2.0,0.0,7.0,-0.0,1.0,0.0,0.0
1738224726286712646,0,0,0,0,0,0,0,0,0,2.088,-0.1979,6.96,0.2852,1.152,0.04297,-0.06235,0.1813,0.0304,1.997,0.1,7.0,-0.05,0.9985,0.0,0.0
1738224726336717605,0,0,0,0,0,0,0,0,0,2.104,-0.1316,6.97,0.2578,1.152,0.05078,-0.06158,0.1873,0.03004,1.997,0.1,7.0,-0.05,0.9985,0.0,0.0
1738224726386713266,0,0,0,0,0,0,0,0,0,2.115,-0.0689,6.97,0.2344,1.152,0.0547,-0.06238,0.1892,0.03027,1.99,0.1997,7.0,-0.09985,0.995,0.0,0.0
1738224726436713218,0,0,0,0,0,0,0,0,0,2.125,-0.01866,6.965,0.1992,1.156,0.04297,-0.0689,0.1935,0.03099,1.99,0.1997,7.0,-0.09985,0.995,0.0,0.0
1738224726486729145,0,0,0,0,0,0,0,0,0,2.125,-0.01866,6.965,0.1992,1.156,0.04297,-0.0689,0.1935,0.03099,1.978,0.2988,7.0,-0.1494,0.989,0.0,0.0
1738224726536726474,0,0,0,0,0,0,0,0,0,2.145,0.1073,6.965,0.1797,1.152,0.03906,-0.07135,0.1959,0.03079,1.978,0.2988,7.0,-0.1494,0.989,0.0,0.0
1738224726586726427,0,0,0,0,0,0,0,0,0,2.15,0.1605,6.97,0.1445,1.152,0.05078,-0.0733,0.2019,0.031,1.96,0.3972,7.0,-0.1986,0.98,0.0,0.0
1738224726636712789,0,0,0,0,0,0,0,0,0,2.156,0.2191,6.98,0.09375,1.145,0.05078,-0.0837,0.2094,0.0299,1.96,0.3972,7.0,-0.1986,0.98,0.0,0.0
1738224726686712980,0,0,0,0,0,0,0,0,0,2.16,0.2566,6.98,0.08203,1.129,0.03906,-0.0862,0.2107,0.03046,1.9375,0.4949,7.0,-0.2474,0.9688,0.0,0.0
1738224726736708402,0,0,0,0,0,0,0,0,0,2.162,0.3223,6.98,0.04688,1.117,0.02734,-0.0917,0.2161,0.03134,1.9375,0.4949,7.0,-0.2474,0.9688,0.0,0.0
1738224726786707878,0,0,0,0,0,0,0,0,0,2.162,0.3223,6.98,0.04688,1.117,0.02734,-0.0917,0.2161,0.03134,1.911,0.591,7.0,-0.2954,0.9556,0.0,0.0
1738224726836704730,0,0,0,0,0,0,0,0,0,2.164,0.441,6.98,0.01953,1.109,0.02344,-0.093,0.2191,0.0313,1.911,0.591,7.0,-0.2954,0.9556,0.0,0.0
1738224726886713504,0,0,0,0,0,0,0,0,0,2.164,0.4927,6.98,-0.05078,1.074,0.04688,-0.09534,0.2291,0.0316,1.879,0.686,7.0,-0.343,0.9395,0.0,0.0
1738224726936705827,0,0,0,0,0,0,0,0,0,2.162,0.517,6.98,-0.0703,1.066,0.04688,-0.0997,0.2306,0.03041,1.879,0.686,7.0,-0.343,0.9395,0.0,0.0
1738224726986712217,0,0,0,0,0,0,0,0,0,2.154,0.5923,6.984,-0.09375,1.055,0.04688,-0.1031,0.2325,0.03004,1.842,0.779,7.0,-0.3894,0.921,0.0,0.0
1738224727036697864,0,0,0,0,0,0,0,0,0,2.154,0.5923,6.984,-0.09375,1.055,0.04688,-0.1031,0.2325,0.03004,1.842,0.779,7.0,-0.3894,0.921,0.0,0.0
1738224727086708068,0,0,0,0,0,0,0,0,0,2.139,0.709,6.98,-0.2227,0.996,0.03516,-0.1075,0.2444,0.0288,1.801,0.87,7.0,-0.435,0.9004,0.0,0.0
1738224727136717319,0,0,0,0,0,0,0,0,0,2.125,0.7573,6.98,-0.2773,0.9688,0.04297,-0.1059,0.2473,0.0286,1.801,0.87,7.0,-0.435,0.9004,0.0,0.0
