time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738224637647162199,0,0,0,0,0,0,0,0,0,1.498,-1.179,6.945,0.8086,0.6953,0.1523,-0.1353,0.06042,-0.007523,1.999,-0.06635,7.0,0.03317,0.9995,0.0,0.0
1738224637697140693,0,0,0,0,0,0,0,0,0,1.526,-1.153,6.945,0.789,0.6875,0.1719,-0.1294,0.065,-0.007027,2.0,0.0,7.0,-0.0,1.0,0.0,0.0
1738224637747149467,0,0,0,0,0,0,0,0,0,1.575,-1.109,6.94,0.75,0.6875,0.2031,-0.1199,0.07684,-0.00535,2.0,0.0,7.0,-0.0,1.0,0.0,0.0
1738224637797127008,0,0,0,0,0,0,0,0,0,1.603,-1.083,6.94,0.715,0.6953,0.2148,-0.11536,0.0814,-0.004704,1.997,0.1,7.0,-0.05,0.9985,0.0,0.0
1738224637847159385,0,0,0,0,0,0,0,0,0,1.643,-1.042,6.95,0.676,0.699,0.2148,-0.11194,0.08655,-0.005222,1.997,0.1,7.0,-0.05,0.9985,0.0,0.0
1738224637897143840,0,0,0,0,0,0,0,0,0,1.666,-1.017,6.953,0.6562,0.703,0.2109,-0.1136,0.0868,-0.005547,1.99,0.1997,7.0,-0.09985,0.995,0.0,0.0
1738224637947141170,0,0,0,0,0,0,0,0,0,1.689,-0.99,6.96,0.633,0.707,0.1953,-0.1154,0.08606,-0.005463,1.99,0.1997,7.0,-0.09985,0.995,0.0,0.0
1738224637997131824,0,0,0,0,0,0,0,0,0,1.689,-0.99,6.96,0.633,0.707,0.1953,-0.1154,0.08606,-0.005463,1.978,0.2988,7.0,-0.1494,0.989,0.0,0.0
1738224638047131299,0,0,0,0,0,0,0,0,0,1.773,-0.895,6.953,0.6133,0.699,0.1875,-0.1171,0.0843,-0.00629,1.978,0.2988,7.0,-0.1494,0.989,0.0,0.0
1738224638097125530,0,0,0,0,0,0,0,0,0,1.797,-0.864,6.957,0.5273,0.7344,0.1953,-0.11206,0.07916,-0.005424,1.96,0.3972,7.0,-0.1986,0.98,0.0,0.0
1738224638147135972,0,0,0,0,0,0,0,0,0,1.82,-0.8306,6.957,0.496,0.75,0.1875,-0.1043,0.08466,-0.003933,1.96,0.3972,7.0,-0.1986,0.98,0.0,0.0
1738224638197143316,0,0,0,0,0,0,0,0,0,1.84,-0.7983,6.957,0.4766,0.7656,0.1836,-0.1027,0.08527,-0.003897,1.9375,0.4949,7.0,-0.2474,0.9688,0.0,0.0
1738224638247145414,0,0,0,0,0,0,0,0,0,1.867,-0.752,6.97,0.4453,0.7773,0.1836,-0.0955,0.0824,-0.007,1.9375,0.4949,7.0,-0.2474,0.9688,0.0,0.0
1738224638297128438,0,0,0,0,0,0,0,0,0,1.884,-0.7217,6.97,0.4336,0.785,0.1758,-0.09845,0.0804,-0.00825,1.911,0.591,7.0,-0.2954,0.9556,0.0,0.0
1738224638347153425,0,0,0,0,0,0,0,0,0,1.91,-0.6714,6.98,0.4023,0.793,0.168,-0.10205,0.0802,-0.009605,1.911,0.591,7.0,-0.2954,0.9556,0.0,0.0
1738224638397140502,0,0,0,0,0,0,0,0,0,1.924,-0.6426,6.984,0.3867,0.8125,0.1641,-0.10223,0.08374,-0.0093,1.879,0.686,7.0,-0.343,0.9395,0.0,0.0
1738224638447145223,0,0,0,0,0,0,0,0,0,1.947,-0.5874,6.992,0.3477,0.824,0.1523,-0.09076,0.0971,-0.007835,1.879,0.686,7.0,-0.343,0.9395,0.0,0.0
1738224638497152328,0,0,0,0,0,0,0,0,0,1.961,-0.5522,7.0,0.3281,0.836,0.1367,-0.08856,0.0979,-0.00838,1.842,0.779,7.0,-0.3894,0.921,0.0,0.0
1738224638547137737,0,0,0,0,0,0,0,0,0,1.978,-0.507,7.01,0.2969,0.8516,0.09375,-0.09186,0.0985,-0.00857,1.842,0.779,7.0,-0.3894,0.921,0.0,0.0
1738224638597120523,0,0,0,0,0,0,0,0,0,1.992,-0.4585,7.016,0.2617,0.875,0.0664,-0.0929,0.0985,-0.00899,1.801,0.87,7.0,-0.435,0.9004,0.0,0.0
1738224638647145271,0,0,0,0,0,0,0,0,0,2.004,-0.4153,7.023,0.2383,0.8867,0.03906,-0.09674,0.0999,-0.0101,1.801,0.87,7.0,-0.435,0.9004,0.0,0.0
1738224638697153091,0,0,0,0,0,0,0,0,0,2.012,-0.3804,7.027,0.2188,0.8945,0.01563,-0.09625,0.10077,-0.00975,1.755,0.959,7.0,-0.4795,0.8774,0.0,0.0
1738224638747151613,0,0,0,0,0,0,0,0,0,2.023,-0.329,7.027,0.1875,0.91,-0.0,-0.0938,0.1031,-0.01011,1.755,0.959,7.0,-0.4795,0.8774,0.0,0.0
1738224638797132253,0,0,0,0,0,0,0,0,0,2.031,-0.276,7.027,0.1445,0.9375,-0.0,-0.08905,0.1081,-0.011185,1.705,1.045,7.0,-0.5225,0.8525,0.0,0.0
1738224638847126245,0,0,0,0,0,0,0,0,0,2.037,-0.235,7.027,0.10547,0.961,-0.003906,-0.08154,0.1176,-0.00799,1.705,1.045,7.0,-0.5225,0.8525,0.0,0.0
1738224638897137880,0,0,0,0,0,0,0,0,0,2.037,-0.235,7.027,0.10547,0.961,-0.003906,-0.08154,0.1176,-0.00799,1.65,1.129,7.0,-0.5645,0.825,0.0,0.0
1738224638947139263,0,0,0,0,0,0,0,0,0,2.037,-0.235,7.027,0.10547,0.961,-0.003906,-0.08154,0.1176,-0.00799,1.65,1.129,7.0,-0.5645,0.825,0.0,0.0
1738224638997138261,0,0,0,0,0,0,0,0,0,2.049,-0.0889,7.03,0.0742,0.9805,-0.003906,-0.07947,0.1185,-0.00778,1.592,1.21,7.0,-0.605,0.796,0.0,0.0
1738224639047138929,0,0,0,0,0,0,0,0,0,2.049,-0.02141,7.03,0.0,1.035,-0.03125,-0.09106,0.1094,-0.006336,1.592,1.21,7.0,-0.605,0.796,0.0,0.0
1738224639097137212,0,0,0,0,0,0,0,0,0,2.049,0.01227,7.03,-0.01563,1.043,-0.02344,-0.09686,0.1084,-0.00685,1.529,1.288,7.0,-0.644,0.7646,0.0,0.0
1738224639147156476,0,0,0,0,0,0,0,0,0,2.047,0.0753,7.035,-0.03906,1.047,-0.02734,-0.1065,0.109,-0.00594,1.529,1.288,7.0,-0.644,0.7646,0.0,0.0
1738224639197138786,0,0,0,0,0,0,0,0,0,2.047,0.0753,7.035,-0.03906,1.047,-0.02734,-0.1065,0.109,-0.00594,1.463,1.363,7.0,-0.6816,0.7314,0.0,0.0
1738224639247145414,0,0,0,0,0,0,0,0,0,2.047,0.0753,7.035,-0.03906,1.047,-0.02734,-0.1065,0.109,-0.00594,1.463,1.363,7.0,-0.6816,0.7314,0.0,0.0
1738224639297136068,0,0,0,0,0,0,0,0,0,2.037,0.2379,7.03,-0.0586,1.047,-0.03125,-0.10913,0.1087,-0.005455,1.394,1.435,7.0,-0.7173,0.697,0.0,0.0
1738224639347128152,0,0,0,0,0,0,0,0,0,2.033,0.2817,7.03,-0.09375,1.051,-0.0547,-0.11084,0.1064,-0.0075,1.394,1.435,7.0,-0.7173,0.697,0.0,0.0
1738224639397130012,0,0,0,0,0,0,0,0,0,2.027,0.338,7.027,-0.1211,1.031,-0.0625,-0.1293,0.10767,-0.00771,1.32,1.503,7.0,-0.7515,0.66,0.0,0.0
1738224639447150230,0,0,0,0,0,0,0,0,0,2.021,0.3796,7.027,-0.1406,1.02,-0.0625,-0.1333,0.1114,-0.007442,1.32,1.503,7.0,-0.7515,0.66,0.0,0.0
1738224639497138261,0,0,0,0,0,0,0,0,0,2.016,0.4246,7.023,-0.1484,1.012,-0.0586,-0.1332,0.11127,-0.00755,1.243,1.566,7.0,-0.783,0.6216,0.0,0.0
1738224639547134637,0,0,0,0,0,0,0,0,0,2.008,0.4768,7.02,-0.168,0.992,-0.05078,-0.1329,0.11475,-0.006664,1.243,1.566,7.0,-0.783,0.6216,0.0,0.0
1738224639597134828,0,0,0,0,0,0,0,0,0,1.996,0.532,7.016,-0.1992,0.9844,-0.04688,-0.1317,0.11816,-0.00682,1.163,1.627,7.0,-0.8135,0.5815,0.0,0.0
1738224639647151947,0,0,0,0,0,0,0,0,0,1.988,0.565,7.008,-0.207,0.9766,-0.04297,-0.1321,0.12476,-0.007645,1.163,1.627,7.0,-0.8135,0.5815,0.0,0.0
1738224639697156429,0,0,0,0,0,0,0,0,0,1.974,0.6265,7.004,-0.2383,0.965,-0.0,-0.127,0.1322,-0.007557,1.081,1.683,7.0,-0.8413,0.5405,0.0,0.0
1738224639747121572,0,0,0,0,0,0,0,0,0,1.958,0.687,7.004,-0.2656,0.961,0.01953,-0.1179,0.1367,-0.007225,1.081,1.683,7.0,-0.8413,0.5405,0.0,0.0
1738224639797134399,0,0,0,0,0,0,0,0,0,1.958,0.687,7.004,-0.2656,0.961,0.01953,-0.1179,0.1367,-0.007225,0.995,1.734,7.0,-0.867,0.4976,0.0,0.0
1738224639847148895,0,0,0,0,0,0,0,0,0,1.958,0.687,7.004,-0.2656,0.961,0.01953,-0.1179,0.1367,-0.007225,0.995,1.734,7.0,-0.867,0.4976,0.0,0.0
1738224639897163867,0,0,0,0,0,0,0,0,0,1.914,0.8325,7.008,-0.3203,0.9805,0.02344,-0.11176,0.143,-0.00752,0.907,1.782,7.0,-0.891,0.4536,0.0,0.0
1738224639947177886,0,0,0,0,0,0,0,0,0,1.895,0.8857,7.016,-0.3906,0.996,0.01563,-0.11725,0.1632,-0.01034,0.907,1.782,7.0,-0.891,0.4536,0.0,0.0
1738224639997169733,0,0,0,0,0,0,0,0,0,1.885,0.9097,7.016,-0.418,0.992,0.01172,-0.1251,0.1688,-0.01084,0.817,1.825,7.0,-0.9126,0.4084,0.0,0.0
1738224640047155380,0,0,0,0,0,0,0,0,0,1.852,0.9795,7.02,-0.496,0.996,0.01172,-0.128,0.1786,-0.00989,0.817,1.825,7.0,-0.9126,0.4084,0.0,0.0
1738224640097179412,0,0,0,0,0,0,0,0,0,1.852,0.9795,7.02,-0.496,0.996,0.01172,-0.128,0.1786,-0.00989,0.7246,1.864,7.0,-0.932,0.3623,0.0,0.0
1738224640147175073,0,0,0,0,0,0,0,0,0,1.852,0.9795,7.02,-0.496,0.996,0.01172,-0.128,0.1786,-0.00989,0.7246,1.864,7.0,-0.932,0.3623,0.0,0.0
1738224640197172403,0,0,0,0,0,0,0,0,0,1.852,0.9795,7.02,-0.496,0.996,0.01172,-0.128,0.1786,-0.00989,0.631,1.898,7.0,-0.949,0.3154,0.0,0.0
1738224640247140407,0,0,0,0,0,0,0,0,0,1.746,1.173,7.027,-0.633,0.996,-0.0,-0.1421,0.1696,-0.009384,0.631,1.898,7.0,-0.949,0.3154,0.0,0.0
1738224640297123432,0,0,0,0,0,0,0,0,0,1.712,1.223,7.023,-0.6836,0.953,-0.02344,-0.1642,0.14,-0.0049,0.535,1.927,7.0,-0.9634,0.2676,0.0,0.0
1738224640347122669,0,0,0,0,0,0,0,0,0,1.677,1.2705,7.027,-0.6875,0.918,-0.01953,-0.1755,0.1301,-0.004223,0.535,1.927,7.0,-0.9634,0.2676,0.0,0.0
1738224640397145748,0,0,0,0,0,0,0,0,0,1.646,1.309,7.023,-0.715,0.9023,-0.02344,-0.1796,0.1278,-0.003164,0.438,1.951,7.0,-0.9756,0.219,0.0,0.0
1738224640447152376,0,0,0,0,0,0,0,0,0,1.606,1.356,7.023,-0.7305,0.8633,-0.01172,-0.178,0.1316,-0.003902,0.438,1.951,7.0,-0.9756,0.219,0.0,0.0
1738224640497153759,0,0,0,0,0,0,0,0,0,1.58,1.387,7.027,-0.7344,0.8516,-0.007812,-0.1736,0.1372,-0.003357,0.3398,1.971,7.0,-0.9854,0.1699,0.0,0.0
1738224640547163248,0,0,0,0,0,0,0,0,0,1.528,1.443,7.016,-0.754,0.793,-0.01953,-0.174,0.1473,-0.004883,0.3398,1.971,7.0,-0.9854,0.1699,0.0,0.0
1738224640597156524,0,0,0,0,0,0,0,0,0,1.502,1.469,7.01,-0.7695,0.7617,-0.01953,-0.1816,0.1515,-0.004604,0.241,1.985,7.0,-0.9927,0.1205,0.0,0.0
1738224640647163867,0,0,0,0,0,0,0,0,0,1.454,1.514,7.008,-0.797,0.715,-0.0,-0.1843,0.1475,-0.005417,0.241,1.985,7.0,-0.9927,0.1205,0.0,0.0
