time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762174256327195882,0,0,0,0,0,0,0,0,0,2.121,-0.3467,9.96,0.2148,1.047,-0.02344,0.033,0.1439,-0.0297,1.999,-0.06635,10.0,0.03317,0.9995,0.0,0.0
1762174256377182722,0,0,0,0,0,0,0,0,0,2.13,-0.2974,9.96,0.1992,1.047,-0.02734,0.03305,0.1461,-0.03003,2.0,0.0,10.0,-0.0,1.0,0.0,0.0
1762174256427187919,0,0,0,0,0,0,0,0,0,2.135,-0.266,9.97,0.1836,1.043,-0.02344,0.03366,0.1483,-0.02982,2.0,0.0,10.0,-0.0,1.0,0.0,0.0
1762174256477179050,0,0,0,0,0,0,0,0,0,2.146,-0.1846,9.97,0.1406,1.055,-0.02734,0.0351,0.154,-0.02925,1.997,0.1,10.0,-0.05,0.9985,0.0,0.0
1762174256527195930,0,0,0,0,0,0,0,0,0,2.152,-0.1338,9.97,0.08594,1.055,-0.03125,0.03577,0.1571,-0.02953,1.997,0.1,10.0,-0.05,0.9985,0.0,0.0
1762174256577193021,0,0,0,0,0,0,0,0,0,2.154,-0.09314,9.97,0.0703,1.059,-0.03516,0.03494,0.1582,-0.02908,1.99,0.1997,10.0,-0.09985,0.995,0.0,0.0
1762174256627187728,0,0,0,0,0,0,0,0,0,2.156,-0.03293,9.96,0.02344,1.066,-0.03516,0.03522,0.1586,-0.02856,1.99,0.1997,10.0,-0.09985,0.995,0.0,0.0
1762174256677190065,0,0,0,0,0,0,0,0,0,2.156,0.007587,9.96,0.0,1.074,-0.02734,0.03607,0.1584,-0.02849,1.978,0.2988,10.0,-0.1494,0.989,0.0,0.0
1762174256727190256,0,0,0,0,0,0,0,0,0,2.154,0.0711,9.97,-0.05078,1.074,-0.01953,0.03644,0.1593,-0.02832,1.96,0.3972,10.0,-0.1986,0.98,0.0,0.0
1762174256777189493,0,0,0,0,0,0,0,0,0,2.152,0.1124,9.97,-0.0664,1.082,-0.02344,0.03568,0.1602,-0.02875,1.96,0.3972,10.0,-0.1986,0.98,0.0,0.0
1762174256827196359,0,0,0,0,0,0,0,0,0,2.145,0.1913,9.96,-0.1172,1.09,-0.03125,0.03226,0.1616,-0.02814,1.96,0.3972,10.0,-0.1986,0.98,0.0,0.0
1762174256877202510,0,0,0,0,0,0,0,0,0,2.14,0.2208,9.96,-0.1289,1.09,-0.03125,0.03067,0.1603,-0.02827,1.9375,0.4949,10.0,-0.2474,0.9688,0.0,0.0
1762174256927178144,0,0,0,0,0,0,0,0,0,2.14,0.2208,9.96,-0.1289,1.09,-0.03125,0.03067,0.1603,-0.02827,1.9375,0.4949,10.0,-0.2474,0.9688,0.0,0.0
1762174256977189064,0,0,0,0,0,0,0,0,0,2.121,0.3591,9.96,-0.1562,1.094,-0.02734,0.02934,0.1587,-0.02829,1.911,0.591,10.0,-0.2954,0.9556,0.0,0.0
1762174257027183294,0,0,0,0,0,0,0,0,0,2.113,0.4048,9.96,-0.2188,1.082,-0.01953,0.0247,0.156,-0.02856,1.911,0.591,10.0,-0.2954,0.9556,0.0,0.0
1762174257077192544,0,0,0,0,0,0,0,0,0,2.096,0.4768,9.95,-0.2695,1.078,-0.01953,0.02028,0.1555,-0.02892,1.879,0.686,10.0,-0.343,0.9395,0.0,0.0
1762174257127188682,0,0,0,0,0,0,0,0,0,2.086,0.514,9.95,-0.3047,1.0625,-0.01172,0.0178,0.1543,-0.02936,1.879,0.686,10.0,-0.343,0.9395,0.0,0.0
1762174257177191734,0,0,0,0,0,0,0,0,0,2.064,0.5825,9.96,-0.332,1.059,-0.003906,0.01134,0.1517,-0.02962,1.842,0.779,10.0,-0.3894,0.921,0.0,0.0
1762174257227189064,0,0,0,0,0,0,0,0,0,2.057,0.611,9.96,-0.3438,1.055,-0.003906,0.01048,0.1525,-0.02943,1.842,0.779,10.0,-0.3894,0.921,0.0,0.0
1762174257277199029,0,0,0,0,0,0,0,0,0,2.057,0.611,9.96,-0.3438,1.055,-0.003906,0.01048,0.1525,-0.02943,1.801,0.87,10.0,-0.435,0.9004,0.0,0.0
1762174257327193260,0,0,0,0,0,0,0,0,0,2.021,0.713,9.96,-0.3594,1.051,-0.007812,0.01081,0.1543,-0.02965,1.755,0.959,10.0,-0.4795,0.8774,0.0,0.0
1762174257377185821,0,0,0,0,0,0,0,0,0,1.992,0.7876,9.96,-0.4062,1.043,-0.007812,0.0151,0.159,-0.02881,1.755,0.959,10.0,-0.4795,0.8774,0.0,0.0
1762174257427188873,0,0,0,0,0,0,0,0,0,1.975,0.8315,9.95,-0.4336,1.023,-0.007812,0.013626,0.1564,-0.0293,1.755,0.959,10.0,-0.4795,0.8774,0.0,0.0
1762174257477195501,0,0,0,0,0,0,0,0,0,1.944,0.899,9.96,-0.4648,1.012,-0.003906,0.01056,0.1528,-0.02846,1.705,1.045,10.0,-0.5225,0.8525,0.0,0.0
1762174257527181625,0,0,0,0,0,0,0,0,0,1.933,0.9233,9.95,-0.4727,1.0,-0.007812,0.007393,0.1506,-0.02858,1.705,1.045,10.0,-0.5225,0.8525,0.0,0.0
1762174257577189922,0,0,0,0,0,0,0,0,0,1.913,0.9634,9.95,-0.4844,0.992,-0.003906,0.00532,0.1497,-0.02861,1.65,1.129,10.0,-0.5645,0.825,0.0,0.0
1762174257627179145,0,0,0,0,0,0,0,0,0,1.883,1.021,9.95,-0.508,0.9844,-0.0,0.002243,0.1492,-0.02896,1.65,1.129,10.0,-0.5645,0.825,0.0,0.0
1762174257677182674,0,0,0,0,0,0,0,0,0,1.846,1.091,9.96,-0.5312,0.9688,-0.0,0.002228,0.1515,-0.02872,1.592,1.21,10.0,-0.605,0.796,0.0,0.0
1762174257727171897,0,0,0,0,0,0,0,0,0,1.846,1.091,9.96,-0.5312,0.9688,-0.0,0.002228,0.1515,-0.02872,1.592,1.21,10.0,-0.605,0.796,0.0,0.0
1762174257777182579,0,0,0,0,0,0,0,0,0,1.794,1.182,9.96,-0.543,0.949,-0.003906,0.001419,0.1525,-0.02953,1.529,1.288,10.0,-0.644,0.7646,0.0,0.0
1762174257827178239,0,0,0,0,0,0,0,0,0,1.794,1.182,9.96,-0.543,0.949,-0.003906,0.001419,0.1525,-0.02953,1.529,1.288,10.0,-0.644,0.7646,0.0,0.0
1762174257877192258,0,0,0,0,0,0,0,0,0,1.745,1.262,9.95,-0.582,0.9297,-0.0,-0.002268,0.1512,-0.02992,1.463,1.363,10.0,-0.6816,0.7314,0.0,0.0
1762174257927191257,0,0,0,0,0,0,0,0,0,1.714,1.31,9.945,-0.617,0.8945,0.007812,-0.01039,0.1503,-0.02907,1.463,1.363,10.0,-0.6816,0.7314,0.0,0.0
1762174257977275371,0,0,0,0,0,0,0,0,0,1.671,1.37,9.945,-0.6406,0.875,0.01172,-0.013115,0.1508,-0.02939,1.394,1.435,10.0,-0.7173,0.697,0.0,0.0
1762174258027198553,0,0,0,0,0,0,0,0,0,1.653,1.394,9.945,-0.6484,0.871,0.01953,-0.0144,0.1527,-0.02975,1.394,1.435,10.0,-0.7173,0.697,0.0,0.0
1762174258077192306,0,0,0,0,0,0,0,0,0,1.603,1.458,9.945,-0.6836,0.8516,0.02344,-0.01628,0.1604,-0.03046,1.32,1.503,10.0,-0.7515,0.66,0.0,0.0
1762174258127321958,0,0,0,0,0,0,0,0,0,1.586,1.478,9.94,-0.6953,0.828,0.02734,-0.01666,0.1631,-0.03003,1.243,1.566,10.0,-0.783,0.6216,0.0,0.0
1762174258177182435,0,0,0,0,0,0,0,0,0,1.536,1.533,9.94,-0.7305,0.8047,0.03516,-0.01872,0.1654,-0.02924,1.243,1.566,10.0,-0.783,0.6216,0.0,0.0
1762174258227191925,0,0,0,0,0,0,0,0,0,1.517,1.555,9.94,-0.742,0.797,0.03906,-0.01979,0.1658,-0.02884,1.243,1.566,10.0,-0.783,0.6216,0.0,0.0
1762174258277182102,0,0,0,0,0,0,0,0,0,1.454,1.617,9.94,-0.7812,0.7734,0.03906,-0.02167,0.1652,-0.0279,1.163,1.627,10.0,-0.8135,0.5815,0.0,0.0
1762174258327233314,0,0,0,0,0,0,0,0,0,1.433,1.639,9.94,-0.793,0.7656,0.03906,-0.02335,0.1646,-0.02765,1.163,1.627,10.0,-0.8135,0.5815,0.0,0.0
1762174258377196073,0,0,0,0,0,0,0,0,0,1.377,1.688,9.94,-0.8203,0.7188,0.0586,-0.02568,0.163,-0.02794,1.081,1.683,10.0,-0.8413,0.5405,0.0,0.0
1762174258427219629,0,0,0,0,0,0,0,0,0,1.355,1.707,9.94,-0.828,0.715,0.0664,-0.02733,0.1615,-0.02745,0.995,1.734,10.0,-0.867,0.4976,0.0,0.0
1762174258477184772,0,0,0,0,0,0,0,0,0,1.29,1.761,9.945,-0.8555,0.6875,0.0625,-0.02942,0.1605,-0.02773,0.995,1.734,10.0,-0.867,0.4976,0.0,0.0
1762174258527188539,0,0,0,0,0,0,0,0,0,1.267,1.778,9.945,-0.8633,0.66,0.0547,-0.03017,0.1613,-0.02766,0.995,1.734,10.0,-0.867,0.4976,0.0,0.0
1762174258577193737,0,0,0,0,0,0,0,0,0,1.201,1.826,9.945,-0.883,0.633,0.0586,-0.03204,0.161,-0.0266,0.907,1.782,10.0,-0.891,0.4536,0.0,0.0
1762174258627187728,0,0,0,0,0,0,0,0,0,1.18,1.841,9.945,-0.8945,0.621,0.0586,-0.0335,0.1586,-0.02716,0.907,1.782,10.0,-0.891,0.4536,0.0,0.0
1762174258677197933,0,0,0,0,0,0,0,0,0,1.112,1.886,9.95,-0.9062,0.582,0.04688,-0.03952,0.1548,-0.0278,0.817,1.825,10.0,-0.9126,0.4084,0.0,0.0
1762174258727206945,0,0,0,0,0,0,0,0,0,1.093,1.897,9.95,-0.91,0.543,0.03906,-0.04166,0.1555,-0.02701,0.7246,1.864,10.0,-0.932,0.3623,0.0,0.0
1762174258777202606,0,0,0,0,0,0,0,0,0,1.023,1.936,9.95,-0.9336,0.504,0.03125,-0.04413,0.1567,-0.02698,0.7246,1.864,10.0,-0.932,0.3623,0.0,0.0
1762174258827198028,0,0,0,0,0,0,0,0,0,0.998,1.949,9.95,-0.9414,0.4922,0.03125,-0.04465,0.156,-0.02737,0.631,1.898,10.0,-0.949,0.3154,0.0,0.0
1762174258877192020,0,0,0,0,0,0,0,0,0,0.9277,1.982,9.945,-0.961,0.4453,0.03516,-0.04547,0.1525,-0.02797,0.631,1.898,10.0,-0.949,0.3154,0.0,0.0
1762174258927288055,0,0,0,0,0,0,0,0,0,0.903,1.993,9.945,-0.957,0.4102,0.03906,-0.0463,0.1498,-0.02809,0.535,1.927,10.0,-0.9634,0.2676,0.0,0.0
