time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762174505996904611,0,0,0,0,0,0,0,0,0,2.082,-1.402,20.0,1.316,2.309,0.1914,0.212,0.2507,0.02855,2.0,0.0,20.0,-0.0,2.0,0.0,0.0
1762174506046911478,0,0,0,0,0,0,0,0,0,2.123,-1.322,20.0,1.203,2.348,0.1914,0.2096,0.2585,0.0287,1.99,0.1997,20.0,-0.1997,1.99,0.0,0.0
1762174506096898555,0,0,0,0,0,0,0,0,0,2.193,-1.169,20.02,1.0625,2.406,0.1797,0.1973,0.276,0.02747,1.99,0.1997,20.0,-0.1997,1.99,0.0,0.0
1762174506146901130,0,0,0,0,0,0,0,0,0,2.229,-1.083,20.02,0.9844,2.434,0.1719,0.1885,0.2847,0.02943,1.96,0.3972,20.0,-0.3972,1.96,0.0,0.0
1762174506196896553,0,0,0,0,0,0,0,0,0,2.28,-0.942,20.03,0.836,2.477,0.1602,0.1752,0.2974,0.033,1.96,0.3972,20.0,-0.3972,1.96,0.0,0.0
1762174506246897220,0,0,0,0,0,0,0,0,0,2.305,-0.851,20.03,0.6953,2.484,0.1484,0.1687,0.302,0.03342,1.911,0.591,20.0,-0.591,1.911,0.0,0.0
1762174506296896696,0,0,0,0,0,0,0,0,0,2.342,-0.696,20.05,0.5586,2.508,0.1211,0.1558,0.3105,0.0342,1.911,0.591,20.0,-0.591,1.911,0.0,0.0
1762174506346885442,0,0,0,0,0,0,0,0,0,2.342,-0.696,20.05,0.5586,2.508,0.1211,0.1558,0.3105,0.0342,1.911,0.591,20.0,-0.591,1.911,0.0,0.0
1762174506396907091,0,0,0,0,0,0,0,0,0,2.342,-0.696,20.05,0.5586,2.508,0.1211,0.1558,0.3105,0.0342,1.842,0.779,20.0,-0.779,1.842,0.0,0.0
1762174506446901321,0,0,0,0,0,0,0,0,0,2.395,-0.4036,20.05,0.4531,2.523,0.10547,0.1504,0.314,0.035,1.842,0.779,20.0,-0.779,1.842,0.0,0.0
1762174506496896028,0,0,0,0,0,0,0,0,0,2.424,-0.1866,20.06,0.1094,2.504,0.0586,0.1382,0.3176,0.03503,1.755,0.959,20.0,-0.959,1.755,0.0,0.0
