time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738224826773251533,0,0,0,0,0,0,0,0,0,0.3118,-1.926,6.926,1.914,0.4531,0.0664,-0.01657,0.05927,-0.007088,1.993,-0.1661,7.0,0.1661,1.993,0.0,0.0
1738224826823262453,0,0,0,0,0,0,0,0,0,0.3792,-1.907,6.93,1.91,0.5117,0.0664,-0.01439,0.06635,-0.006706,2.0,0.0,7.0,-0.0,2.0,0.0,0.0
1738224826873247146,0,0,0,0,0,0,0,0,0,0.5156,-1.864,6.934,1.879,0.6406,0.0547,-0.01622,0.08014,-0.00835,2.0,0.0,7.0,-0.0,2.0,0.0,0.0
1738224826923268556,0,0,0,0,0,0,0,0,0,0.572,-1.844,6.934,1.871,0.6797,0.04688,-0.01936,0.08905,-0.00954,1.99,0.1997,7.0,-0.1997,1.99,0.0,0.0
1738224826973284244,0,0,0,0,0,0,0,0,0,0.6914,-1.795,6.938,1.844,0.793,0.03906,-0.02612,0.1053,-0.00847,1.99,0.1997,7.0,-0.1997,1.99,0.0,0.0
1738224827023277759,0,0,0,0,0,0,0,0,0,0.751,-1.768,6.938,1.824,0.828,0.03906,-0.02686,0.1144,-0.007652,1.96,0.3972,7.0,-0.3972,1.96,0.0,0.0
1738224827073264837,0,0,0,0,0,0,0,0,0,0.873,-1.703,6.938,1.746,0.965,0.03906,-0.0309,0.1302,-0.0085,1.96,0.3972,7.0,-0.3972,1.96,0.0,0.0
1738224827123274326,0,0,0,0,0,0,0,0,0,0.9336,-1.668,6.94,1.719,1.012,0.04297,-0.02785,0.1382,-0.00621,1.911,0.591,7.0,-0.591,1.911,0.0,0.0
1738224827173254489,0,0,0,0,0,0,0,0,0,1.048,-1.595,6.94,1.672,1.105,0.0547,-0.03336,0.1483,-0.00725,1.911,0.591,7.0,-0.591,1.911,0.0,0.0
1738224827223252534,0,0,0,0,0,0,0,0,0,1.102,-1.558,6.94,1.641,1.152,0.0586,-0.03485,0.1553,-0.00871,1.842,0.779,7.0,-0.779,1.842,0.0,0.0
1738224827273245334,0,0,0,0,0,0,0,0,0,1.2,-1.478,6.94,1.535,1.297,0.0586,-0.03726,0.1742,-0.00987,1.842,0.779,7.0,-0.779,1.842,0.0,0.0
1738224827323269844,0,0,0,0,0,0,0,0,0,1.24,-1.442,6.945,1.504,1.344,0.0586,-0.0428,0.1826,-0.00944,1.755,0.959,7.0,-0.959,1.755,0.0,0.0
1738224827373248100,0,0,0,0,0,0,0,0,0,1.351,-1.332,6.945,1.418,1.445,0.0625,-0.0571,0.1984,-0.009125,1.755,0.959,7.0,-0.959,1.755,0.0,0.0
1738224827423258066,0,0,0,0,0,0,0,0,0,1.391,-1.29,6.945,1.383,1.484,0.0586,-0.06354,0.2017,-0.009254,1.65,1.129,7.0,-1.129,1.65,0.0,0.0
1738224827473253488,0,0,0,0,0,0,0,0,0,1.48,-1.18,6.945,1.25,1.59,0.0586,-0.0756,0.2135,-0.00663,1.65,1.129,7.0,-1.129,1.65,0.0,0.0
