time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762181076633448123,0,0,0,0,0,0,0,0,0,0.82,-0.1509,19.86,0.0547,-0.01953,1.164,0.02855,0.05426,0.03058,1.0,0.0,20.0,-0.0,0.0,1.0,0.0
1762181076683423280,0,0,0,0,0,0,0,0,0,0.8247,-0.1517,19.92,0.0664,-0.01172,1.172,0.02742,0.05405,0.02957,1.0,0.0,20.1,-0.0,0.0,0.9985,0.0
1762181076733428716,0,0,0,0,0,0,0,0,0,0.826,-0.1519,19.95,0.0703,-0.003906,1.176,0.02731,0.0543,0.02957,1.0,0.0,20.1,-0.0,0.0,0.9985,0.0
1762181076783422946,0,0,0,0,0,0,0,0,0,0.833,-0.1519,20.03,0.0781,0.0,1.172,0.02725,0.05685,0.03046,1.0,0.0,20.2,-0.0,0.0,0.995,0.0
1762181076833443641,0,0,0,0,0,0,0,0,0,0.835,-0.1511,20.08,0.08203,0.02734,1.164,0.02692,0.0588,0.03035,1.0,0.0,20.2,-0.0,0.0,0.995,0.0
1762181076883456707,0,0,0,0,0,0,0,0,0,0.8384,-0.1499,20.11,0.08594,0.03125,1.16,0.02681,0.06088,0.03026,1.0,0.0,20.3,-0.0,0.0,0.989,0.0
1762181076933435678,0,0,0,0,0,0,0,0,0,0.8384,-0.1499,20.11,0.08594,0.03125,1.16,0.02681,0.06088,0.03026,1.0,0.0,20.3,-0.0,0.0,0.989,0.0
1762181076983425617,0,0,0,0,0,0,0,0,0,0.85,-0.1449,20.19,0.08594,0.03906,1.156,0.02455,0.06323,0.03094,1.0,0.0,20.39,-0.0,0.0,0.98,0.0
1762181077033430814,0,0,0,0,0,0,0,0,0,0.854,-0.1433,20.3,0.1172,0.05078,1.152,0.02193,0.0661,0.03137,1.0,0.0,20.39,-0.0,0.0,0.98,0.0
1762181077083450555,0,0,0,0,0,0,0,0,0,0.862,-0.1395,20.36,0.1172,0.0547,1.145,0.0189,0.0698,0.03072,1.0,0.0,20.5,-0.0,0.0,0.9688,0.0
1762181077133443355,0,0,0,0,0,0,0,0,0,0.8657,-0.1377,20.4,0.1172,0.0547,1.141,0.01831,0.0713,0.03033,1.0,0.0,20.5,-0.0,0.0,0.9688,0.0
1762181077183444499,0,0,0,0,0,0,0,0,0,0.871,-0.135,20.47,0.1328,0.0703,1.145,0.01785,0.07385,0.03035,1.0,0.0,20.6,-0.0,0.0,0.9556,0.0
1762181077233441829,0,0,0,0,0,0,0,0,0,0.88,-0.13,20.55,0.1289,0.0742,1.148,0.01799,0.074,0.03047,1.0,0.0,20.6,-0.0,0.0,0.9556,0.0
1762181077283428907,0,0,0,0,0,0,0,0,0,0.885,-0.1273,20.58,0.1289,0.0742,1.141,0.0186,0.0737,0.03061,1.0,0.0,20.69,-0.0,0.0,0.9395,0.0
1762181077333439588,0,0,0,0,0,0,0,0,0,0.8906,-0.1238,20.61,0.1289,0.0781,1.129,0.0196,0.0747,0.03091,1.0,0.0,20.69,-0.0,0.0,0.9395,0.0
