time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738228988024050235,0,0,0,0,0,0,0,0,0,2.979,0.1345,8.984,0.08594,-0.0742,0.9805,-0.07404,0.1742,0.03387,3.0,0.0,9.94,-0.0,0.0,0.9995,0.0
1738228988074042797,0,0,0,0,0,0,0,0,0,2.98,0.1317,9.02,0.0781,-0.0703,0.9844,-0.07227,0.1779,0.03403,3.0,0.0,10.0,-0.0,0.0,1.0,0.0
1738228988124045372,0,0,0,0,0,0,0,0,0,2.982,0.1295,9.07,0.03125,-0.05078,0.953,-0.07697,0.1882,0.03348,3.0,0.0,10.0,-0.0,0.0,1.0,0.0
1738228988174058914,0,0,0,0,0,0,0,0,0,2.984,0.1262,9.13,0.007812,-0.04297,0.9727,-0.0759,0.196,0.03537,3.0,0.0,10.1,-0.0,0.0,0.9985,0.0
1738228988224049091,0,0,0,0,0,0,0,0,0,2.984,0.12494,9.164,0.0,-0.03906,0.9883,-0.07495,0.1958,0.03424,3.0,0.0,10.1,-0.0,0.0,0.9985,0.0
1738228988274047374,0,0,0,0,0,0,0,0,0,2.982,0.1234,9.2,-0.01172,-0.03125,0.996,-0.07336,0.1951,0.0338,3.0,0.0,10.2,-0.0,0.0,0.995,0.0
1738228988324150323,0,0,0,0,0,0,0,0,0,2.982,0.12225,9.26,-0.02344,-0.02344,0.996,-0.07635,0.1923,0.03534,3.0,0.0,10.2,-0.0,0.0,0.995,0.0
1738228988374161243,0,0,0,0,0,0,0,0,0,2.982,0.12195,9.31,-0.01172,-0.003906,0.992,-0.0817,0.1888,0.03717,3.0,0.0,10.3,-0.0,0.0,0.989,0.0
1738228988424070596,0,0,0,0,0,0,0,0,0,2.98,0.1218,9.35,-0.01563,-0.003906,0.9883,-0.0831,0.188,0.03696,3.0,0.0,10.3,-0.0,0.0,0.989,0.0
1738228988474086761,0,0,0,0,0,0,0,0,0,2.98,0.1218,9.39,-0.01563,0.0,0.9766,-0.0832,0.1863,0.03665,3.0,0.0,10.4,-0.0,0.0,0.98,0.0
1738228988524057626,0,0,0,0,0,0,0,0,0,2.98,0.1218,9.44,-0.003906,0.0,0.961,-0.0831,0.1864,0.0369,3.0,0.0,10.4,-0.0,0.0,0.98,0.0
1738228988574055433,0,0,0,0,0,0,0,0,0,2.98,0.1218,9.44,-0.003906,0.0,0.961,-0.0831,0.1864,0.0369,3.0,0.0,10.49,-0.0,0.0,0.9688,0.0
1738228988624034166,0,0,0,0,0,0,0,0,0,2.98,0.1218,9.44,-0.003906,0.0,0.961,-0.0831,0.1864,0.0369,3.0,0.0,10.49,-0.0,0.0,0.9688,0.0
1738228988674078941,0,0,0,0,0,0,0,0,0,2.979,0.1225,9.51,-0.01172,0.01172,0.957,-0.08545,0.1909,0.03638,3.0,0.0,10.59,-0.0,0.0,0.9556,0.0
1738228988724049329,0,0,0,0,0,0,0,0,0,2.977,0.1228,9.62,-0.04297,0.0,0.961,-0.10266,0.1838,0.03717,3.0,0.0,10.59,-0.0,0.0,0.9556,0.0
1738228988774062156,0,0,0,0,0,0,0,0,0,2.975,0.12244,9.69,-0.05078,-0.01172,0.965,-0.10297,0.1853,0.0367,3.0,0.0,10.69,-0.0,0.0,0.9395,0.0
1738228988824045658,0,0,0,0,0,0,0,0,0,2.973,0.122,9.72,-0.05078,-0.01563,0.965,-0.1032,0.187,0.03635,3.0,0.0,10.69,-0.0,0.0,0.9395,0.0
1738228988874059677,0,0,0,0,0,0,0,0,0,2.97,0.12103,9.75,-0.0547,-0.01953,0.9688,-0.102,0.1893,0.03696,3.0,0.0,10.78,-0.0,0.0,0.921,0.0
1738228988924037694,0,0,0,0,0,0,0,0,0,2.97,0.12103,9.75,-0.0547,-0.01953,0.9688,-0.102,0.1893,0.03696,3.0,0.0,10.78,-0.0,0.0,0.921,0.0
1738228988974056243,0,0,0,0,0,0,0,0,0,2.963,0.1183,9.77,-0.08203,-0.02734,0.9805,-0.0996,0.191,0.03723,3.0,0.0,10.87,-0.0,0.0,0.9004,0.0
1738228989024054288,0,0,0,0,0,0,0,0,0,2.955,0.11584,9.875,-0.10156,-0.03516,1.039,-0.095,0.1868,0.03543,3.0,0.0,10.87,-0.0,0.0,0.9004,0.0
1738228989074061155,0,0,0,0,0,0,0,0,0,2.95,0.1144,9.984,-0.10547,-0.01953,1.027,-0.08246,0.1803,0.03488,3.0,0.0,10.96,-0.0,0.0,0.8774,0.0
1738228989124053716,0,0,0,0,0,0,0,0,0,2.945,0.1139,10.016,-0.10547,-0.01563,0.996,-0.0848,0.182,0.03336,3.0,0.0,10.96,-0.0,0.0,0.8774,0.0
