time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762181396425901889,0,0,0,0,0,0,0,0,0,0.954,-0.2404,19.72,-0.664,-0.3867,2.293,0.1534,0.0482,0.02771,1.0,0.0,20.0,-0.0,0.0,2.0,0.0
1762181396475938796,0,0,0,0,0,0,0,0,0,0.954,-0.2404,19.72,-0.664,-0.3867,2.293,0.1534,0.0482,0.02771,1.0,0.0,20.2,-0.0,0.0,1.99,0.0
1762181396525926589,0,0,0,0,0,0,0,0,0,0.875,-0.2815,19.78,-0.6523,-0.3398,2.328,0.158,0.03812,0.02739,1.0,0.0,20.2,-0.0,0.0,1.99,0.0
1762181396575937271,0,0,0,0,0,0,0,0,0,0.822,-0.2986,20.16,-0.543,-0.0586,2.379,0.1571,0.009155,0.03146,1.0,0.0,20.39,-0.0,0.0,1.96,0.0
1762181396625906944,0,0,0,0,0,0,0,0,0,0.795,-0.297,20.31,-0.457,0.0703,2.406,0.1555,-0.001858,0.03168,1.0,0.0,20.39,-0.0,0.0,1.96,0.0
1762181396675926446,0,0,0,0,0,0,0,0,0,0.78,-0.2932,20.39,-0.4297,0.1094,2.367,0.1542,-0.006817,0.03119,1.0,0.0,20.6,-0.0,0.0,1.911,0.0
1762181396725921630,0,0,0,0,0,0,0,0,0,0.7637,-0.2878,20.45,-0.4062,0.1367,2.29,0.1498,-0.01051,0.03079,1.0,0.0,20.6,-0.0,0.0,1.911,0.0
1762181396775941371,0,0,0,0,0,0,0,0,0,0.741,-0.276,20.6,-0.3516,0.2148,2.23,0.1392,-0.00826,0.03075,1.0,0.0,20.78,-0.0,0.0,1.842,0.0
1762181396825910329,0,0,0,0,0,0,0,0,0,0.723,-0.2585,20.73,-0.2617,0.3086,2.375,0.1306,-0.01744,0.03104,1.0,0.0,20.78,-0.0,0.0,1.842,0.0
1762181396875932931,0,0,0,0,0,0,0,0,0,0.715,-0.2457,20.81,-0.2266,0.3477,2.41,0.1296,-0.02412,0.03049,1.0,0.0,20.95,-0.0,0.0,1.755,0.0
1762181396925930738,0,0,0,0,0,0,0,0,0,0.7065,-0.2303,20.89,-0.2031,0.3828,2.43,0.1266,-0.02295,0.02998,1.0,0.0,20.95,-0.0,0.0,1.755,0.0
1762181396975944757,0,0,0,0,0,0,0,0,0,0.7065,-0.2303,20.89,-0.2031,0.3828,2.43,0.1266,-0.02295,0.02998,1.0,0.0,21.12,-0.0,0.0,1.65,0.0
1762181397025898933,0,0,0,0,0,0,0,0,0,0.6924,-0.1969,20.97,-0.1758,0.418,2.441,0.12067,-0.01816,0.02924,1.0,0.0,21.12,-0.0,0.0,1.65,0.0
1762181397075963020,0,0,0,0,0,0,0,0,0,0.679,-0.1532,21.27,-0.08203,0.5195,2.352,0.0897,-0.001946,0.02972,1.0,0.0,21.28,-0.0,0.0,1.529,0.0
1762181397125912904,0,0,0,0,0,0,0,0,0,0.677,-0.1267,21.42,-0.04297,0.543,2.39,0.0738,-0.005455,0.02863,1.0,0.0,21.28,-0.0,0.0,1.529,0.0
