time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762184011208962678,0,0,0,0,0,0,0,0,0,0.01537,0.04858,15.016,0.007812,0.05078,-0.0,0.004143,0.09644,0.03772,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011258965492,0,0,0,0,0,0,0,0,0,0.01576,0.05118,15.02,0.007812,0.05078,-0.0,0.00413,0.0958,0.03772,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011308965206,0,0,0,0,0,0,0,0,0,0.01595,0.05334,15.02,0.003906,0.04688,-0.007812,0.00415,0.0963,0.03796,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011358969926,0,0,0,0,0,0,0,0,0,0.01595,0.05533,15.02,0.0,0.04297,-0.01563,0.0043,0.09705,0.0382,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011408964157,0,0,0,0,0,0,0,0,0,0.01588,0.05737,15.02,-0.003906,0.03906,-0.02344,0.005566,0.0982,0.03867,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011458972692,0,0,0,0,0,0,0,0,0,0.01516,0.06,15.02,-0.01172,0.03125,-0.02734,0.00596,0.09796,0.03928,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011508963584,0,0,0,0,0,0,0,0,0,0.01486,0.06067,15.02,-0.01172,0.02734,-0.02734,0.00534,0.0972,0.03937,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011558966875,0,0,0,0,0,0,0,0,0,0.0136,0.06195,15.02,-0.01953,0.01563,-0.02734,0.00153,0.0952,0.0398,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011608965158,0,0,0,0,0,0,0,0,0,0.012955,0.06223,15.02,-0.02734,0.01172,-0.02734,0.0001494,0.0942,0.0395,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011658971071,0,0,0,0,0,0,0,0,0,0.011475,0.0626,15.02,-0.03125,0.007812,-0.02344,-0.000975,0.0933,0.0393,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011708962917,0,0,0,0,0,0,0,0,0,0.00891,0.0626,15.02,-0.03516,0.0,-0.01953,-0.001074,0.0909,0.0382,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011758970022,0,0,0,0,0,0,0,0,0,0.00826,0.06247,15.016,-0.03516,-0.007812,-0.01953,-3.8e-06,0.0898,0.038,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011808968782,0,0,0,0,0,0,0,0,0,0.00558,0.06152,15.016,-0.03906,-0.01563,-0.007812,0.00421,0.08746,0.03757,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762184011858968257,0,0,0,0,0,0,0,0,0,0.003345,0.0604,15.016,-0.03906,-0.01953,-0.0,0.005646,0.0861,0.03738,0.0,0.0,15.0,0.0,0.0,0.0,0.0
