time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762274600559638977,0,0,0,0,0,0,0,0,0,-0.0591,-0.0987,14.945,0.0,-0.03906,0.03125,-0.01564,0.1019,0.01216,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762274600609627246,0,0,0,0,0,0,0,0,0,-0.0591,-0.0987,14.945,0.0,-0.03906,0.03125,-0.01564,0.1019,0.01216,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762274600659621238,0,0,0,0,0,0,0,0,0,-0.05844,-0.1034,14.945,0.01172,-0.03125,0.03516,-0.01244,0.10266,0.01232,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762274600709644556,0,0,0,0,0,0,0,0,0,-0.0578,-0.1048,14.945,0.01172,-0.02344,0.03125,-0.011086,0.10364,0.012505,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762274600759657621,0,0,0,0,0,0,0,0,0,-0.05737,-0.1056,14.945,0.01172,-0.02344,0.03125,-0.01032,0.10425,0.01303,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762274600809648752,0,0,0,0,0,0,0,0,0,-0.05658,-0.1065,14.945,0.01172,-0.01172,0.02344,-0.00893,0.10583,0.01383,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762274600859657764,0,0,0,0,0,0,0,0,0,-0.05658,-0.1065,14.945,0.01172,-0.01172,0.02344,-0.00893,0.10583,0.01383,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762274600909615755,0,0,0,0,0,0,0,0,0,-0.05566,-0.1074,14.945,0.01172,-0.01172,0.02734,-0.00819,0.1068,0.01374,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762274600959654808,0,0,0,0,0,0,0,0,0,-0.05505,-0.10785,14.945,0.01172,-0.007812,0.01953,-0.00784,0.10645,0.0134,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1762274601009651899,0,0,0,0,0,0,0,0,0,-0.05432,-0.1076,14.945,0.01172,0.007812,0.01953,-0.00838,0.10535,0.012764,0.0,0.0,15.0,0.0,0.0,0.0,0.0
