time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762273612053808212,0,0,0,0,0,0,0,0,0,0.0987,-0.1594,5.977,0.0742,0.1719,0.01563,-0.2026,0.1649,0.03134,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612103796720,0,0,0,0,0,0,0,0,0,0.10236,-0.1511,5.977,0.0664,0.1484,0.01172,-0.2147,0.17,0.03044,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612153798341,0,0,0,0,0,0,0,0,0,0.1062,-0.1423,5.977,0.0547,0.1289,-0.0,-0.2249,0.1776,0.02837,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612203799247,0,0,0,0,0,0,0,0,0,0.10803,-0.1377,5.98,0.04688,0.1172,-0.007812,-0.2272,0.1814,0.02835,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612253799438,0,0,0,0,0,0,0,0,0,0.10803,-0.1377,5.98,0.04688,0.1172,-0.007812,-0.2272,0.1814,0.02835,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612303795337,0,0,0,0,0,0,0,0,0,0.112,-0.1279,5.98,0.03516,0.08984,-0.01172,-0.2283,0.1843,0.02744,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612353803634,0,0,0,0,0,0,0,0,0,0.1136,-0.1239,5.98,0.02344,0.0625,-0.01953,-0.2288,0.1823,0.02835,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612403795003,0,0,0,0,0,0,0,0,0,0.1142,-0.1224,5.98,0.01953,0.05078,-0.02734,-0.2314,0.1821,0.0285,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612453809976,0,0,0,0,0,0,0,0,0,0.11444,-0.1198,5.98,0.003906,0.03906,-0.03516,-0.2327,0.1829,0.0282,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612503796815,0,0,0,0,0,0,0,0,0,0.1144,-0.1187,5.977,-0.003906,0.01953,-0.03125,-0.2328,0.1846,0.02946,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612553801298,0,0,0,0,0,0,0,0,0,0.1135,-0.1189,5.977,-0.01563,-0.01172,-0.02344,-0.2325,0.1837,0.02922,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612603790044,0,0,0,0,0,0,0,0,0,0.113,-0.1198,5.977,-0.01953,-0.03125,-0.01563,-0.236,0.1825,0.02905,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612653802156,0,0,0,0,0,0,0,0,0,0.11176,-0.12286,5.977,-0.02344,-0.0586,-0.0,-0.2388,0.1776,0.02988,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612703792572,0,0,0,0,0,0,0,0,0,0.11053,-0.1283,5.977,-0.01953,-0.10156,0.003906,-0.246,0.171,0.03018,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612753795385,0,0,0,0,0,0,0,0,0,0.109,-0.1364,5.98,-0.03125,-0.1523,0.003906,-0.2413,0.1764,0.03003,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612803793907,0,0,0,0,0,0,0,0,0,0.1079,-0.141,5.98,-0.03906,-0.1641,0.007812,-0.2362,0.1818,0.0296,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612853798151,0,0,0,0,0,0,0,0,0,0.10394,-0.1532,5.98,-0.0625,-0.1719,0.01953,-0.2162,0.19,0.02509,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612903790950,0,0,0,0,0,0,0,0,0,0.1015,-0.159,5.98,-0.0742,-0.1758,0.02344,-0.21,0.1923,0.02235,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273612953803777,0,0,0,0,0,0,0,0,0,0.09564,-0.1713,5.984,-0.08984,-0.1758,0.01953,-0.2076,0.1914,0.0223,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613003798007,0,0,0,0,0,0,0,0,0,0.09314,-0.1761,5.99,-0.08984,-0.1758,0.01953,-0.21,0.1868,0.02292,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613053801059,0,0,0,0,0,0,0,0,0,0.0866,-0.1884,5.996,-0.09375,-0.1719,-0.0,-0.2172,0.1797,0.02487,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613103791952,0,0,0,0,0,0,0,0,0,0.0839,-0.1934,6.0,-0.09766,-0.1758,-0.0,-0.2156,0.1782,0.02467,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613153804779,0,0,0,0,0,0,0,0,0,0.0784,-0.2037,6.0,-0.09766,-0.1875,-0.0,-0.2083,0.1759,0.02592,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613203799247,0,0,0,0,0,0,0,0,0,0.074,-0.2136,6.0,-0.09375,-0.2148,-0.01563,-0.2102,0.1727,0.02498,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613253796815,0,0,0,0,0,0,0,0,0,0.07025,-0.2233,6.0,-0.08984,-0.2344,-0.01953,-0.2158,0.168,0.02515,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613303798198,0,0,0,0,0,0,0,0,0,0.06506,-0.2386,5.992,-0.08984,-0.254,-0.02344,-0.2106,0.1609,0.02927,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613353799343,0,0,0,0,0,0,0,0,0,0.0594,-0.258,5.992,-0.0781,-0.2969,-0.01172,-0.1914,0.1584,0.03287,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613403795719,0,0,0,0,0,0,0,0,0,0.05728,-0.2666,5.992,-0.0742,-0.3047,-0.003906,-0.1846,0.1571,0.03156,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613453797578,0,0,0,0,0,0,0,0,0,0.05258,-0.2883,5.99,-0.0703,-0.3242,0.003906,-0.1727,0.1606,0.0297,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613503792524,0,0,0,0,0,0,0,0,0,0.0498,-0.3,5.99,-0.08203,-0.332,0.01953,-0.1498,0.1681,0.02716,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613553799390,0,0,0,0,0,0,0,0,0,0.04373,-0.3218,5.992,-0.09375,-0.3281,0.02344,-0.1519,0.1643,0.0258,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613603789091,0,0,0,0,0,0,0,0,0,0.04068,-0.332,5.992,-0.09766,-0.3281,0.02344,-0.1469,0.1595,0.02888,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613653805971,0,0,0,0,0,0,0,0,0,0.03503,-0.3518,5.992,-0.09766,-0.3438,0.01953,-0.142,0.1543,0.03137,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613703795433,0,0,0,0,0,0,0,0,0,0.03062,-0.3684,5.996,-0.08984,-0.3438,0.007812,-0.1346,0.1487,0.02774,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613753806591,0,0,0,0,0,0,0,0,0,0.02539,-0.3894,6.0,-0.08203,-0.3398,-0.003906,-0.1293,0.1476,0.02846,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1762273613803789615,0,0,0,0,0,0,0,0,0,0.02292,-0.4001,6.0,-0.0781,-0.336,-0.01953,-0.129,0.149,0.02948,0.0,0.0,6.0,0.0,0.0,0.0,0.0
