time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738222702375453710,0,0,0,0,0,0,0,0,0,-0.05023,0.5044,6.008,0.03906,-0.04297,-0.03516,-0.2019,0.1808,0.03424,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702425445079,0,0,0,0,0,0,0,0,0,-0.04413,0.4924,6.01,0.03125,-0.10156,-0.01172,-0.1992,0.1859,0.03384,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702475445270,0,0,0,0,0,0,0,0,0,-0.04367,0.4907,6.008,0.02734,-0.1094,-0.01563,-0.1962,0.1859,0.0324,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702525470972,0,0,0,0,0,0,0,0,0,-0.04187,0.4827,5.812,0.02344,-0.1172,-0.003906,-0.1923,0.1844,0.0318,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702575470924,0,0,0,0,0,0,0,0,0,-0.04034,0.4746,5.812,0.02344,-0.125,0.003906,-0.1885,0.1836,0.03174,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702625465631,0,0,0,0,0,0,0,0,0,-0.03976,0.471,5.812,0.01953,-0.1289,0.003906,-0.1876,0.1843,0.0305,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702675456285,0,0,0,0,0,0,0,0,0,-0.03897,0.4653,5.812,0.01953,-0.1367,-0.0,-0.1896,0.184,0.02988,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702725473165,0,0,0,0,0,0,0,0,0,-0.03802,0.4565,5.81,0.01563,-0.1562,0.01172,-0.1927,0.1836,0.03122,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702775479078,0,0,0,0,0,0,0,0,0,-0.03802,0.4565,5.81,0.01563,-0.1562,0.01172,-0.1927,0.1836,0.03122,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702825459718,0,0,0,0,0,0,0,0,0,-0.03802,0.4565,5.81,0.01563,-0.1562,0.01172,-0.1927,0.1836,0.03122,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702875463962,0,0,0,0,0,0,0,0,0,-0.03665,0.4265,5.82,0.007812,-0.1953,0.0703,-0.1825,0.18,0.0332,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702925488233,0,0,0,0,0,0,0,0,0,-0.03625,0.4194,5.832,0.01172,-0.2148,0.125,-0.1716,0.1787,0.03503,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222702975494146,0,0,0,0,0,0,0,0,0,-0.0357,0.4106,5.85,0.01172,-0.2227,0.1328,-0.1685,0.1794,0.03412,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222703025458574,0,0,0,0,0,0,0,0,0,-0.03445,0.3962,5.867,0.01953,-0.2266,0.1172,-0.1681,0.1877,0.03152,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222703075448989,0,0,0,0,0,0,0,0,0,-0.03378,0.3887,5.875,0.01953,-0.2266,0.10547,-0.17,0.1909,0.0307,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222703125491142,0,0,0,0,0,0,0,0,0,-0.03293,0.3752,5.883,0.01172,-0.2188,0.09375,-0.1688,0.1958,0.02942,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738222703175464391,0,0,0,0,0,0,0,0,0,-0.03265,0.3672,5.89,0.007812,-0.2148,0.09375,-0.1637,0.1957,0.03017,0.0,0.0,6.0,0.0,0.0,0.0,0.0
