time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738223507609224081,0,0,0,0,0,0,0,0,0,0.00062,-0.01855,6.016,0.08594,-0.01563,-0.02344,-0.1257,0.0717,0.02596,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223507659235477,0,0,0,0,0,0,0,0,0,0.003956,-0.01909,6.02,0.09766,-0.01563,-0.02344,-0.1279,0.0729,0.02582,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223507709210634,0,0,0,0,0,0,0,0,0,0.003956,-0.01909,6.02,0.09766,-0.01563,-0.02344,-0.1279,0.0729,0.02582,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223507759232282,0,0,0,0,0,0,0,0,0,0.01422,-0.02046,6.016,0.1172,-0.01563,-0.02734,-0.1307,0.0755,0.0264,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223507809211969,0,0,0,0,0,0,0,0,0,0.01422,-0.02046,6.016,0.1172,-0.01563,-0.02734,-0.1307,0.0755,0.0264,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223507859250545,0,0,0,0,0,0,0,0,0,0.03107,-0.0224,6.016,0.1406,-0.02344,-0.03516,-0.14,0.10565,0.02298,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223507909299850,0,0,0,0,0,0,0,0,0,0.03107,-0.0224,6.016,0.1406,-0.02344,-0.03516,-0.14,0.10565,0.02298,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223507959238052,0,0,0,0,0,0,0,0,0,0.04153,-0.0244,6.01,0.1367,-0.01953,-0.03125,-0.1357,0.1191,0.0223,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508009231567,0,0,0,0,0,0,0,0,0,0.0511,-0.02614,6.008,0.125,-0.02734,-0.02734,-0.1306,0.1289,0.02368,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508059236526,0,0,0,0,0,0,0,0,0,0.05533,-0.027,6.004,0.1172,-0.02344,-0.02344,-0.1296,0.13,0.02452,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508109216451,0,0,0,0,0,0,0,0,0,0.06195,-0.02827,6.0,0.09766,-0.01563,-0.01953,-0.1256,0.1346,0.02414,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508159275770,0,0,0,0,0,0,0,0,0,0.06476,-0.02875,6.0,0.09375,-0.01563,-0.01563,-0.1242,0.1356,0.02428,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508209273576,0,0,0,0,0,0,0,0,0,0.0703,-0.02975,5.992,0.0781,-0.01172,-0.007812,-0.12396,0.1376,0.02443,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508259277343,0,0,0,0,0,0,0,0,0,0.0739,-0.03017,5.992,0.0664,-0.007812,-0.003906,-0.1239,0.1388,0.02486,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508309216022,0,0,0,0,0,0,0,0,0,0.0754,-0.03036,5.99,0.0586,-0.007812,-0.003906,-0.1251,0.1401,0.02567,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508359227418,0,0,0,0,0,0,0,0,0,0.0754,-0.03036,5.99,0.0586,-0.007812,-0.003906,-0.1251,0.1401,0.02567,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508409213542,0,0,0,0,0,0,0,0,0,0.0781,-0.03036,5.99,0.03906,0.0,-0.0,-0.1261,0.1406,0.02618,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508459225416,0,0,0,0,0,0,0,0,0,0.0802,-0.03058,5.98,-0.003906,-0.007812,-0.0,-0.1277,0.1434,0.027,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508509222984,0,0,0,0,0,0,0,0,0,0.0788,-0.03099,5.99,-0.03516,-0.01172,-0.0,-0.126,0.1497,0.02832,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1738223508559205293,0,0,0,0,0,0,0,0,0,0.0788,-0.03099,5.99,-0.03516,-0.01172,-0.0,-0.126,0.1497,0.02832,0.0,0.0,6.0,0.0,0.0,0.0,0.0
