time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762182216693222284,0,0,0,0,0,0,0,0,0,1.004,-0.1065,19.64,0.371,0.04297,1.1875,0.00671,0.1852,-0.02806,1.0,0.0,20.0,-0.0,0.0,1.0,0.0
1762182216743253469,0,0,0,0,0,0,0,0,0,1.015,-0.1052,19.67,0.3438,0.04297,1.207,0.00654,0.188,-0.0282,0.995,0.0,20.1,-0.09985,0.0,0.995,0.0
1762182216793238162,0,0,0,0,0,0,0,0,0,1.032,-0.1029,19.77,0.2266,0.03516,1.297,0.01,0.191,-0.0275,0.995,0.0,20.1,-0.09985,0.0,0.995,0.0
1762182216843244314,0,0,0,0,0,0,0,0,0,1.038,-0.10175,19.8,0.2031,0.03906,1.301,0.011894,0.1932,-0.02792,0.98,0.0,20.2,-0.1986,0.0,0.98,0.0
1762182216893233060,0,0,0,0,0,0,0,0,0,1.05,-0.09875,19.89,0.1406,0.04688,1.27,0.00994,0.201,-0.02917,0.98,0.0,20.2,-0.1986,0.0,0.98,0.0
1762182216943246126,0,0,0,0,0,0,0,0,0,1.054,-0.0969,19.94,0.1094,0.05078,1.27,0.00874,0.2094,-0.02892,0.9556,0.0,20.3,-0.2954,0.0,0.9556,0.0
1762182216993245840,0,0,0,0,0,0,0,0,0,1.058,-0.093,20.02,0.04297,0.0586,1.273,0.00894,0.2163,-0.0285,0.9556,0.0,20.3,-0.2954,0.0,0.9556,0.0
1762182217043247699,0,0,0,0,0,0,0,0,0,1.058,-0.092,20.05,0.007812,0.04297,1.293,0.00943,0.2191,-0.0282,0.921,0.0,20.39,-0.3894,0.0,0.921,0.0
1762182217093245267,0,0,0,0,0,0,0,0,0,1.054,-0.088,20.14,-0.0664,0.0547,1.328,0.00881,0.2217,-0.02788,0.921,0.0,20.39,-0.3894,0.0,0.921,0.0
1762182217143249511,0,0,0,0,0,0,0,0,0,1.051,-0.0859,20.19,-0.08984,0.0586,1.32,0.007214,0.2233,-0.0277,0.8774,0.0,20.48,-0.4795,0.0,0.8774,0.0
1762182217193251371,0,0,0,0,0,0,0,0,0,1.042,-0.0827,20.27,-0.1641,0.0547,1.246,0.001414,0.2307,-0.0281,0.8774,0.0,20.48,-0.4795,0.0,0.8774,0.0
1762182217243252754,0,0,0,0,0,0,0,0,0,1.035,-0.0807,20.31,-0.1992,0.0547,1.227,-0.001945,0.2374,-0.02765,0.825,0.0,20.56,-0.5645,0.0,0.825,0.0
1762182217293263673,0,0,0,0,0,0,0,0,0,1.018,-0.0769,20.4,-0.2773,0.0547,1.207,-0.003056,0.2407,-0.0273,0.825,0.0,20.56,-0.5645,0.0,0.825,0.0
1762182217343272686,0,0,0,0,0,0,0,0,0,1.003,-0.07446,20.44,-0.3125,0.0547,1.195,-0.004745,0.2411,-0.028,0.7646,0.0,20.64,-0.644,0.0,0.7646,0.0
1762182217393260002,0,0,0,0,0,0,0,0,0,0.9834,-0.0714,20.52,-0.4336,0.0625,1.168,-0.00616,0.2428,-0.0283,0.7646,0.0,20.64,-0.644,0.0,0.7646,0.0
1762182217443235874,0,0,0,0,0,0,0,0,0,0.956,-0.06793,20.58,-0.4844,0.0586,1.098,-0.00743,0.2441,-0.02748,0.697,0.0,20.72,-0.7173,0.0,0.697,0.0
1762182217493268489,0,0,0,0,0,0,0,0,0,0.9355,-0.06573,20.62,-0.5234,0.0547,1.047,-0.01117,0.2467,-0.02759,0.697,0.0,20.72,-0.7173,0.0,0.697,0.0
1762182217543254852,0,0,0,0,0,0,0,0,0,0.9136,-0.0637,20.66,-0.5547,0.05078,1.016,-0.01369,0.2505,-0.02756,0.6216,0.0,20.78,-0.783,0.0,0.6216,0.0
1762182217593253612,0,0,0,0,0,0,0,0,0,0.875,-0.06204,20.73,-0.6055,0.02344,0.9375,-0.01755,0.2487,-0.02716,0.6216,0.0,20.78,-0.783,0.0,0.6216,0.0
