time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762182965739496469,0,0,0,0,0,0,0,0,0,2.18,-0.05518,19.2,0.1797,0.02344,2.32,0.0887,0.3596,0.02507,2.0,0.0,20.0,-0.0,0.0,2.0,0.0
1762182965789496421,0,0,0,0,0,0,0,0,0,2.18,-0.05518,19.2,0.1797,0.02344,2.32,0.0887,0.3596,0.02507,1.99,0.0,20.2,-0.1997,0.0,1.99,0.0
1762182965839496850,0,0,0,0,0,0,0,0,0,2.186,-0.04846,19.34,-0.03516,0.0586,2.395,0.0876,0.3577,0.02379,1.99,0.0,20.2,-0.1997,0.0,1.99,0.0
1762182965889496564,0,0,0,0,0,0,0,0,0,2.17,-0.04385,19.62,-0.3633,0.09375,2.254,0.07874,0.337,0.02382,1.96,0.0,20.39,-0.3972,0.0,1.96,0.0
1762182965939497232,0,0,0,0,0,0,0,0,0,2.148,-0.03912,19.72,-0.5,0.1133,2.352,0.07605,0.3308,0.02397,1.96,0.0,20.39,-0.3972,0.0,1.96,0.0
1762182965989496469,0,0,0,0,0,0,0,0,0,2.117,-0.03278,19.84,-0.621,0.1211,2.355,0.0656,0.3096,0.02458,1.911,0.0,20.6,-0.591,0.0,1.911,0.0
1762182966039500951,0,0,0,0,0,0,0,0,0,2.092,-0.0284,19.92,-0.676,0.1211,2.266,0.0629,0.3037,0.02371,1.911,0.0,20.6,-0.591,0.0,1.911,0.0
1762182966089496850,0,0,0,0,0,0,0,0,0,2.068,-0.0244,19.98,-0.7227,0.1211,2.21,0.0603,0.2961,0.0227,1.842,0.0,20.78,-0.779,0.0,1.842,0.0
1762182966139492273,0,0,0,0,0,0,0,0,0,2.068,-0.0244,19.98,-0.7227,0.1211,2.21,0.0603,0.2961,0.0227,1.842,0.0,20.78,-0.779,0.0,1.842,0.0
1762182966189497232,0,0,0,0,0,0,0,0,0,1.972,-0.00862,20.05,-0.7695,0.125,2.125,0.059,0.289,0.02303,1.755,0.0,20.95,-0.959,0.0,1.755,0.0
1762182966239501237,0,0,0,0,0,0,0,0,0,1.925,-0.00139,20.23,-0.84,0.1289,1.797,0.0615,0.2258,0.02222,1.755,0.0,20.95,-0.959,0.0,1.755,0.0
1762182966289496660,0,0,0,0,0,0,0,0,0,1.873,0.005104,20.4,-0.9297,0.1133,2.082,0.03763,0.16,0.0231,1.65,0.0,21.12,-1.129,0.0,1.65,0.0
