time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762188686096960067,0,0,0,0,0,0,0,0,0,0.516,0.1001,18.55,1.633,0.007812,0.879,0.00867,0.1157,0.01872,2.0,0.0,20.0,-0.0,0.0,2.0,0.0
1762188686146967649,0,0,0,0,0,0,0,0,0,0.5825,0.1001,18.6,1.605,0.0,0.961,0.00855,0.11914,0.01837,1.99,0.0,20.2,-0.1997,0.0,1.99,0.0
1762188686196959972,0,0,0,0,0,0,0,0,0,0.683,0.09973,18.66,1.5625,-0.007812,1.047,0.00897,0.126,0.01817,1.99,0.0,20.2,-0.1997,0.0,1.99,0.0
1762188686246964931,0,0,0,0,0,0,0,0,0,0.7314,0.09937,18.7,1.531,-0.01172,1.098,0.00962,0.1284,0.01836,1.96,0.0,20.39,-0.3972,0.0,1.96,0.0
1762188686296960592,0,0,0,0,0,0,0,0,0,0.824,0.0971,18.78,1.48,-0.03906,1.176,0.01068,0.1385,0.01811,1.96,0.0,20.39,-0.3972,0.0,1.96,0.0
1762188686346970319,0,0,0,0,0,0,0,0,0,0.886,0.0953,18.83,1.441,-0.04297,1.227,0.0112,0.1415,0.01817,1.911,0.0,20.6,-0.591,0.0,1.911,0.0
1762188686396960258,0,0,0,0,0,0,0,0,0,0.972,0.0923,18.89,1.387,-0.05078,1.301,0.01276,0.1495,0.01834,1.911,0.0,20.6,-0.591,0.0,1.911,0.0
1762188686446953296,0,0,0,0,0,0,0,0,0,1.016,0.0904,18.95,1.344,-0.0586,1.355,0.012405,0.1517,0.0182,1.842,0.0,20.78,-0.779,0.0,1.842,0.0
1762188686496959686,0,0,0,0,0,0,0,0,0,1.098,0.0863,19.05,1.273,-0.0664,1.426,0.01244,0.1566,0.01813,1.842,0.0,20.78,-0.779,0.0,1.842,0.0
1762188686546946525,0,0,0,0,0,0,0,0,0,1.098,0.0863,19.05,1.273,-0.0664,1.426,0.01244,0.1566,0.01813,1.755,0.0,20.95,-0.959,0.0,1.755,0.0
1762188686596949100,0,0,0,0,0,0,0,0,0,1.098,0.0863,19.05,1.273,-0.0664,1.426,0.01244,0.1566,0.01813,1.755,0.0,20.95,-0.959,0.0,1.755,0.0
1762188686646960496,0,0,0,0,0,0,0,0,0,1.291,0.07416,19.25,1.121,-0.08203,1.559,0.0163,0.1698,0.01878,1.65,0.0,21.12,-1.129,0.0,1.65,0.0
1762188686696941852,0,0,0,0,0,0,0,0,0,1.34,0.0702,19.36,1.035,-0.08594,1.629,0.0206,0.1777,0.01802,1.65,0.0,21.12,-1.129,0.0,1.65,0.0
1762188686746953964,0,0,0,0,0,0,0,0,0,1.371,0.06757,19.4,1.004,-0.08594,1.652,0.02063,0.1807,0.01805,1.529,0.0,21.28,-1.288,0.0,1.529,0.0
1762188686796952724,0,0,0,0,0,0,0,0,0,1.371,0.06757,19.4,1.004,-0.08594,1.652,0.02063,0.1807,0.01805,1.529,0.0,21.28,-1.288,0.0,1.529,0.0
1762188686846961498,0,0,0,0,0,0,0,0,0,1.371,0.06757,19.4,1.004,-0.08594,1.652,0.02063,0.1807,0.01805,1.394,0.0,21.44,-1.435,0.0,1.394,0.0
