time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738229341885685205,0,0,0,0,0,0,0,0,0,2.932,0.08203,9.15,-0.3867,-0.2969,2.207,-0.06976,0.1251,0.02916,3.0,0.0,9.836,-0.0,0.0,1.993,0.0
1738229341935656547,0,0,0,0,0,0,0,0,0,2.912,0.0669,9.28,-0.3906,-0.3047,2.18,-0.06744,0.11444,0.02954,3.0,0.0,10.0,-0.0,0.0,2.0,0.0
1738229341985671997,0,0,0,0,0,0,0,0,0,2.895,0.05264,9.37,-0.3828,-0.3086,2.14,-0.0655,0.1107,0.0294,3.0,0.0,10.0,-0.0,0.0,2.0,0.0
1738229342035677194,0,0,0,0,0,0,0,0,0,2.873,0.03415,9.49,-0.375,-0.3164,2.117,-0.0618,0.10223,0.02986,3.0,0.0,10.2,-0.0,0.0,1.99,0.0
1738229342085679054,0,0,0,0,0,0,0,0,0,2.857,0.02138,9.57,-0.375,-0.3203,2.137,-0.0585,0.09595,0.02948,3.0,0.0,10.2,-0.0,0.0,1.99,0.0
1738229342135663032,0,0,0,0,0,0,0,0,0,2.848,0.01311,9.64,-0.3633,-0.3203,2.164,-0.0514,0.0856,0.0302,3.0,0.0,10.4,-0.0,0.0,1.96,0.0
1738229342185683012,0,0,0,0,0,0,0,0,0,2.82,-0.01262,9.79,-0.332,-0.3086,2.168,-0.03934,0.06604,0.02998,3.0,0.0,10.4,-0.0,0.0,1.96,0.0
1738229342235667228,0,0,0,0,0,0,0,0,0,2.803,-0.02946,9.93,-0.2969,-0.2852,2.152,-0.03275,0.05655,0.03023,3.0,0.0,10.59,-0.0,0.0,1.911,0.0
1738229342285665035,0,0,0,0,0,0,0,0,0,2.791,-0.04037,10.0,-0.2773,-0.2773,2.16,-0.02805,0.05096,0.0303,3.0,0.0,10.59,-0.0,0.0,1.911,0.0
1738229342335660457,0,0,0,0,0,0,0,0,0,2.775,-0.05624,10.15,-0.2305,-0.254,2.168,-0.0216,0.04282,0.0292,3.0,0.0,10.78,-0.0,0.0,1.842,0.0
1738229342385650873,0,0,0,0,0,0,0,0,0,2.775,-0.05624,10.15,-0.2305,-0.254,2.168,-0.0216,0.04282,0.0292,3.0,0.0,10.78,-0.0,0.0,1.842,0.0
1738229342435672283,0,0,0,0,0,0,0,0,0,2.775,-0.05624,10.15,-0.2305,-0.254,2.168,-0.0216,0.04282,0.0292,3.0,0.0,10.78,-0.0,0.0,1.842,0.0
1738229342485684156,0,0,0,0,0,0,0,0,0,2.756,-0.0807,10.21,-0.207,-0.2422,2.172,-0.01701,0.03897,0.02959,3.0,0.0,10.96,-0.0,0.0,1.755,0.0
1738229342535660743,0,0,0,0,0,0,0,0,0,2.74,-0.0995,10.42,-0.125,-0.1875,2.176,-0.00891,0.03323,0.02953,3.0,0.0,11.13,-0.0,0.0,1.65,0.0
1738229342585674524,0,0,0,0,0,0,0,0,0,2.738,-0.10596,10.57,-0.0703,-0.1523,2.176,-0.004795,0.03072,0.02972,3.0,0.0,11.13,-0.0,0.0,1.65,0.0
1738229342635682106,0,0,0,0,0,0,0,0,0,2.736,-0.1125,10.78,0.007812,-0.0742,2.164,-0.004208,0.02924,0.0296,3.0,0.0,11.29,-0.0,0.0,1.529,0.0
1738229342685685873,0,0,0,0,0,0,0,0,0,2.738,-0.1145,10.85,0.02734,-0.0586,2.125,-0.005157,0.03096,0.02959,3.0,0.0,11.29,-0.0,0.0,1.529,0.0
1738229342735688686,0,0,0,0,0,0,0,0,0,2.742,-0.11725,10.98,0.0625,-0.03906,1.898,-0.01976,0.0512,0.02942,3.0,0.0,11.44,-0.0,0.0,1.394,0.0
1738229342785681962,0,0,0,0,0,0,0,0,0,2.744,-0.1185,11.03,0.0703,-0.03516,1.805,-0.03073,0.0692,0.0296,3.0,0.0,11.44,-0.0,0.0,1.394,0.0
1738229342835667610,0,0,0,0,0,0,0,0,0,2.75,-0.11975,11.16,0.09766,-0.01563,1.883,-0.03064,0.0799,0.0314,3.0,0.0,11.57,-0.0,0.0,1.243,0.0
1738229342885682344,0,0,0,0,0,0,0,0,0,2.756,-0.1199,11.234,0.1172,-0.003906,1.953,-0.01709,0.065,0.03035,3.0,0.0,11.57,-0.0,0.0,1.243,0.0
1738229342935685157,0,0,0,0,0,0,0,0,0,2.758,-0.1199,11.28,0.1328,0.0,1.98,-0.007366,0.05005,0.02766,3.0,0.0,11.68,-0.0,0.0,1.081,0.0
1738229342985676050,0,0,0,0,0,0,0,0,0,2.77,-0.11804,11.414,0.1719,0.03125,1.98,-0.007042,0.047,0.0278,3.0,0.0,11.68,-0.0,0.0,1.081,0.0
1738229343035684347,0,0,0,0,0,0,0,0,0,2.781,-0.11505,11.54,0.1836,0.0547,1.805,-0.01553,0.05933,0.028,3.0,0.0,11.78,-0.0,0.0,0.907,0.0
1738229343085676908,0,0,0,0,0,0,0,0,0,2.79,-0.11255,11.59,0.1914,0.0586,1.793,-0.02391,0.07214,0.02821,3.0,0.0,11.78,-0.0,0.0,0.907,0.0
1738229343135675191,0,0,0,0,0,0,0,0,0,2.8,-0.1085,11.73,0.1992,0.0742,1.848,-0.02328,0.0801,0.02888,3.0,0.0,11.87,-0.0,0.0,0.7246,0.0
1738229343185664415,0,0,0,0,0,0,0,0,0,2.8,-0.1085,11.73,0.1992,0.0742,1.848,-0.02328,0.0801,0.02888,3.0,0.0,11.87,-0.0,0.0,0.7246,0.0
1738229343235679149,0,0,0,0,0,0,0,0,0,2.8,-0.1085,11.73,0.1992,0.0742,1.848,-0.02328,0.0801,0.02888,3.0,0.0,11.93,-0.0,0.0,0.535,0.0
1738229343285664558,0,0,0,0,0,0,0,0,0,2.828,-0.09595,11.82,0.2031,0.09375,1.754,-0.02191,0.0808,0.02917,3.0,0.0,11.93,-0.0,0.0,0.535,0.0
1738229343335698843,0,0,0,0,0,0,0,0,0,2.842,-0.0887,12.0,0.2109,0.1133,1.5,-0.02647,0.0995,0.03047,3.0,0.0,11.97,-0.0,0.0,0.3398,0.0
1738229343385680675,0,0,0,0,0,0,0,0,0,2.85,-0.0848,12.086,0.2109,0.1172,1.43,-0.03105,0.1038,0.03055,3.0,0.0,11.97,-0.0,0.0,0.3398,0.0
1738229343435663700,0,0,0,0,0,0,0,0,0,2.865,-0.0769,12.18,0.2344,0.1172,1.363,-0.0306,0.09973,0.02867,3.0,0.0,11.99,-0.0,0.0,0.1415,0.0
1738229343485677003,0,0,0,0,0,0,0,0,0,2.875,-0.072,12.23,0.2383,0.1211,1.301,-0.03073,0.0991,0.02843,3.0,0.0,11.99,-0.0,0.0,0.1415,0.0
1738229343535678625,0,0,0,0,0,0,0,0,0,2.889,-0.064,12.305,0.2422,0.1328,1.07,-0.0341,0.1027,0.02905,3.0,0.0,12.0,-0.0,0.0,-0.0584,0.0
1738229343585680484,0,0,0,0,0,0,0,0,0,2.889,-0.064,12.305,0.2422,0.1328,1.07,-0.0341,0.1027,0.02905,3.0,0.0,12.0,-0.0,0.0,-0.0584,0.0
1738229343635675907,0,0,0,0,0,0,0,0,0,2.889,-0.064,12.305,0.2422,0.1328,1.07,-0.0341,0.1027,0.02905,3.0,0.0,12.0,-0.0,0.0,-0.0584,0.0
1738229343685681104,0,0,0,0,0,0,0,0,0,2.91,-0.0525,12.33,0.2461,0.1367,0.961,-0.0371,0.1062,0.02896,3.0,0.0,11.984,-0.0,0.0,-0.2576,0.0
1738229343735685348,0,0,0,0,0,0,0,0,0,2.934,-0.03864,12.39,0.2344,0.1445,0.7695,-0.03738,0.10974,0.0295,3.0,0.0,11.945,-0.0,0.0,-0.4543,0.0
1738229343785678863,0,0,0,0,0,0,0,0,0,2.945,-0.03033,12.47,0.2383,0.1562,0.4531,-0.03275,0.1047,0.02824,3.0,0.0,11.945,-0.0,0.0,-0.4543,0.0
1738229343835659265,0,0,0,0,0,0,0,0,0,2.96,-0.02058,12.49,0.2422,0.1602,0.336,-0.02888,0.099,0.02876,3.0,0.0,11.89,-0.0,0.0,-0.6465,0.0
1738229343885672807,0,0,0,0,0,0,0,0,0,2.969,-0.01538,12.5,0.2461,0.168,0.2617,-0.0295,0.0989,0.02885,3.0,0.0,11.89,-0.0,0.0,-0.6465,0.0
1738229343935670375,0,0,0,0,0,0,0,0,0,2.984,-0.004063,12.516,0.25,0.1758,0.0742,-0.03738,0.1046,0.02885,3.0,0.0,11.82,-0.0,0.0,-0.8325,0.0
1738229343985799312,0,0,0,0,0,0,0,0,0,2.994,0.002821,12.516,0.25,0.1719,-0.0,-0.03867,0.107,0.02924,3.0,0.0,11.82,-0.0,0.0,-0.8325,0.0
1738229344035796165,0,0,0,0,0,0,0,0,0,3.002,0.00744,12.516,0.2578,0.1758,-0.1523,-0.039,0.10785,0.02957,3.0,0.0,11.73,-0.0,0.0,-1.01,0.0
1738229344085677146,0,0,0,0,0,0,0,0,0,3.02,0.01935,12.49,0.25,0.1719,-0.3867,-0.04282,0.1161,0.02907,3.0,0.0,11.73,-0.0,0.0,-1.01,0.0
1738229344135676145,0,0,0,0,0,0,0,0,0,3.037,0.0314,12.46,0.25,0.168,-0.621,-0.03888,0.11743,0.03123,3.0,0.0,11.62,-0.0,0.0,-1.177,0.0
1738229344185716390,0,0,0,0,0,0,0,0,0,3.047,0.038,12.445,0.25,0.1797,-0.7188,-0.0358,0.1163,0.03204,3.0,0.0,11.62,-0.0,0.0,-1.177,0.0
1738229344235663652,0,0,0,0,0,0,0,0,0,3.06,0.04846,12.39,0.254,0.1719,-0.8984,-0.03043,0.1145,0.0325,3.0,0.0,11.49,-0.0,0.0,-1.333,0.0
1738229344285640239,0,0,0,0,0,0,0,0,0,3.07,0.05444,12.36,0.254,0.1836,-0.9805,-0.02647,0.11554,0.03296,3.0,0.0,11.49,-0.0,0.0,-1.333,0.0
1738229344335648536,0,0,0,0,0,0,0,0,0,3.082,0.0638,12.32,0.254,0.1836,-1.086,-0.02219,0.11426,0.0332,3.0,0.0,11.35,-0.0,0.0,-1.475,0.0
1738229344385636806,0,0,0,0,0,0,0,0,0,3.098,0.07477,12.26,0.25,0.1914,-1.219,-0.01359,0.1193,0.03256,3.0,0.0,11.35,-0.0,0.0,-1.475,0.0
1738229344435653448,0,0,0,0,0,0,0,0,0,3.102,0.0794,12.21,0.2422,0.2031,-1.344,-0.01141,0.1194,0.0321,3.0,0.0,11.195,-0.0,0.0,-1.603,0.0
1738229344485637903,0,0,0,0,0,0,0,0,0,3.117,0.0929,12.13,0.2383,0.207,-1.52,-0.02606,0.121,0.03023,3.0,0.0,11.195,-0.0,0.0,-1.603,0.0
1738229344535651445,0,0,0,0,0,0,0,0,0,3.137,0.10785,12.016,0.2344,0.1914,-1.672,-0.05765,0.1112,0.0297,3.0,0.0,11.03,-0.0,0.0,-1.714,0.0
1738229344585646867,0,0,0,0,0,0,0,0,0,3.137,0.10785,12.016,0.2344,0.1914,-1.672,-0.05765,0.1112,0.0297,3.0,0.0,11.03,-0.0,0.0,-1.714,0.0
1738229344635651826,0,0,0,0,0,0,0,0,0,3.158,0.1238,11.86,0.2266,0.1445,-1.844,-0.0771,0.10864,0.03055,3.0,0.0,10.85,-0.0,0.0,-1.809,0.0
1738229344685659885,0,0,0,0,0,0,0,0,0,3.168,0.1284,11.8,0.2227,0.1211,-1.883,-0.08386,0.10956,0.0293,3.0,0.0,10.85,-0.0,0.0,-1.809,0.0
1738229344735663175,0,0,0,0,0,0,0,0,0,3.18,0.1345,11.695,0.2109,0.10156,-1.93,-0.0661,0.11884,0.02971,3.0,0.0,10.67,-0.0,0.0,-1.885,0.0
1738229344785651445,0,0,0,0,0,0,0,0,0,3.188,0.1383,11.63,0.1953,0.09375,-1.957,-0.05908,0.1239,0.03183,3.0,0.0,10.67,-0.0,0.0,-1.885,0.0
1738229344835656166,0,0,0,0,0,0,0,0,0,3.2,0.1416,11.55,0.1797,0.05078,-2.0,-0.07605,0.1353,0.02669,3.0,0.0,10.48,-0.0,0.0,-1.942,0.0
1738229344885628700,0,0,0,0,0,0,0,0,0,3.207,0.1433,11.46,0.1641,0.03516,-2.027,-0.07983,0.1335,0.02649,3.0,0.0,10.48,-0.0,0.0,-1.942,0.0
1738229344935668468,0,0,0,0,0,0,0,0,0,3.215,0.1443,11.36,0.1328,0.01563,-2.043,-0.0798,0.1409,0.0267,3.0,0.0,10.28,-0.0,0.0,-1.98,0.0
1738229344985670566,0,0,0,0,0,0,0,0,0,3.219,0.1448,11.27,0.10547,0.01172,-2.055,-0.0622,0.1484,0.02954,3.0,0.0,10.28,-0.0,0.0,-1.98,0.0
1738229345035652875,0,0,0,0,0,0,0,0,0,3.225,0.1443,11.164,0.0781,-0.01563,-2.05,-0.07043,0.1416,0.03052,3.0,0.0,10.086,-0.0,0.0,-1.998,0.0
1738229345085635423,0,0,0,0,0,0,0,0,0,3.227,0.1428,11.1,0.0586,-0.03125,-2.043,-0.0855,0.1337,0.03041,3.0,0.0,10.086,-0.0,0.0,-1.998,0.0
1738229345135762214,0,0,0,0,0,0,0,0,0,3.229,0.1407,11.016,0.03516,-0.05078,-2.043,-0.07263,0.1417,0.03061,3.0,0.0,9.88,-0.0,0.0,-1.997,0.0
1738229345185778379,0,0,0,0,0,0,0,0,0,3.229,0.1387,10.93,0.007812,-0.05078,-2.062,-0.0546,0.1519,0.03099,3.0,0.0,9.88,-0.0,0.0,-1.997,0.0
1738229345235739946,0,0,0,0,0,0,0,0,0,3.229,0.1387,10.93,0.007812,-0.05078,-2.062,-0.0546,0.1519,0.03099,3.0,0.0,9.69,-0.0,0.0,-1.975,0.0
