time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738229163446285009,0,0,0,0,0,0,0,0,0,3.037,-0.67,8.41,-0.10547,-0.1406,0.3828,-0.0346,0.1857,0.02853,3.0,0.0,9.836,-0.0,0.0,1.993,0.0
1738229163496286630,0,0,0,0,0,0,0,0,0,3.031,-0.6763,8.445,-0.1289,-0.1211,0.5117,-0.03105,0.1903,0.0293,3.0,0.0,9.836,-0.0,0.0,1.993,0.0
1738229163546283245,0,0,0,0,0,0,0,0,0,3.023,-0.6816,8.484,-0.1445,-0.1094,0.6016,-0.0291,0.1897,0.02924,3.0,0.0,10.0,-0.0,0.0,2.0,0.0
1738229163596298456,0,0,0,0,0,0,0,0,0,3.02,-0.684,8.51,-0.1523,-0.09766,0.6445,-0.02539,0.1876,0.02864,3.0,0.0,10.0,-0.0,0.0,2.0,0.0
1738229163646294116,0,0,0,0,0,0,0,0,0,3.014,-0.6875,8.54,-0.1523,-0.08984,0.707,-0.02284,0.1887,0.02812,3.0,0.0,10.2,-0.0,0.0,1.99,0.0
1738229163696278810,0,0,0,0,0,0,0,0,0,3.014,-0.6875,8.54,-0.1523,-0.08984,0.707,-0.02284,0.1887,0.02812,3.0,0.0,10.2,-0.0,0.0,1.99,0.0
1738229163746287584,0,0,0,0,0,0,0,0,0,2.992,-0.6978,8.586,-0.168,-0.0781,0.785,-0.02269,0.1897,0.02838,3.0,0.0,10.4,-0.0,0.0,1.96,0.0
1738229163796392679,0,0,0,0,0,0,0,0,0,2.982,-0.7007,8.73,-0.2109,-0.03906,0.965,-0.0278,0.1895,0.02875,3.0,0.0,10.59,-0.0,0.0,1.911,0.0
1738229163846434354,0,0,0,0,0,0,0,0,0,2.97,-0.701,8.82,-0.2305,-0.003906,1.082,-0.02864,0.1897,0.02892,3.0,0.0,10.59,-0.0,0.0,1.911,0.0
1738229163896273136,0,0,0,0,0,0,0,0,0,2.965,-0.701,8.85,-0.2383,-0.003906,1.117,-0.0272,0.187,0.02896,3.0,0.0,10.59,-0.0,0.0,1.911,0.0
1738229163946251153,0,0,0,0,0,0,0,0,0,2.965,-0.701,8.85,-0.2383,-0.003906,1.117,-0.0272,0.187,0.02896,3.0,0.0,10.78,-0.0,0.0,1.842,0.0
1738229163996261835,0,0,0,0,0,0,0,0,0,2.936,-0.6997,8.9,-0.25,0.01172,1.172,-0.02707,0.1857,0.02936,3.0,0.0,10.78,-0.0,0.0,1.842,0.0
1738229164046245813,0,0,0,0,0,0,0,0,0,2.918,-0.698,9.1,-0.3008,0.04297,1.379,-0.03204,0.1716,0.0291,3.0,0.0,10.96,-0.0,0.0,1.755,0.0
1738229164096289396,0,0,0,0,0,0,0,0,0,2.908,-0.6963,9.14,-0.3008,0.05078,1.414,-0.0317,0.1666,0.02945,3.0,0.0,10.96,-0.0,0.0,1.755,0.0
1738229164146299362,0,0,0,0,0,0,0,0,0,2.9,-0.695,9.195,-0.3086,0.0586,1.465,-0.03165,0.1654,0.02924,3.0,0.0,11.13,-0.0,0.0,1.65,0.0
1738229164196321964,0,0,0,0,0,0,0,0,0,2.873,-0.6895,9.305,-0.3164,0.0703,1.539,-0.0337,0.1604,0.03049,3.0,0.0,11.29,-0.0,0.0,1.529,0.0
1738229164246309995,0,0,0,0,0,0,0,0,0,2.861,-0.6865,9.36,-0.3125,0.0781,1.555,-0.03418,0.1586,0.0306,3.0,0.0,11.29,-0.0,0.0,1.529,0.0
1738229164296298503,0,0,0,0,0,0,0,0,0,2.842,-0.68,9.52,-0.3047,0.10156,1.609,-0.03632,0.153,0.03088,3.0,0.0,11.29,-0.0,0.0,1.529,0.0
1738229164346300125,0,0,0,0,0,0,0,0,0,2.826,-0.6743,9.61,-0.293,0.1133,1.656,-0.03687,0.149,0.03104,3.0,0.0,11.44,-0.0,0.0,1.394,0.0
