time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738833257923059463,3.318,-0.3445,6.977,0.11176,1.085,0.01209,-0.0385,-0.02544,-0.05392,3.14,-0.2913,6.996,0.03125,1.051,0.007812,-0.0371,-0.02554,0.03345,3.0,-0.04956,7.0,0.01653,1.0,0.0,0.0
1738833257973067760,3.32,-0.3184,6.977,0.1066,1.088,0.012596,-0.03845,-0.02556,-0.0539,3.158,-0.265,6.996,0.02734,1.051,0.007812,-0.03705,-0.02545,0.03345,3.0,0.0,7.0,-0.0,1.0,0.0,0.0
1738833258023062944,3.328,-0.2354,6.98,0.09235,1.096,0.014694,-0.0383,-0.02791,-0.05377,3.158,-0.1853,6.996,0.01172,1.059,0.01172,-0.0368,-0.02658,0.0333,3.0,0.0,7.0,-0.0,1.0,0.0,0.0
1738833258073080539,3.332,-0.1781,6.98,0.0773,1.103,0.01566,-0.03735,-0.02892,-0.05365,3.158,-0.1588,6.992,0.003906,1.0625,0.01172,-0.0367,-0.02771,0.03333,2.998,0.1,7.0,-0.03333,0.9995,0.0,0.0
1738833258123057126,3.336,-0.1251,6.98,0.06555,1.107,0.01678,-0.0358,-0.02963,-0.05356,3.158,-0.0793,6.992,-0.007812,1.07,0.01172,-0.03546,-0.02902,0.03342,2.998,0.1,7.0,-0.03333,0.9995,0.0,0.0
1738833258173023700,3.338,-0.0674,6.98,0.0526,1.111,0.0183,-0.03366,-0.03009,-0.05347,3.158,-0.05276,6.992,-0.01172,1.07,0.01172,-0.0346,-0.02939,0.03342,2.994,0.1998,7.0,-0.0666,0.9976,0.0,0.0
1738833258223037004,3.338,-0.0674,6.98,0.0526,1.111,0.0183,-0.03366,-0.03009,-0.05347,3.158,-0.02625,6.992,-0.02344,1.074,0.01172,-0.03333,-0.02983,0.03348,2.994,0.1998,7.0,-0.0666,0.9976,0.0,0.0
1738833258273061990,3.342,-0.009476,6.984,0.0396,1.115,0.01956,-0.0315,-0.03038,-0.0534,3.158,0.0533,6.992,-0.03906,1.078,0.01563,-0.03038,-0.03023,0.03354,2.984,0.2996,7.0,-0.09985,0.995,0.0,0.0
1738833258323043823,3.342,0.053,6.984,0.02553,1.117,0.02054,-0.02864,-0.03065,-0.0533,3.158,0.1328,6.992,-0.0547,1.078,0.01563,-0.02745,-0.03046,0.03366,2.984,0.2996,7.0,-0.09985,0.995,0.0,0.0
1738833258373013257,3.344,0.1514,6.984,0.003218,1.117,0.02182,-0.02536,-0.03192,-0.05325,3.158,0.1593,6.992,-0.0586,1.078,0.01563,-0.02599,-0.03056,0.03363,2.973,0.399,7.0,-0.1329,0.991,0.0,0.0
1738833258423028707,3.344,0.205,6.99,-0.00963,1.116,0.02188,-0.02429,-0.0334,-0.0532,3.158,0.2389,6.992,-0.0781,1.078,0.01563,-0.02368,-0.0319,0.0337,2.973,0.399,7.0,-0.1329,0.991,0.0,0.0
1738833258472998619,3.344,0.2673,6.99,-0.02525,1.114,0.02127,-0.02235,-0.03467,-0.05313,3.158,0.2654,6.996,-0.08594,1.078,0.01563,-0.02292,-0.03302,0.03378,2.959,0.4978,7.0,-0.1659,0.9863,0.0,0.0
1738833258523028373,3.342,0.3208,6.99,-0.039,1.112,0.02135,-0.02068,-0.03537,-0.05313,3.14,0.345,6.992,-0.10156,1.074,0.01563,-0.0208,-0.03452,0.03403,2.959,0.4978,7.0,-0.1659,0.9863,0.0,0.0
1738833258572981357,3.342,0.3252,6.99,-0.04016,1.112,0.02136,-0.02055,-0.03543,-0.05313,3.158,0.3716,6.996,-0.1094,1.074,0.01563,-0.01968,-0.03497,0.03412,2.94,0.596,7.0,-0.1986,0.98,0.0,0.0
1738833258623025178,3.338,0.3787,6.99,-0.05426,1.109,0.02159,-0.01936,-0.0369,-0.05313,3.14,0.4246,6.996,-0.125,1.066,0.01563,-0.01799,-0.03656,0.03427,2.94,0.596,7.0,-0.1986,0.98,0.0,0.0
1738833258673002481,3.336,0.4363,6.992,-0.0703,1.105,0.02182,-0.01843,-0.03864,-0.05316,3.14,0.4775,6.996,-0.1367,1.0625,0.01563,-0.01723,-0.03787,0.03442,2.918,0.694,7.0,-0.2312,0.973,0.0,0.0
1738833258723020315,3.332,0.498,6.992,-0.08856,1.101,0.02179,-0.01651,-0.04126,-0.0532,3.14,0.557,6.996,-0.1562,1.059,0.01563,-0.015205,-0.04068,0.03424,2.918,0.694,7.0,-0.2312,0.973,0.0,0.0
1738833258772961616,3.326,0.5464,6.992,-0.1038,1.097,0.02199,-0.015114,-0.04315,-0.05322,3.14,0.5835,6.996,-0.1641,1.055,0.01563,-0.014275,-0.042,0.03406,2.895,0.7905,7.0,-0.2634,0.965,0.0,0.0
1738833258822989463,3.314,0.651,6.996,-0.1399,1.086,0.02191,-0.01326,-0.04797,-0.05322,3.123,0.6367,6.996,-0.1836,1.047,0.01563,-0.012596,-0.0451,0.03397,2.895,0.7905,7.0,-0.2634,0.965,0.0,0.0
1738833258872969388,3.309,0.703,6.996,-0.159,1.081,0.02193,-0.01275,-0.04953,-0.0532,3.123,0.6895,6.996,-0.1953,1.043,0.01563,-0.012024,-0.04694,0.03397,2.865,0.8867,7.0,-0.2954,0.9556,0.0,0.0
1738833258922985553,3.309,0.703,6.996,-0.159,1.081,0.02193,-0.01275,-0.04953,-0.0532,3.105,0.7427,6.996,-0.2227,1.031,0.01563,-0.01129,-0.0493,0.03403,2.865,0.8867,7.0,-0.2954,0.9556,0.0,0.0
1738833258972996234,3.29,0.8105,7.0,-0.2007,1.068,0.02132,-0.01097,-0.05267,-0.0532,3.105,0.769,6.996,-0.2305,1.027,0.01172,-0.01105,-0.05008,0.03412,2.834,0.9814,7.0,-0.3271,0.945,0.0,0.0
1738833259022986412,3.283,0.8447,7.0,-0.2145,1.064,0.02107,-0.01001,-0.05396,-0.0532,3.088,0.8486,6.996,-0.2578,1.016,0.01172,-0.00954,-0.05234,0.03427,2.834,0.9814,7.0,-0.3271,0.945,0.0,0.0
1738833259072969436,3.268,0.917,7.0,-0.2449,1.055,0.0204,-0.00855,-0.0558,-0.05325,3.088,0.875,6.996,-0.2695,1.012,0.01172,-0.008354,-0.05374,0.03442,2.8,1.075,7.0,-0.3584,0.9336,0.0,0.0
1738833259122987031,3.254,0.971,7.0,-0.2686,1.047,0.01976,-0.00785,-0.05673,-0.05328,3.07,0.9546,6.996,-0.2969,1.0,0.01172,-0.007076,-0.0554,0.03415,2.8,1.075,7.0,-0.3584,0.9336,0.0,0.0
1738833259172970056,3.24,1.021,7.004,-0.2903,1.04,0.01901,-0.008415,-0.05728,-0.05328,3.07,0.9814,6.996,-0.3086,0.996,0.01172,-0.006653,-0.056,0.03397,2.764,1.168,7.0,-0.3894,0.921,0.0,0.0
1738833259222980022,3.225,1.075,7.004,-0.314,1.033,0.01817,-0.00945,-0.0577,-0.05322,3.055,1.008,6.996,-0.3203,0.9883,0.01172,-0.00657,-0.05646,0.03378,2.764,1.168,7.0,-0.3894,0.921,0.0,0.0
1738833259272970676,3.209,1.125,7.004,-0.3357,1.026,0.0173,-0.0102,-0.05795,-0.0532,3.037,1.087,6.996,-0.3477,0.9766,0.007812,-0.007866,-0.05704,0.03363,2.723,1.26,7.0,-0.42,0.9077,0.0,0.0
1738833259322995185,3.191,1.178,7.004,-0.3591,1.0205,0.01602,-0.010704,-0.0583,-0.0531,3.02,1.141,6.996,-0.375,0.965,0.007812,-0.0089,-0.05734,0.0335,2.723,1.26,7.0,-0.42,0.9077,0.0,0.0
1738833259372976303,3.174,1.227,7.008,-0.3806,1.015,0.015114,-0.00994,-0.05957,-0.05304,3.02,1.167,6.996,-0.3828,0.961,0.007812,-0.00916,-0.05743,0.03342,2.68,1.35,7.0,-0.45,0.893,0.0,0.0
1738833259422992706,3.154,1.279,7.008,-0.4048,1.008,0.014404,-0.00886,-0.06097,-0.05295,3.002,1.22,7.0,-0.4102,0.949,0.007812,-0.0085,-0.05884,0.03342,2.68,1.35,7.0,-0.45,0.893,0.0,0.0
1738833259472979307,3.133,1.328,7.008,-0.427,1.002,0.01397,-0.008095,-0.0608,-0.05286,2.984,1.272,7.0,-0.4258,0.9453,0.003906,-0.00774,-0.05997,0.0334,2.633,1.438,7.0,-0.4795,0.8774,0.0,0.0
1738833259522991657,3.111,1.38,7.008,-0.4507,0.9946,0.01329,-0.007557,-0.0603,-0.0528,2.95,1.326,7.0,-0.4531,0.9336,0.003906,-0.006615,-0.0599,0.03345,2.633,1.438,7.0,-0.4795,0.8774,0.0,0.0
1738833259572973966,3.088,1.427,7.008,-0.4722,0.9883,0.01273,-0.0083,-0.061,-0.0527,2.95,1.353,7.0,-0.461,0.9297,0.003906,-0.006264,-0.05957,0.03345,2.584,1.525,7.0,-0.5083,0.8613,0.0,0.0
1738833259622983455,3.062,1.479,7.008,-0.4958,0.982,0.01232,-0.00931,-0.0621,-0.0526,2.914,1.432,7.0,-0.4883,0.918,0.003906,-0.00697,-0.06024,0.03345,2.584,1.525,7.0,-0.5083,0.8613,0.0,0.0
1738833259672988176,3.04,1.525,7.01,-0.518,0.9766,0.011765,-0.008934,-0.06287,-0.05255,2.896,1.459,7.0,-0.508,0.91,0.003906,-0.00785,-0.0611,0.03348,2.531,1.61,7.0,-0.5366,0.8438,0.0,0.0
1738833259722990512,3.012,1.576,7.01,-0.5415,0.97,0.01128,-0.00817,-0.0635,-0.0525,2.879,1.512,7.0,-0.5312,0.9023,0.003906,-0.007435,-0.06204,0.03366,2.531,1.61,7.0,-0.5366,0.8438,0.0,0.0
1738833259772994995,2.984,1.622,7.01,-0.564,0.964,0.01137,-0.007595,-0.06384,-0.05243,2.861,1.538,7.0,-0.543,0.8984,0.003906,-0.007095,-0.0624,0.03363,2.477,1.694,7.0,-0.5645,0.825,0.0,0.0
1738833259823003530,2.955,1.673,7.01,-0.5874,0.957,0.01174,-0.00713,-0.06396,-0.0524,2.826,1.591,7.0,-0.574,0.8906,-0.0,-0.006245,-0.0629,0.03378,2.477,1.694,7.0,-0.5645,0.825,0.0,0.0
1738833259873039245,2.926,1.718,7.01,-0.6094,0.9507,0.01207,-0.00683,-0.063,-0.05237,2.809,1.645,7.0,-0.5938,0.883,-0.0,-0.005905,-0.0631,0.03387,2.418,1.775,7.0,-0.592,0.806,0.0,0.0
1738833259922999620,2.895,1.768,7.01,-0.632,0.944,0.0123,-0.006607,-0.0618,-0.0523,2.756,1.697,7.0,-0.625,0.871,0.003906,-0.005547,-0.06207,0.03394,2.418,1.775,7.0,-0.592,0.806,0.0,0.0
1738833259973049879,2.863,1.8125,7.016,-0.652,0.9375,0.01244,-0.006454,-0.06198,-0.0523,2.738,1.724,7.0,-0.6367,0.867,0.003906,-0.005447,-0.0613,0.03394,2.357,1.855,7.0,-0.618,0.7856,0.0,0.0
1738833260023006677,2.828,1.861,7.016,-0.674,0.9307,0.01284,-0.006256,-0.0627,-0.0523,2.686,1.776,7.0,-0.668,0.8594,0.003906,-0.005184,-0.06122,0.03394,2.357,1.855,7.0,-0.618,0.7856,0.0,0.0
1738833260072984218,2.795,1.905,7.016,-0.694,0.924,0.01278,-0.00507,-0.06213,-0.05228,2.67,1.803,7.0,-0.6836,0.8516,0.003906,-0.005108,-0.06183,0.03394,2.295,1.933,7.0,-0.644,0.7646,0.0,0.0
1738833260122991085,2.77,1.938,7.016,-0.7085,0.9185,0.01249,-0.00437,-0.0615,-0.05228,2.617,1.856,7.0,-0.711,0.8438,0.003906,-0.003723,-0.06134,0.03406,2.295,1.933,7.0,-0.644,0.7646,0.0,0.0
