time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738776258867706537,1.844,-2.463,6.98,1.6875,1.37,-0.008095,-0.139,-0.05124,-0.0969,1.864,-2.334,7.0,1.59,1.422,-0.0,-0.1389,-0.04846,-0.00979,3.0,-0.04956,7.0,0.03305,2.0,0.0,0.0
1738776258917701721,1.924,-2.396,6.98,1.651,1.421,-0.007275,-0.1384,-0.05453,-0.0969,1.917,-2.307,7.0,1.57,1.449,-0.0,-0.1385,-0.05054,-0.009995,3.0,0.0,7.0,-0.0,2.0,0.0,0.0
1738776258967790603,2.008,-2.32,6.98,1.611,1.474,-0.006138,-0.1345,-0.0604,-0.09686,2.021,-2.201,7.0,1.52,1.52,-0.0,-0.1372,-0.05563,-0.01011,3.0,0.0,7.0,-0.0,2.0,0.0,0.0
1738776259017726182,2.084,-2.248,6.98,1.571,1.5205,-0.004795,-0.1305,-0.066,-0.09686,2.074,-2.148,7.0,1.492,1.555,-0.0,-0.1344,-0.05984,-0.009995,2.994,0.1998,7.0,-0.1332,1.995,0.0,0.0
1738776259067702293,2.166,-2.168,6.98,1.525,1.568,-0.004128,-0.125,-0.0759,-0.09686,2.18,-2.041,7.0,1.434,1.621,-0.0,-0.1282,-0.0687,-0.010124,2.994,0.1998,7.0,-0.1332,1.995,0.0,0.0
1738776259117701768,2.238,-2.092,6.98,1.478,1.61,-0.00276,-0.1203,-0.085,-0.09674,2.215,-1.988,7.0,1.41,1.641,-0.0,-0.1254,-0.0741,-0.01015,2.973,0.399,7.0,-0.2659,1.982,0.0,0.0
1738776259167698621,2.312,-2.008,6.98,1.422,1.652,-0.001722,-0.1132,-0.094,-0.09674,2.318,-1.883,7.0,1.344,1.695,0.003906,-0.1181,-0.08704,-0.010086,2.973,0.399,7.0,-0.2659,1.982,0.0,0.0
1738776259217734336,2.379,-1.927,6.98,1.367,1.6875,-0.00052,-0.1071,-0.10077,-0.0967,2.371,-1.829,7.0,1.309,1.723,0.003906,-0.11316,-0.09314,-0.01004,2.94,0.596,7.0,-0.3972,1.96,0.0,0.0
1738776259267714262,2.459,-1.824,6.98,1.297,1.727,0.000235,-0.09644,-0.1048,-0.09656,2.459,-1.696,7.0,1.227,1.77,0.003906,-0.1036,-0.10187,-0.01012,2.94,0.596,7.0,-0.3972,1.96,0.0,0.0
1738776259317721366,2.506,-1.762,6.98,1.253,1.747,0.000586,-0.09064,-0.10614,-0.09656,2.494,-1.644,7.0,1.1875,1.785,0.003906,-0.09796,-0.10364,-0.01015,2.895,0.7905,7.0,-0.527,1.93,0.0,0.0
