time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762418249910023450,1.138,-0.5083,6.965,0.503,1.2,-0.00886,-0.078,-0.1284,-0.05167,1.2,-0.61,6.996,0.5312,1.152,-0.0,-0.0822,-0.12384,0.03003,0.9966,-0.08307,7.0,0.08307,0.9966,0.0,0.0
1762418249960021972,1.161,-0.4502,6.965,0.4404,1.225,-0.00825,-0.0735,-0.1311,-0.05167,1.235,-0.5303,6.996,0.4375,1.1875,-0.0,-0.0754,-0.1279,0.0301,1.0,0.0,7.0,-0.0,1.0,0.0,0.0
1762418250009977102,1.182,-0.386,6.965,0.3718,1.248,-0.00786,-0.0681,-0.134,-0.05164,1.253,-0.451,6.996,0.3477,1.215,-0.0,-0.0694,-0.1315,0.03036,1.0,0.0,7.0,-0.0,1.0,0.0,0.0
1762418250060009241,1.198,-0.3257,6.96,0.3079,1.268,-0.007256,-0.06335,-0.1365,-0.05167,1.2705,-0.3977,6.996,0.3008,1.227,-0.0,-0.06555,-0.1335,0.03018,0.995,0.09985,7.0,-0.09985,0.995,0.0,0.0
1762418250110027074,1.212,-0.259,6.96,0.238,1.286,-0.006557,-0.05783,-0.1382,-0.05164,1.288,-0.3447,6.996,0.2617,1.238,-0.0,-0.0627,-0.135,0.03003,0.995,0.09985,7.0,-0.09985,0.995,0.0,0.0
1762418250160004615,1.222,-0.197,6.96,0.1735,1.3,-0.005814,-0.05298,-0.1393,-0.0516,1.288,-0.2651,6.996,0.1641,1.258,-0.0,-0.0553,-0.1373,0.02995,0.98,0.1986,7.0,-0.1986,0.98,0.0,0.0
1762418250209988832,1.2295,-0.1292,6.96,0.10376,1.3125,-0.0049,-0.04636,-0.1389,-0.05154,1.305,-0.1857,6.996,0.0781,1.273,-0.0,-0.04865,-0.1383,0.02994,0.98,0.1986,7.0,-0.1986,0.98,0.0,0.0
1762418250260028600,1.232,-0.0659,6.96,0.0403,1.32,-0.003674,-0.04022,-0.1381,-0.05154,1.305,-0.1327,6.996,0.02734,1.281,-0.0,-0.0436,-0.1376,0.02992,0.9556,0.2954,7.0,-0.2954,0.9556,0.0,0.0
1762418250310030937,1.233,0.00287,6.96,-0.02759,1.325,-0.001162,-0.03253,-0.1371,-0.05148,1.305,-0.0796,6.996,-0.007812,1.285,0.003906,-0.03995,-0.137,0.02992,0.9556,0.2954,7.0,-0.2954,0.9556,0.0,0.0
1762418250360025167,1.23,0.0665,6.96,-0.0895,1.326,0.001383,-0.0257,-0.1365,-0.05145,1.288,-7.504e-05,6.996,-0.08984,1.289,0.003906,-0.0306,-0.1359,0.02986,0.921,0.3894,7.0,-0.3894,0.921,0.0,0.0
1762418250410008430,1.224,0.1355,6.96,-0.1555,1.324,0.004036,-0.01852,-0.1351,-0.05136,1.288,0.10596,6.992,-0.1797,1.289,0.007812,-0.02104,-0.1348,0.02971,0.921,0.3894,7.0,-0.3894,0.921,0.0,0.0
1762418250460022687,1.215,0.199,6.96,-0.2152,1.319,0.00563,-0.01267,-0.1338,-0.05133,1.288,0.159,6.992,-0.2227,1.289,0.007812,-0.01617,-0.1337,0.02963,0.8774,0.4795,7.0,-0.4795,0.8774,0.0,0.0
1762418250510037183,1.202,0.2673,6.96,-0.2788,1.311,0.00714,-0.006283,-0.1328,-0.05124,1.2705,0.1855,6.992,-0.2578,1.281,0.01172,-0.0126,-0.1328,0.02956,0.8774,0.4795,7.0,-0.4795,0.8774,0.0,0.0
1762418250560023784,1.1875,0.3298,6.96,-0.3364,1.3,0.00827,-0.000919,-0.1322,-0.05112,1.253,0.2915,6.992,-0.3398,1.27,0.01172,-0.00418,-0.1315,0.02934,0.825,0.5645,7.0,-0.5645,0.825,0.0,0.0
1762418250609992742,1.168,0.3972,6.965,-0.398,1.285,0.00903,0.006096,-0.1309,-0.05103,1.235,0.371,6.992,-0.414,1.254,0.01172,0.003162,-0.1304,0.02972,0.825,0.5645,7.0,-0.5645,0.825,0.0,0.0
1762418250660030364,1.147,0.4585,6.965,-0.4534,1.269,0.0099,0.01246,-0.1293,-0.051,1.218,0.424,6.992,-0.457,1.242,0.01172,0.00836,-0.1293,0.0299,0.7646,0.644,7.0,-0.644,0.7646,0.0,0.0
1762418250710045099,1.122,0.524,6.965,-0.512,1.247,0.011284,0.02031,-0.1271,-0.05093,1.2,0.4507,6.992,-0.4883,1.23,0.01172,0.01217,-0.1283,0.0301,0.7646,0.644,7.0,-0.644,0.7646,0.0,0.0
1762418250760019302,1.097,0.583,6.965,-0.565,1.224,0.012566,0.02724,-0.12494,-0.05096,1.165,0.5303,6.992,-0.5586,1.203,0.01563,0.02179,-0.1256,0.03029,0.697,0.7173,7.0,-0.7173,0.697,0.0,0.0
1762418250809994459,1.068,0.641,6.965,-0.616,1.197,0.01402,0.03482,-0.1226,-0.05093,1.13,0.636,6.992,-0.633,1.164,0.01563,0.0318,-0.12256,0.03023,0.697,0.7173,7.0,-0.7173,0.697,0.0,0.0
1762418250860040664,1.034,0.7026,6.965,-0.6704,1.165,0.015305,0.0427,-0.1201,-0.05096,1.096,0.6626,6.992,-0.672,1.145,0.01563,0.03778,-0.12067,0.03024,0.6216,0.783,7.0,-0.783,0.6216,0.0,0.0
1762418250910036802,1.001,0.758,6.965,-0.7188,1.133,0.01611,0.0504,-0.11865,-0.0509,1.078,0.716,6.992,-0.699,1.121,0.01563,0.04224,-0.11926,0.03018,0.6216,0.783,7.0,-0.783,0.6216,0.0,0.0
1762418250960022449,0.9624,0.8154,6.97,-0.77,1.093,0.01743,0.05844,-0.11743,-0.05093,1.025,0.769,6.992,-0.7695,1.07,0.01953,0.05344,-0.1171,0.0299,0.5405,0.8413,7.0,-0.8413,0.5405,0.0,0.0
1762418251009974241,0.9214,0.8716,6.97,-0.82,1.051,0.01845,0.0661,-0.1156,-0.05084,0.9727,0.848,6.992,-0.828,1.016,0.01953,0.06287,-0.1154,0.02975,0.5405,0.8413,7.0,-0.8413,0.5405,0.0,0.0
1762418251060024738,0.881,0.921,6.97,-0.8647,1.009,0.01834,0.072,-0.114,-0.0508,0.938,0.875,6.992,-0.8633,0.9844,0.01953,0.068,-0.1141,0.02994,0.4536,0.891,7.0,-0.891,0.4536,0.0,0.0
1762418251110056877,0.838,0.9683,6.97,-0.9087,0.964,0.01775,0.0788,-0.11206,-0.05078,0.903,0.9014,6.992,-0.8867,0.957,0.01953,0.07166,-0.1131,0.03012,0.4536,0.891,7.0,-0.891,0.4536,0.0,0.0
1762418251160038471,0.7896,1.017,6.973,-0.954,0.9126,0.01709,0.086,-0.1097,-0.0508,0.8506,0.981,6.992,-0.9414,0.8906,0.01953,0.0807,-0.1105,0.03032,0.3623,0.932,7.0,-0.932,0.3623,0.0,0.0
1762418251210039615,0.739,1.0625,6.973,-0.998,0.858,0.01666,0.0932,-0.1058,-0.0508,0.7803,1.034,6.992,-0.996,0.824,0.01953,0.08936,-0.1072,0.03033,0.3623,0.932,7.0,-0.932,0.3623,0.0,0.0
1762418251260056257,0.69,1.103,6.973,-1.036,0.8057,0.01585,0.0988,-0.10205,-0.0508,0.7456,1.061,6.992,-1.023,0.7812,0.01563,0.0949,-0.1038,0.03029,0.2676,0.9634,7.0,-0.9634,0.2676,0.0,0.0
1762418251310056447,0.6353,1.144,6.973,-1.075,0.746,0.01522,0.1041,-0.0971,-0.0508,0.7104,1.087,6.992,-1.047,0.746,0.01563,0.0983,-0.1015,0.03014,0.2676,0.9634,7.0,-0.9634,0.2676,0.0,0.0
1762418251360053300,0.5825,1.178,6.973,-1.108,0.69,0.01455,0.10803,-0.0927,-0.0508,0.6406,1.14,6.996,-1.09,0.668,0.01563,0.10516,-0.0951,0.0303,0.1699,0.9854,7.0,-0.9854,0.1699,0.0,0.0
1762418251410045385,0.524,1.212,6.977,-1.142,0.6274,0.014626,0.11316,-0.0872,-0.0508,0.571,1.193,6.996,-1.129,0.59,0.01563,0.1107,-0.08905,0.03029,0.1699,0.9854,7.0,-0.9854,0.1699,0.0,0.0
1762418251460046529,0.4688,1.24,6.977,-1.17,0.568,0.01469,0.1174,-0.0826,-0.05078,0.5356,1.22,6.996,-1.145,0.547,0.01563,0.1142,-0.0851,0.03018,0.07074,0.9976,7.0,-0.9976,0.07074,0.0,0.0
1762418251510059356,0.407,1.269,6.977,-1.197,0.5024,0.014885,0.1205,-0.07697,-0.0508,0.5005,1.22,6.996,-1.16,0.508,0.01563,0.1168,-0.0822,0.03041,0.07074,0.9976,7.0,-0.9976,0.07074,0.0,0.0
1762418251560048103,0.349,1.291,6.977,-1.22,0.4412,0.014114,0.1225,-0.0723,-0.0508,0.4307,1.246,6.996,-1.1875,0.4258,0.01563,0.12085,-0.0753,0.03049,-0.0292,0.9995,7.0,-0.9995,-0.0292,0.0,0.0
1762418251610035657,0.285,1.312,6.977,-1.241,0.3745,0.01349,0.125,-0.06683,-0.05084,0.3433,1.272,6.996,-1.211,0.332,0.01172,0.12384,-0.0686,0.03018,-0.0292,0.9995,7.0,-0.9995,-0.0292,0.0,0.0
1762418251660004377,0.225,1.328,6.98,-1.259,0.3125,0.01265,0.1272,-0.06213,-0.05084,0.2908,1.299,6.996,-1.223,0.2852,0.01172,0.1257,-0.0647,0.03036,-0.1288,0.9917,7.0,-0.9917,-0.1288,0.0,0.0
1762418251710017681,0.1642,1.342,6.98,-1.273,0.25,0.01191,0.1296,-0.05798,-0.05087,0.2559,1.299,6.996,-1.23,0.2461,0.01172,0.127,-0.0618,0.03033,-0.1288,0.9917,7.0,-0.9917,-0.1288,0.0,0.0
1762418251759989261,0.0976,1.354,6.98,-1.288,0.1818,0.0114,0.1321,-0.05408,-0.05087,0.1683,1.299,6.996,-1.246,0.1562,0.01172,0.1305,-0.05588,0.03027,-0.2272,0.9736,7.0,-0.9736,-0.2272,0.0,0.0
1762418251810021877,0.03546,1.36,6.98,-1.299,0.1184,0.011086,0.1335,-0.0487,-0.05087,0.08093,1.325,6.996,-1.258,0.0664,0.01172,0.133,-0.05038,0.03021,-0.2272,0.9736,7.0,-0.9736,-0.2272,0.0,0.0
1762418251860033273,-0.0271,1.364,6.98,-1.308,0.05505,0.01016,0.1346,-0.04318,-0.05084,0.02849,1.325,6.996,-1.266,0.02344,0.01172,0.134,-0.04608,0.03032,-0.3232,0.9463,7.0,-0.9463,-0.3232,0.0,0.0
1762418251910037755,-0.1005,1.365,6.98,-1.313,-0.01872,0.00986,0.1355,-0.03647,-0.05084,-0.006493,1.325,6.996,-1.27,-0.01563,0.007812,0.1346,-0.04272,0.03035,-0.3232,0.9463,7.0,-0.9463,-0.3232,0.0,0.0
1762418251960046052,-0.1636,1.363,6.98,-1.315,-0.0816,0.00929,0.136,-0.03116,-0.05084,-0.09393,1.325,6.996,-1.273,-0.09766,0.007812,0.1356,-0.03503,0.03033,-0.4163,0.909,7.0,-0.909,-0.4163,0.0,0.0
1762418252010040998,-0.232,1.356,6.98,-1.315,-0.1493,0.00925,0.1362,-0.02396,-0.05087,-0.1814,1.299,6.996,-1.277,-0.1875,0.007812,0.1362,-0.02708,0.03043,-0.4163,0.909,7.0,-0.909,-0.4163,0.0,0.0
1762418252060036659,-0.2898,1.349,6.984,-1.3125,-0.2063,0.00923,0.1365,-0.01805,-0.0508,-0.2339,1.299,6.996,-1.277,-0.2344,0.007812,0.1362,-0.02188,0.03026,-0.505,0.8633,7.0,-0.8633,-0.505,0.0,0.0
1762418252110037803,-0.358,1.337,6.984,-1.306,-0.273,0.00898,0.1366,-0.012245,-0.05084,-0.2864,1.299,6.996,-1.27,-0.2695,0.007812,0.1364,-0.018,0.03044,-0.505,0.8633,7.0,-0.8633,-0.505,0.0,0.0
1762418252160013198,-0.4255,1.32,6.984,-1.296,-0.339,0.008865,0.1367,-0.007446,-0.05087,-0.3738,1.272,6.996,-1.262,-0.3477,0.007812,0.1366,-0.01082,0.03041,-0.5884,0.8086,7.0,-0.8086,-0.5884,0.0,0.0
1762418252210031509,-0.4875,1.303,6.984,-1.285,-0.3994,0.00892,0.1357,-0.000517,-0.05093,-0.4436,1.272,6.996,-1.242,-0.4297,0.007812,0.1364,-0.00423,0.03026,-0.5884,0.8086,7.0,-0.8086,-0.5884,0.0,0.0
1762418252260017395,-0.5537,1.28,6.984,-1.269,-0.4634,0.00798,0.1344,0.007263,-0.0509,-0.496,1.246,6.996,-1.234,-0.4766,0.007812,0.1351,0.002266,0.03044,-0.6665,0.7456,7.0,-0.7456,-0.6665,0.0,0.0
1762418252310039043,-0.6143,1.257,6.984,-1.251,-0.521,0.00745,0.1326,0.01519,-0.05093,-0.549,1.22,6.996,-1.223,-0.5117,0.007812,0.1344,0.00652,0.03038,-0.6665,0.7456,7.0,-0.7456,-0.6665,0.0,0.0
1762418252360049009,-0.6787,1.228,6.984,-1.228,-0.582,0.006557,0.1306,0.02332,-0.0509,-0.636,1.193,7.0,-1.195,-0.5938,0.003906,0.1317,0.0179,0.03043,-0.7373,0.6753,7.0,-0.6753,-0.7373,0.0,0.0
1762418252410044670,-0.7373,1.198,6.984,-1.202,-0.637,0.006233,0.1293,0.0314,-0.05093,-0.7236,1.14,7.0,-1.16,-0.668,0.003906,0.1296,0.02797,0.03036,-0.7373,0.6753,7.0,-0.6753,-0.7373,0.0,0.0
1762418252460044384,-0.799,1.164,6.984,-1.171,-0.696,0.005962,0.1282,0.03955,-0.05093,-0.7583,1.113,6.996,-1.141,-0.711,0.003906,0.1289,0.03403,0.03049,-0.8013,0.5986,7.0,-0.5986,-0.8013,0.0,0.0
1762418252510031461,-0.8545,1.129,6.984,-1.139,-0.7485,0.006428,0.1255,0.04764,-0.05096,-0.7935,1.087,7.0,-1.121,-0.742,0.003906,0.1284,0.0386,0.03043,-0.8013,0.5986,7.0,-0.5986,-0.8013,0.0,0.0
1762418252559992551,-0.908,1.092,6.99,-1.104,-0.7993,0.006313,0.12244,0.0551,-0.05096,-0.8633,1.061,7.0,-1.066,-0.8164,0.003906,0.12445,0.05026,0.03056,-0.857,0.5156,7.0,-0.5156,-0.857,0.0,0.0
1762418252609974861,-0.9644,1.049,6.99,-1.062,-0.8525,0.006683,0.118,0.0636,-0.05103,-0.933,0.981,7.0,-1.012,-0.883,0.003906,0.12,0.0601,0.03052,-0.857,0.5156,7.0,-0.5156,-0.857,0.0,0.0
1762418252660032749,-1.019,1.004,6.99,-1.015,-0.9023,0.006443,0.11346,0.0715,-0.05103,-0.9683,0.9546,7.0,-0.9844,-0.914,0.003906,0.1166,0.0661,0.0305,-0.9043,0.4275,7.0,-0.4275,-0.9043,0.0,0.0
1762418252709997415,-1.066,0.959,6.99,-0.9697,-0.946,0.006287,0.1086,0.0783,-0.0511,-1.003,0.9277,7.0,-0.957,-0.9414,0.003906,0.11414,0.07056,0.03043,-0.9043,0.4275,7.0,-0.4275,-0.9043,0.0,0.0
1762418252760004758,-1.115,0.9087,6.99,-0.9175,-0.99,0.005905,0.10364,0.0848,-0.0511,-1.073,0.875,7.0,-0.8906,-0.996,0.003906,0.1071,0.08026,0.03052,-0.9424,0.335,7.0,-0.335,-0.9424,0.0,0.0
1762418252810001611,-1.158,0.8604,6.99,-0.867,-1.028,0.005573,0.0985,0.09076,-0.05118,-1.144,0.7954,7.0,-0.8203,-1.047,0.003906,0.1008,0.08795,0.0304,-0.9424,0.335,7.0,-0.335,-0.9424,0.0,0.0
1762418252859991788,-1.198,0.81,6.99,-0.8145,-1.063,0.005054,0.0938,0.09607,-0.05115,-1.161,0.769,7.0,-0.7812,-1.07,0.003906,0.0969,0.09235,0.03044,-0.971,0.2393,7.0,-0.2393,-0.971,0.0,0.0
1762418252910070896,-1.239,0.754,6.99,-0.755,-1.099,0.005016,0.0893,0.10205,-0.0512,-1.195,0.742,7.0,-0.75,-1.09,0.003906,0.09424,0.09546,0.03055,-0.971,0.2393,7.0,-0.2393,-0.971,0.0,0.0
1762418252960058689,-1.273,0.7,6.99,-0.6978,-1.13,0.00468,0.0858,0.1072,-0.05124,-1.23,0.6626,7.0,-0.668,-1.129,0.003906,0.08813,0.1035,0.03035,-0.99,0.1411,7.0,-0.1411,-0.99,0.0,0.0
1762418253010024309,-1.311,0.636,6.99,-0.629,-1.163,0.005093,0.08203,0.1135,-0.05127,-1.283,0.583,7.0,-0.586,-1.164,0.003906,0.08386,0.1102,0.0306,-0.99,0.1411,7.0,-0.1411,-0.99,0.0,0.0
1762418253060002565,-1.337,0.5845,6.99,-0.5728,-1.188,0.00475,0.07947,0.11804,-0.0513,-1.301,0.5566,7.0,-0.543,-1.18,0.003906,0.0815,0.11444,0.03055,-0.999,0.0416,7.0,-0.0416,-0.999,0.0,0.0
1762418253109989881,-1.365,0.522,6.99,-0.505,-1.216,0.004795,0.0753,0.1227,-0.05133,-1.318,0.504,7.0,-0.504,-1.195,0.003906,0.07983,0.1174,0.0304,-0.999,0.0416,7.0,-0.0416,-0.999,0.0,0.0
1762418253160014390,-1.39,0.4578,6.99,-0.4355,-1.24,0.00442,0.0711,0.1266,-0.05133,-1.354,0.424,7.0,-0.418,-1.223,0.003906,0.07465,0.1231,0.03049,-0.9985,-0.05838,7.0,0.05838,-0.9985,0.0,0.0
1762418253210021018,-1.409,0.3977,6.99,-0.3704,-1.261,0.004356,0.06537,0.1299,-0.05142,-1.37,0.3447,7.0,-0.3281,-1.25,0.003906,0.0689,0.1278,0.03055,-0.9985,-0.05838,7.0,0.05838,-0.9985,0.0,0.0
