time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1759941192464411020,2.38,-1.145,7.09,1.136,2.13,-0.1011,-0.1577,-0.2197,-0.0475,2.3,-1.193,7.1,1.148,2.086,-0.0781,-0.1663,-0.2054,0.03372,1.993,-0.1661,7.0,0.1661,1.993,0.0,0.0
1759941192514409065,2.438,-1.032,7.086,1.015,2.186,-0.1031,-0.1443,-0.2277,-0.04752,2.389,-1.034,7.098,1.0,2.152,-0.08984,-0.1547,-0.2181,0.03378,2.0,0.0,7.0,-0.0,2.0,0.0,0.0
1759941192564391613,2.486,-0.9175,7.08,0.8916,2.232,-0.11224,-0.1338,-0.2344,-0.04755,2.424,-0.9546,7.094,0.8945,2.195,-0.08984,-0.1432,-0.225,0.03363,2.0,0.0,7.0,-0.0,2.0,0.0,0.0
1759941192614399433,2.525,-0.8096,7.074,0.776,2.268,-0.12415,-0.12305,-0.2449,-0.0473,2.477,-0.8223,7.086,0.758,2.238,-0.09766,-0.1296,-0.2334,0.03342,1.99,0.1997,7.0,-0.1997,1.99,0.0,0.0
1759941192664414167,2.562,-0.6904,7.066,0.642,2.305,-0.12,-0.1128,-0.252,-0.04733,2.512,-0.7427,7.082,0.6875,2.258,-0.10547,-0.1229,-0.2399,0.03357,1.99,0.1997,7.0,-0.1997,1.99,0.0,0.0
1759941192714452505,2.592,-0.579,7.062,0.5166,2.332,-0.10956,-0.0974,-0.2534,-0.04752,2.547,-0.61,7.08,0.5234,2.293,-0.1094,-0.11,-0.2502,0.03354,1.96,0.3972,7.0,-0.3972,1.96,0.0,0.0
1759941192764430999,2.615,-0.4573,7.055,0.3848,2.354,-0.1132,-0.0857,-0.2568,-0.04752,2.582,-0.504,7.074,0.414,2.312,-0.10156,-0.0985,-0.2517,0.0333,1.96,0.3972,7.0,-0.3972,1.96,0.0,0.0
1759941192814424514,2.629,-0.344,7.05,0.2622,2.367,-0.123,-0.07526,-0.2656,-0.04724,2.6,-0.3713,7.066,0.254,2.328,-0.09766,-0.08167,-0.2556,0.03314,1.911,0.591,7.0,-0.591,1.911,0.0,0.0
1759941192864384174,2.64,-0.2207,7.043,0.12225,2.377,-0.1184,-0.06586,-0.2712,-0.04715,2.6,-0.2917,7.062,0.1758,2.328,-0.10547,-0.075,-0.2612,0.03348,1.911,0.591,7.0,-0.591,1.911,0.0,0.0
1759941192914389133,2.643,-0.1064,7.04,-0.00847,2.383,-0.1076,-0.05344,-0.2705,-0.04718,2.617,-0.1327,7.055,0.003906,2.328,-0.1094,-0.063,-0.2698,0.0333,1.842,0.779,7.0,-0.779,1.842,0.0,0.0
1759941192964385509,2.639,0.01743,7.03,-0.1445,2.379,-0.11084,-0.042,-0.2715,-0.04718,2.6,-0.0532,7.05,-0.10156,2.324,-0.09766,-0.0528,-0.2693,0.0333,1.842,0.779,7.0,-0.779,1.842,0.0,0.0
1759941193014482975,2.629,0.1315,7.027,-0.269,2.373,-0.12006,-0.03156,-0.2764,-0.047,2.6,0.07935,7.047,-0.2695,2.305,-0.09766,-0.03796,-0.27,0.0332,1.755,0.959,7.0,-0.959,1.755,0.0,0.0
1759941193064491271,2.611,0.2546,7.02,-0.4092,2.36,-0.115,-0.02222,-0.2783,-0.047,2.6,0.1589,7.043,-0.3594,2.293,-0.10156,-0.0303,-0.274,0.0334,1.755,0.959,7.0,-0.959,1.755,0.0,0.0
1759941193114479064,2.588,0.3674,7.016,-0.5386,2.344,-0.10345,-0.01196,-0.2754,-0.04697,2.564,0.2915,7.035,-0.5156,2.266,-0.10547,-0.01915,-0.277,0.0336,1.65,1.129,7.0,-1.129,1.65,0.0,0.0
1759941193164459466,2.557,0.4888,7.01,-0.672,2.322,-0.1063,-0.002584,-0.2747,-0.04703,2.547,0.3975,7.03,-0.621,2.246,-0.09375,-0.010765,-0.2747,0.03372,1.65,1.129,7.0,-1.129,1.65,0.0,0.0
1759941193214375734,2.521,0.5996,7.004,-0.7925,2.297,-0.11566,0.00841,-0.2776,-0.047,2.512,0.5303,7.023,-0.7812,2.203,-0.08984,0.001456,-0.2732,0.03378,1.529,1.288,7.0,-1.288,1.529,0.0,0.0
1759941193264367341,2.477,0.7183,7.0,-0.9272,2.266,-0.11005,0.01707,-0.277,-0.04706,2.477,0.583,7.02,-0.867,2.176,-0.09766,0.0089,-0.2751,0.03387,1.529,1.288,7.0,-1.288,1.529,0.0,0.0
1759941193314367771,2.43,0.826,6.992,-1.05,2.232,-0.09845,0.02753,-0.2703,-0.047,2.424,0.716,7.01,-1.016,2.129,-0.09766,0.02013,-0.276,0.034,1.394,1.435,7.0,-1.435,1.394,0.0,0.0
1759941193364362478,2.375,0.9326,6.99,-1.164,2.193,-0.10065,0.03723,-0.2659,-0.0471,2.371,0.7954,7.008,-1.117,2.094,-0.08984,0.02864,-0.2705,0.0341,1.394,1.435,7.0,-1.435,1.394,0.0,0.0
1759941193414369106,2.312,1.046,6.984,-1.284,2.148,-0.1112,0.04776,-0.2654,-0.04718,2.318,0.9277,7.0,-1.262,2.04,-0.08594,0.04114,-0.2644,0.0339,1.243,1.566,7.0,-1.566,1.243,0.0,0.0
1759941193464396715,2.242,1.156,6.977,-1.405,2.098,-0.10596,0.05737,-0.262,-0.04727,2.283,1.008,6.996,-1.328,2.008,-0.09375,0.0476,-0.264,0.03366,1.243,1.566,7.0,-1.566,1.243,0.0,0.0
1759941193514391660,2.172,1.255,6.973,-1.515,2.047,-0.0935,0.0676,-0.2512,-0.04706,2.18,1.14,6.99,-1.48,1.9375,-0.09766,0.06024,-0.2607,0.0333,1.081,1.683,7.0,-1.683,1.081,0.0,0.0
1759941193564380645,2.09,1.36,6.97,-1.623,1.987,-0.0961,0.0757,-0.2449,-0.0471,2.11,1.22,6.984,-1.582,1.883,-0.08594,0.06903,-0.252,0.03348,1.081,1.683,7.0,-1.683,1.081,0.0,0.0
1759941193614391088,2.01,1.454,6.965,-1.717,1.93,-0.1052,0.0857,-0.2426,-0.04724,2.021,1.352,6.977,-1.703,1.8125,-0.08203,0.07935,-0.2434,0.03348,0.907,1.782,7.0,-1.782,0.907,0.0,0.0
1759941193664375543,1.918,1.553,6.957,-1.821,1.862,-0.1004,0.09503,-0.2377,-0.0473,1.969,1.405,6.977,-1.758,1.773,-0.08984,0.0855,-0.242,0.03348,0.907,1.782,7.0,-1.782,0.907,0.0,0.0
1759941193714397907,1.828,1.641,6.953,-1.912,1.795,-0.0892,0.10645,-0.2236,-0.04703,1.847,1.511,6.97,-1.883,1.6875,-0.09375,0.09753,-0.237,0.03348,0.7246,1.864,7.0,-1.864,0.7246,0.0,0.0
1759941193764394044,1.727,1.731,6.95,-1.999,1.719,-0.0927,0.11566,-0.2145,-0.04706,1.76,1.591,6.965,-1.957,1.629,-0.08203,0.10614,-0.2268,0.03366,0.7246,1.864,7.0,-1.864,0.7246,0.0,0.0
1759941193814404726,1.629,1.8125,6.945,-2.074,1.6455,-0.1024,0.1266,-0.2087,-0.04733,1.637,1.696,6.957,-2.059,1.535,-0.08203,0.1189,-0.2129,0.03354,0.535,1.927,7.0,-1.927,0.535,0.0,0.0
1759941193864385366,1.519,1.8955,6.938,-2.154,1.56,-0.09753,0.1367,-0.2009,-0.0474,1.567,1.75,6.953,-2.11,1.48,-0.08984,0.1268,-0.2087,0.03357,0.535,1.927,7.0,-1.927,0.535,0.0,0.0
1759941193914407491,1.413,1.969,6.934,-2.223,1.476,-0.08624,0.1478,-0.1862,-0.04703,1.427,1.855,6.95,-2.195,1.383,-0.08984,0.1387,-0.2004,0.03333,0.3398,1.971,7.0,-1.971,0.3398,0.0,0.0
1759941193964372634,1.305,2.037,6.93,-2.283,1.388,-0.08154,0.1582,-0.1741,-0.047,1.34,1.909,6.945,-2.25,1.3125,-0.08203,0.1478,-0.1887,0.03363,0.3398,1.971,7.0,-1.971,0.3398,0.0,0.0
1759941194014406204,1.185,2.107,6.926,-2.342,1.289,-0.07904,0.1704,-0.1642,-0.04712,1.217,1.988,6.94,-2.32,1.199,-0.0742,0.161,-0.1725,0.03378,0.1415,1.995,7.0,-1.995,0.1415,0.0,0.0
1759941194064395189,1.071,2.166,6.92,-2.39,1.192,-0.0705,0.1798,-0.1558,-0.04724,1.13,2.041,6.938,-2.352,1.141,-0.0703,0.1681,-0.1667,0.03366,0.1415,1.995,7.0,-1.995,0.1415,0.0,0.0
1759941194114407539,0.946,2.227,6.918,-2.44,1.083,-0.05725,0.1906,-0.1398,-0.047,0.972,2.121,6.934,-2.41,1.012,-0.0625,0.1814,-0.1554,0.03357,-0.0584,1.999,7.0,-1.999,-0.0584,0.0,0.0
1759941194164371252,0.818,2.28,6.918,-2.479,0.971,-0.05173,0.199,-0.1287,-0.04706,0.8677,2.146,6.93,-2.445,0.9297,-0.05078,0.1897,-0.1437,0.03378,-0.0584,1.999,7.0,-1.999,-0.0584,0.0,0.0
1759941194214371442,0.698,2.322,6.914,-2.508,0.8643,-0.04938,0.2095,-0.1192,-0.04727,0.7275,2.227,6.926,-2.488,0.793,-0.04297,0.2015,-0.1274,0.03378,-0.2576,1.983,7.0,-1.983,-0.2576,0.0,0.0
1759941194264362096,0.577,2.361,6.91,-2.533,0.755,-0.04843,0.2186,-0.11017,-0.04752,0.64,2.254,6.92,-2.504,0.715,-0.04297,0.2091,-0.1204,0.0336,-0.2576,1.983,7.0,-1.983,-0.2576,0.0,0.0
1759941194314368247,0.4448,2.398,6.91,-2.555,0.633,-0.0477,0.2262,-0.0953,-0.04752,0.4827,2.307,6.918,-2.531,0.578,-0.04297,0.2203,-0.11005,0.0334,-0.4543,1.947,7.0,-1.947,-0.4543,0.0,0.0
1759941194364365577,0.3218,2.426,6.906,-2.568,0.5186,-0.04782,0.2319,-0.0831,-0.04745,0.3604,2.334,6.918,-2.547,0.4883,-0.03906,0.2262,-0.09924,0.03336,-0.4543,1.947,7.0,-1.947,-0.4543,0.0,0.0
1759941194414379358,0.188,2.45,6.906,-2.576,0.392,-0.0474,0.2393,-0.0712,-0.04745,0.2205,2.36,6.91,-2.555,0.3398,-0.04297,0.2341,-0.0821,0.03348,-0.6465,1.893,7.0,-1.893,-0.6465,0.0,0.0
1759941194464394807,0.0643,2.465,6.902,-2.578,0.271,-0.03757,0.2455,-0.05902,-0.04733,0.1155,2.36,6.91,-2.555,0.254,-0.04297,0.2394,-0.07336,0.03354,-0.6465,1.893,7.0,-1.893,-0.6465,0.0,0.0
1759941194514413118,-0.0697,2.475,6.902,-2.574,0.1377,-0.02513,0.2495,-0.04355,-0.04697,-0.0419,2.387,6.906,-2.55,0.10547,-0.03516,0.2471,-0.05945,0.0337,-0.8325,1.818,7.0,-1.818,-0.8325,0.0,0.0
1759941194564394235,-0.193,2.479,6.9,-2.562,0.015594,-0.02058,0.2532,-0.03152,-0.0471,-0.1469,2.387,6.906,-2.547,0.003906,-0.02344,0.2507,-0.0466,0.0341,-0.8325,1.818,7.0,-1.818,-0.8325,0.0,0.0
1759941194614480018,-0.326,2.477,6.9,-2.547,-0.1169,-0.0183,0.2573,-0.02095,-0.04736,-0.3042,2.387,6.902,-2.523,-0.1484,-0.01563,0.255,-0.03075,0.0341,-1.01,1.727,7.0,-1.727,-1.01,0.0,0.0
1759941194664412021,-0.4475,2.469,6.9,-2.525,-0.242,-0.00801,0.2605,-0.0102,-0.04745,-0.3916,2.387,6.9,-2.504,-0.2344,-0.01563,0.2583,-0.02293,0.03384,-1.01,1.727,7.0,-1.727,-1.01,0.0,0.0
1759941194714403390,-0.578,2.451,6.9,-2.498,-0.3774,0.004887,0.26,0.00563,-0.04715,-0.549,2.36,6.9,-2.473,-0.3867,-0.007812,0.2625,-0.01073,0.03375,-1.177,1.617,7.0,-1.617,-1.177,0.0,0.0
1759941194764394283,-0.6973,2.43,6.9,-2.467,-0.4993,0.009605,0.2598,0.015495,-0.0473,-0.654,2.36,6.9,-2.45,-0.4883,-0.0,0.2622,0.0014305,0.03406,-1.177,1.617,7.0,-1.617,-1.177,0.0,0.0
1759941194814388990,-0.8247,2.4,6.9,-2.426,-0.6294,0.011505,0.2605,0.02805,-0.04767,-0.8115,2.334,6.9,-2.398,-0.6406,0.007812,0.2615,0.01694,0.0341,-1.333,1.491,7.0,-1.491,-1.333,0.0,0.0
1759941194864483833,-0.9497,2.365,6.9,-2.38,-0.758,0.012665,0.2605,0.03882,-0.04785,-0.899,2.307,6.895,-2.367,-0.7266,0.01172,0.262,0.0255,0.03384,-1.333,1.491,7.0,-1.491,-1.333,0.0,0.0
1759941194914458990,-1.0625,2.326,6.9,-2.334,-0.874,0.014336,0.2559,0.05154,-0.04797,-1.039,2.254,6.895,-2.309,-0.871,0.01172,0.2625,0.03812,0.03378,-1.475,1.351,7.0,-1.351,-1.475,0.0,0.0
1759941194964377164,-1.183,2.277,6.902,-2.277,-0.9966,0.01595,0.2512,0.0636,-0.04788,-1.144,2.227,6.895,-2.266,-0.965,0.01172,0.2588,0.0484,0.03357,-1.475,1.351,7.0,-1.351,-1.475,0.0,0.0
1759941195014378070,-1.291,2.227,6.902,-2.22,-1.106,0.01717,0.2493,0.0757,-0.04797,-1.283,2.174,6.895,-2.188,-1.109,0.01563,0.253,0.06384,0.03372,-1.603,1.197,7.0,-1.197,-1.603,0.0,0.0
1759941195064381837,-1.3955,2.17,6.902,-2.16,-1.214,0.01814,0.2465,0.08746,-0.04797,-1.354,2.121,6.895,-2.145,-1.1875,0.01563,0.2515,0.0727,0.03375,-1.603,1.197,7.0,-1.197,-1.603,0.0,0.0
1759941195114395380,-1.506,2.105,6.902,-2.088,-1.327,0.01903,0.2377,0.10065,-0.048,-1.511,2.041,6.895,-2.055,-1.328,0.01563,0.248,0.0877,0.03375,-1.714,1.031,7.0,-1.031,-1.714,0.0,0.0
1759941195164375066,-1.6045,2.04,6.906,-2.016,-1.427,0.0268,0.2306,0.1118,-0.0479,-1.581,1.988,6.895,-1.992,-1.41,0.01563,0.2408,0.09875,0.0338,-1.714,1.031,7.0,-1.031,-1.714,0.0,0.0
1759941195214406251,-1.707,1.961,6.906,-1.932,-1.532,0.0404,0.2246,0.1276,-0.04767,-1.703,1.909,6.895,-1.891,-1.535,0.02344,0.2311,0.1145,0.03403,-1.809,0.855,7.0,-0.855,-1.809,0.0,0.0
1759941195264420509,-1.798,1.886,6.91,-1.848,-1.624,0.04532,0.2201,0.1387,-0.04773,-1.756,1.855,6.895,-1.836,-1.594,0.03516,0.2277,0.1237,0.03427,-1.809,0.855,7.0,-0.855,-1.809,0.0,0.0
1759941195314411878,-1.892,1.799,6.91,-1.754,-1.719,0.04755,0.2118,0.1511,-0.04807,-1.878,1.75,6.9,-1.719,-1.715,0.04297,0.2213,0.1395,0.03424,-1.885,0.67,7.0,-0.67,-1.885,0.0,0.0
1759941195364417552,-1.974,1.714,6.914,-1.661,-1.803,0.0555,0.2046,0.1619,-0.04813,-1.948,1.67,6.9,-1.641,-1.785,0.04297,0.2148,0.1492,0.03397,-1.885,0.67,7.0,-0.67,-1.885,0.0,0.0
1759941195414397954,-2.057,1.618,6.918,-1.556,-1.891,0.06885,0.1964,0.1744,-0.048,-2.053,1.564,6.902,-1.516,-1.887,0.05078,0.2057,0.163,0.034,-1.942,0.4785,7.0,-0.4785,-1.942,0.0,0.0
1759941195464430570,-2.129,1.525,6.92,-1.454,-1.964,0.07367,0.1876,0.1843,-0.0481,-2.105,1.511,6.902,-1.453,-1.934,0.0625,0.2004,0.171,0.0342,-1.942,0.4785,7.0,-0.4785,-1.942,0.0,0.0
1759941195514387130,-2.201,1.421,6.926,-1.342,-2.037,0.0757,0.174,0.1921,-0.04837,-2.21,1.379,6.906,-1.316,-2.027,0.0703,0.1895,0.184,0.0341,-1.98,0.2822,7.0,-0.2822,-1.98,0.0,0.0
1759941195564384698,-2.264,1.322,6.93,-1.233,-2.098,0.0848,0.1616,0.2002,-0.04837,-2.246,1.299,6.906,-1.234,-2.07,0.0703,0.1796,0.1898,0.03403,-1.98,0.2822,7.0,-0.2822,-1.98,0.0,0.0
1759941195614416360,-2.324,1.211,6.934,-1.113,-2.158,0.0957,0.1514,0.2108,-0.0483,-2.332,1.166,6.91,-1.094,-2.14,0.08203,0.1637,0.1997,0.03403,-1.998,0.0832,7.0,-0.0832,-1.998,0.0,0.0
