time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1759942633431476593,0.3206,-2.09,7.01,1.991,0.3713,0.002457,-0.2389,0.01285,0.013145,0.2029,-2.121,7.004,1.969,0.2812,0.007812,-0.2306,0.02,0.03394,1.993,-0.1661,7.0,0.1661,1.993,0.0,0.0
1759942633481448888,0.4155,-2.068,7.01,1.972,0.4795,-0.00429,-0.2384,0.003658,0.01325,0.2554,-2.121,7.004,1.957,0.336,0.003906,-0.2319,0.01578,0.03397,2.0,0.0,7.0,-0.0,2.0,0.0,0.0
1759942633531472206,0.5176,-2.041,7.01,1.946,0.594,-0.01264,-0.2366,-0.005283,0.013405,0.3953,-2.096,7.008,1.93,0.4922,-0.0,-0.231,0.002558,0.03403,2.0,0.0,7.0,-0.0,2.0,0.0,0.0
1759942633581559658,0.6104,-2.01,7.01,1.919,0.6978,-0.02101,-0.2332,-0.01471,0.01344,0.4653,-2.068,7.008,1.906,0.578,-0.003906,-0.2295,-0.00397,0.03418,1.99,0.1997,7.0,-0.1997,1.99,0.0,0.0
1759942633631540298,0.709,-1.971,7.008,1.886,0.8066,-0.02719,-0.2291,-0.02403,0.013504,0.588,-2.041,7.008,1.871,0.715,-0.01563,-0.2242,-0.01694,0.03406,1.99,0.1997,7.0,-0.1997,1.99,0.0,0.0
1759942633681543350,0.799,-1.93,7.008,1.851,0.9043,-0.03143,-0.2255,-0.03253,0.01341,0.6577,-2.016,7.008,1.848,0.7773,-0.01953,-0.2223,-0.02182,0.03406,1.96,0.3972,7.0,-0.3972,1.96,0.0,0.0
1759942633731463670,0.8867,-1.884,7.008,1.8125,0.9995,-0.03534,-0.2219,-0.0409,0.01346,0.7627,-1.962,7.01,1.801,0.9062,-0.02344,-0.2173,-0.0332,0.03394,1.96,0.3972,7.0,-0.3972,1.96,0.0,0.0
1759942633781455516,0.98,-1.829,7.004,1.768,1.099,-0.03967,-0.2166,-0.04926,0.01349,0.85,-1.909,7.01,1.77,0.9844,-0.02734,-0.2145,-0.03934,0.03384,1.911,0.591,7.0,-0.591,1.911,0.0,0.0
1759942633831576347,1.07,-1.77,7.004,1.72,1.193,-0.043,-0.2107,-0.05743,0.01353,0.955,-1.856,7.01,1.715,1.105,-0.03125,-0.2068,-0.05057,0.0339,1.911,0.591,7.0,-0.591,1.911,0.0,0.0
1759942633881555795,1.151,-1.71,7.0,1.671,1.277,-0.04587,-0.2043,-0.06744,0.01357,1.024,-1.83,7.01,1.6875,1.16,-0.03125,-0.2037,-0.05505,0.03375,1.842,0.779,7.0,-0.779,1.842,0.0,0.0
