time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1737371218811390638,0.02415,-0.00984,1.071,0.00456,0.002611,0.001699,0.00012,-0.00447,-0.0934,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.000691,-0.003626,8.756e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737371218861406564,0.02437,-0.00972,1.072,0.004417,0.002579,0.002033,0.000171,-0.00436,-0.0934,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.0007772,-0.003712,0.0002604,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737371218911406040,0.02458,-0.0096,1.072,0.00435,0.002548,0.00265,0.000132,-0.004322,-0.09344,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.000605,-0.003712,0.0004327,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737371218961395025,0.02481,-0.00946,1.072,0.004246,0.002522,0.002886,0.00013,-0.004444,-0.09344,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.0006914,-0.003626,0.0005193,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737371219011395692,0.02501,-0.009346,1.072,0.0041,0.002487,0.002367,0.000195,-0.004417,-0.0935,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.000692,-0.003798,0.0006056,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737371219061412572,0.02524,-0.0092,1.072,0.004017,0.002472,0.001901,3.9e-05,-0.004253,-0.0936,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.0006056,-0.003883,0.000692,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737371219111405611,0.0254,-0.009094,1.072,0.003994,0.002487,0.001412,8e-06,-0.00427,-0.0937,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.000692,-0.003626,0.000778,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737371219161403656,0.0256,-0.00897,1.072,0.003956,0.002497,0.000329,0.000118,-0.004215,-0.0938,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.0008645,-0.003626,0.0007787,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737371219211408138,0.0258,-0.00884,1.072,0.003914,0.002481,-0.001856,5.3e-05,-0.004353,-0.09393,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.000692,-0.003626,0.0008645,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737371219261403322,0.026,-0.00871,1.072,0.00382,0.002518,-0.002768,-2.4e-05,-0.004288,-0.094,0.00956,-0.02663,1.098,0.01172,0.0,-0.0,-0.000692,-0.003626,0.0006056,0.0,0.0,1.0,0.0,0.0,0.0,0.0
