time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760014697222751379,-0.01613,0.01417,19.97,-0.003742,0.004253,-0.000207,0.0,-0.004276,-0.05554,-0.04242,0.0001992,20.0,0.0,0.0,-0.0,0.0004537,-0.004494,0.02858,-0.4348,0.202,19.61,-2.354,1.0205,-1.852,0.0
1760014697272760391,-0.01633,0.01439,19.97,-0.003736,0.004276,-0.000685,4e-06,-0.00434,-0.0556,-0.04242,0.0001992,20.0,0.0,0.0,-0.0,0.0004508,-0.00467,0.02875,-0.6797,0.3047,19.44,-2.543,1.031,-1.785,0.0
1760014697322775363,-0.01651,0.01459,19.97,-0.00373,0.00429,-0.000973,0.0,-0.004303,-0.0557,-0.04242,0.0001992,20.0,0.0,0.0,-0.0,0.0004504,-0.00467,0.02892,-0.6797,0.3047,19.44,-2.543,1.031,-1.785,0.0
1760014697372778654,-0.0167,0.0148,19.97,-0.00371,0.004303,-0.000879,1.4e-05,-0.00427,-0.05582,-0.04242,0.0001992,20.0,0.0,0.0,-0.0,0.000538,-0.00458,0.02908,-0.944,0.4084,19.27,-2.736,1.045,-1.724,0.0
1760014697422749519,-0.01688,0.01502,19.97,-0.003664,0.004303,-0.00104,4.5e-05,-0.00425,-0.0559,-0.04242,0.0001992,20.0,0.0,0.0,-0.0,0.000539,-0.00458,0.02856,-0.944,0.4084,19.27,-2.736,1.045,-1.724,0.0
1760014697472755432,-0.01706,0.01526,19.97,-0.00396,0.00511,-0.0766,-0.004204,-0.0179,-0.0561,-0.04242,0.0001992,20.0,0.0,0.0,-0.01172,-0.0003583,-0.00699,0.0284,-1.228,0.5137,19.1,-2.936,1.061,-1.666,0.0
1760014697522736787,-0.01746,0.01559,19.95,-0.01342,0.0094,-0.2656,-0.02296,-0.0821,-0.05582,-0.04242,0.0001992,19.98,-0.007812,0.003906,-0.207,-0.01941,-0.07214,0.02817,-1.228,0.5137,19.1,-2.936,1.061,-1.666,0.0
1760014697572735548,-0.01872,0.01627,19.94,-0.0394,0.01964,-0.5073,-0.0548,-0.177,-0.05435,-0.04242,0.0001992,19.98,-0.01953,0.007812,-0.3242,-0.0337,-0.1184,0.02864,-1.53,0.6206,18.92,-3.135,1.08,-1.613,0.0
1760014697622737646,-0.02203,0.01776,19.9,-0.0868,0.0391,-0.795,-0.10046,-0.288,-0.05225,0.02754,-0.02632,19.95,-0.04688,0.01172,-0.6953,-0.08984,-0.265,0.03072,-1.53,0.6206,18.92,-3.135,1.08,-1.613,0.0
1760014697672738075,-0.02779,0.02025,19.86,-0.1489,0.06555,-1.067,-0.1384,-0.3745,-0.0511,0.02754,-0.02632,19.9,-0.09375,0.02734,-0.918,-0.1238,-0.344,0.03214,-1.8545,0.73,18.77,-3.334,1.104,-1.564,0.0
1760014697722738265,-0.03683,0.02458,19.8,-0.2288,0.1013,-1.368,-0.1683,-0.439,-0.053,0.010056,-0.02632,19.84,-0.1953,0.0625,-1.293,-0.165,-0.4333,0.03056,-1.8545,0.73,18.77,-3.334,1.104,-1.564,0.0
1760014697772753953,-0.0509,0.03036,19.72,-0.3132,0.1406,-1.642,-0.1873,-0.4783,-0.05536,0.010056,-0.02632,19.8,-0.25,0.08203,-1.469,-0.1777,-0.462,0.02882,-2.197,0.8413,18.61,-3.533,1.131,-1.5205,0.0
1760014697822750806,-0.0693,0.03946,19.62,-0.4648,0.215,-1.829,-0.203,-0.4946,-0.05862,-0.00743,-0.02632,19.69,-0.4023,0.1406,-1.781,-0.2,-0.495,0.0253,-2.197,0.8413,18.61,-3.533,1.131,-1.5205,0.0
1760014697872748613,-0.09845,0.05215,19.55,-0.656,0.3154,-1.8955,-0.2122,-0.4878,-0.0631,-0.02492,0.0001992,19.62,-0.5547,0.2031,-1.871,-0.2081,-0.4922,0.02159,-2.56,0.956,18.47,-3.727,1.164,-1.4795,0.0
1760014697922779321,-0.1354,0.07184,19.44,-0.878,0.4404,-1.923,-0.2225,-0.4858,-0.0652,-0.0599,0.0001992,19.52,-0.8086,0.3203,-1.918,-0.22,-0.486,0.01782,-2.56,0.956,18.47,-3.727,1.164,-1.4795,0.0
1760014697972774744,-0.1865,0.0982,19.34,-1.106,0.5737,-1.935,-0.2307,-0.4927,-0.0646,-0.09485,0.02672,19.45,-0.9688,0.3945,-1.93,-0.2263,-0.4895,0.01788,-2.943,1.074,18.31,-3.918,1.202,-1.443,0.0
1760014698022745609,-0.2444,0.1289,19.25,-1.32,0.7,-1.941,-0.2357,-0.5015,-0.0628,-0.1648,0.05322,19.33,-1.27,0.539,-1.941,-0.2341,-0.5005,0.01949,-2.943,1.074,18.31,-3.918,1.202,-1.443,0.0
1760014698072743654,-0.319,0.1658,19.16,-1.553,0.837,-1.916,-0.2384,-0.5093,-0.06073,-0.2173,0.0797,19.25,-1.465,0.633,-1.9375,-0.2373,-0.5083,0.02142,-3.344,1.197,18.17,-4.1,1.245,-1.41,0.0
1760014698122773170,-0.4,0.2133,19.06,-1.804,0.983,-1.895,-0.2384,-0.5156,-0.05887,-0.2874,0.10626,19.16,-1.762,0.7773,-1.902,-0.2378,-0.5146,0.02321,-3.344,1.197,18.17,-4.1,1.245,-1.41,0.0
1760014698172779560,-0.4998,0.2637,18.97,-2.033,1.114,-1.879,-0.237,-0.5244,-0.05624,-0.3396,0.1328,19.1,-1.91,0.8477,-1.895,-0.2378,-0.52,0.0247,-3.762,1.323,18.03,-4.277,1.293,-1.381,0.0
1760014698222771644,-0.6035,0.3252,18.88,-2.277,1.25,-1.872,-0.232,-0.531,-0.05426,-0.4795,0.1858,18.97,-2.258,1.008,-1.875,-0.2323,-0.5303,0.02754,-3.762,1.323,18.03,-4.277,1.293,-1.381,0.0
1760014698272748470,-0.728,0.3882,18.78,-2.514,1.375,-1.851,-0.2257,-0.534,-0.05322,-0.5845,0.2388,18.89,-2.457,1.094,-1.867,-0.2283,-0.5347,0.02881,-4.2,1.456,17.89,-4.44,1.347,-1.355,0.0
1760014698322745323,-0.855,0.4573,18.69,-2.742,1.492,-1.834,-0.2152,-0.5347,-0.05298,-0.707,0.2917,18.78,-2.77,1.23,-1.84,-0.2147,-0.535,0.02875,-4.2,1.456,17.89,-4.44,1.347,-1.355,0.0
1760014698372746944,-0.992,0.538,18.6,-2.98,1.607,-1.831,-0.2046,-0.538,-0.05194,-0.7944,0.345,18.73,-2.914,1.285,-1.836,-0.2092,-0.537,0.02913,-4.65,1.593,17.77,-4.598,1.406,-1.333,0.0
