time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762356886713929414,-0.11835,-0.00796,16.94,0.01929,-0.00866,-0.000746,0.00512,-0.00445,-0.05402,-0.09436,-0.05313,16.9,0.02344,-0.007812,-0.0,0.006924,-0.00468,0.02985,-0.4348,0.202,19.61,-2.354,1.0205,-1.852,0.0
1762356886763935565,-0.1173,-0.00847,16.94,0.01884,-0.0111,-4e-05,0.00518,-0.004494,-0.05386,-0.09436,-0.05313,16.9,0.02344,-0.01172,-0.0,0.007008,-0.00477,0.03036,-0.6797,0.3047,19.44,-2.543,1.031,-1.785,0.0
1762356886813919782,-0.11646,-0.009056,16.94,0.01843,-0.01333,0.00457,0.005116,-0.004578,-0.0538,-0.09436,-0.05313,16.9,0.02344,-0.01172,0.003906,0.00692,-0.004856,0.03072,-0.6797,0.3047,19.44,-2.543,1.031,-1.785,0.0
1762356886863866329,-0.11554,-0.00979,16.95,0.01639,-0.01357,0.1118,-0.004387,-0.01531,-0.0538,-0.09436,-0.05313,16.9,0.02734,-0.01563,0.0586,0.0008583,-0.01158,0.03064,-0.944,0.4084,19.27,-2.736,1.045,-1.724,0.0
1762356886913870573,-0.11505,-0.01019,16.95,-0.001081,7.6e-05,0.322,-0.0332,-0.05402,-0.05368,-0.09436,-0.05313,16.9,0.02344,-0.01563,0.1406,-0.00996,-0.02463,0.0306,-0.944,0.4084,19.27,-2.736,1.045,-1.724,0.0
1762356886963936805,-0.1166,-0.0091,16.98,-0.0662,0.04758,0.599,-0.07794,-0.1367,-0.0525,-0.09436,-0.07965,16.94,-0.03125,0.01563,0.4766,-0.06323,-0.1102,0.03143,-1.228,0.5137,19.1,-2.936,1.061,-1.666,0.0
1762356887013879776,-0.1226,-0.004967,17.02,-0.1975,0.129,0.8706,-0.1186,-0.2338,-0.05075,-0.09436,-0.05313,16.97,-0.2031,0.10547,0.836,-0.1187,-0.2394,0.03354,-1.228,0.5137,19.1,-2.936,1.061,-1.666,0.0
1762356887063885211,-0.1384,0.004932,17.06,-0.4185,0.2554,1.167,-0.1538,-0.323,-0.05093,-0.09436,-0.05313,17.02,-0.379,0.1836,1.0625,-0.146,-0.3086,0.03326,-1.53,0.6206,18.92,-3.135,1.08,-1.613,0.0
1762356887113890409,-0.1648,0.02066,17.12,-0.684,0.4006,1.4375,-0.1775,-0.3904,-0.05188,-0.1118,-0.05313,17.05,-0.5117,0.2461,1.203,-0.1605,-0.3474,0.03253,-1.53,0.6206,18.92,-3.135,1.08,-1.613,0.0
1762356887163879632,-0.2084,0.04578,17.22,-0.9814,0.56,1.626,-0.2,-0.449,-0.05096,-0.1643,-0.02663,17.14,-0.9414,0.4297,1.551,-0.1913,-0.4333,0.032,-1.8545,0.73,18.77,-3.334,1.104,-1.564,0.0
1762356887213890552,-0.262,0.07605,17.3,-1.241,0.6963,1.686,-0.2185,-0.497,-0.04636,-0.2168,-0.00011,17.23,-1.3125,0.59,1.664,-0.2169,-0.4993,0.03714,-1.8545,0.73,18.77,-3.334,1.104,-1.564,0.0
1762356887264106512,-0.333,0.1157,17.38,-1.492,0.827,1.642,-0.2317,-0.531,-0.04224,-0.2693,0.0264,17.3,-1.516,0.672,1.637,-0.2274,-0.5264,0.04037,-2.197,0.8413,18.61,-3.533,1.131,-1.5205,0.0
1762356887314073801,-0.4106,0.1586,17.45,-1.736,0.9536,1.6045,-0.2379,-0.542,-0.04227,-0.3218,0.05292,17.34,-1.672,0.7383,1.609,-0.2327,-0.5386,0.0414,-2.197,0.8413,18.61,-3.533,1.131,-1.5205,0.0
1762356887363991022,-0.507,0.2112,17.53,-1.945,1.063,1.471,-0.238,-0.548,-0.04303,-0.4617,0.10596,17.47,-2.012,0.883,1.508,-0.2356,-0.5454,0.03946,-2.56,0.956,18.47,-3.727,1.164,-1.4795,0.0
1762356887413914918,-0.604,0.2642,17.61,-2.086,1.135,1.256,-0.2374,-0.562,-0.04028,-0.5664,0.1589,17.53,-2.2,0.961,1.258,-0.2347,-0.562,0.04236,-2.56,0.956,18.47,-3.727,1.164,-1.4795,0.0
1762356887463944196,-0.707,0.32,17.66,-2.207,1.193,1.005,-0.2306,-0.563,-0.03986,-0.654,0.1855,17.58,-2.305,1.004,1.055,-0.2292,-0.5635,0.0426,-2.943,1.074,18.31,-3.918,1.202,-1.443,0.0
1762356887513883113,-0.8247,0.3835,17.7,-2.32,1.246,0.7173,-0.2192,-0.5557,-0.04144,-0.7065,0.212,17.6,-2.363,1.023,0.918,-0.2236,-0.5605,0.04184,-2.943,1.074,18.31,-3.918,1.202,-1.443,0.0
1762356887563899993,-0.948,0.4497,17.73,-2.426,1.294,0.4268,-0.2058,-0.5415,-0.04327,-0.8813,0.2915,17.66,-2.516,1.082,0.5273,-0.2075,-0.5464,0.03943,-3.344,1.197,18.17,-4.1,1.245,-1.41,0.0
1762356887613972663,-1.067,0.5127,17.75,-2.516,1.332,0.1615,-0.1935,-0.5254,-0.04535,-1.021,0.371,17.67,-2.633,1.125,0.1719,-0.1903,-0.5244,0.03653,-3.344,1.197,18.17,-4.1,1.245,-1.41,0.0
1762356887664008140,-1.2,0.583,17.75,-2.607,1.37,-0.1217,-0.181,-0.515,-0.04703,-1.108,0.3977,17.67,-2.7,1.148,-0.01563,-0.1821,-0.517,0.03528,-3.762,1.323,18.03,-4.277,1.293,-1.381,0.0
1762356887714091539,-1.327,0.6494,17.73,-2.7,1.406,-0.362,-0.1713,-0.5103,-0.04822,-1.196,0.4507,17.67,-2.75,1.164,-0.1797,-0.1752,-0.5137,0.0346,-3.762,1.323,18.03,-4.277,1.293,-1.381,0.0
1762356887763927459,-1.471,0.7236,17.7,-2.814,1.449,-0.583,-0.1611,-0.505,-0.05045,-1.389,0.5303,17.64,-2.895,1.207,-0.508,-0.1615,-0.5054,0.03204,-4.2,1.456,17.89,-4.44,1.347,-1.355,0.0
1762356887814048528,-1.609,0.7944,17.67,-2.96,1.503,-0.701,-0.153,-0.5005,-0.05258,-1.511,0.5566,17.61,-3.0,1.234,-0.6523,-0.1542,-0.504,0.03044,-4.2,1.456,17.89,-4.44,1.347,-1.355,0.0
