time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760014139666062831,0.01445,0.0433,19.98,-0.00109,0.00812,-0.000786,0.000225,-0.00434,-0.0561,-0.007427,0.02672,20.0,0.0,0.007812,-0.0,0.00011206,-0.00432,0.02806,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014139716067790,0.0144,0.04367,19.98,-0.001112,0.00798,-0.000685,0.000229,-0.004284,-0.0561,-0.007427,0.02672,20.0,0.0,0.007812,-0.0,0.0002004,-0.004234,0.02771,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014139766035556,0.01434,0.04407,19.98,-0.001113,0.00785,-0.000482,0.000208,-0.00427,-0.05606,-0.007427,0.02672,20.0,0.0,0.007812,-0.0,0.0002007,-0.004234,0.02754,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014139815984725,0.01429,0.04446,19.98,-0.001097,0.00771,0.000228,0.000228,-0.004192,-0.056,-0.007427,0.02672,20.0,0.0,0.007812,-0.0,0.0002011,-0.004234,0.02736,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014139865929126,0.01424,0.04483,19.98,-0.001057,0.007572,0.000262,0.000243,-0.00422,-0.0559,-0.007427,0.02672,20.0,0.0,0.007812,-0.0,0.0001156,-0.004147,0.02754,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014139915930509,0.014175,0.04523,19.98,-0.001056,0.007427,0.000274,0.000259,-0.00429,-0.05582,-0.007427,0.02672,20.0,0.0,0.007812,-0.0,0.0002007,-0.004234,0.02754,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014139965955734,0.01413,0.04556,19.98,-0.001076,0.00729,0.000375,0.000239,-0.00431,-0.05576,-0.007427,0.02672,20.0,0.0,0.007812,-0.0,0.0002011,-0.004234,0.02736,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140015999555,0.01408,0.04596,19.98,-0.001093,0.007153,0.000484,0.000224,-0.004295,-0.05566,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.00011355,-0.00432,0.02736,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140065907239,0.014015,0.0463,19.98,-0.001101,0.00703,0.000255,0.000247,-0.004284,-0.05557,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0001125,-0.00432,0.02788,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140115884780,0.01396,0.04666,19.98,-0.001119,0.00689,-0.00031,0.000265,-0.004333,-0.05554,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.00011206,-0.00432,0.02806,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140165878534,0.01391,0.04697,19.98,-0.001157,0.006756,-0.000747,0.000269,-0.00435,-0.05554,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0001117,-0.00432,0.02823,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140216007947,0.01385,0.0473,19.98,-0.001187,0.006626,-0.000933,0.000261,-0.00431,-0.05557,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.000111,-0.00432,0.02858,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140266002178,0.01379,0.04764,19.98,-0.00119,0.006493,-0.000971,0.000228,-0.00424,-0.0556,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.00011057,-0.00432,0.02875,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140315993309,0.01373,0.04797,19.98,-0.001159,0.006367,-0.000745,0.000233,-0.004177,-0.05573,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0001102,-0.00432,0.02892,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140366014480,0.01367,0.04828,19.98,-0.001102,0.00624,-0.00036,0.000266,-0.00412,-0.05582,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0001127,-0.004147,0.02892,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140415962696,0.01362,0.04858,19.98,-0.001022,0.0061,-0.000398,0.000261,-0.00414,-0.05597,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.00011235,-0.004147,0.02908,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140466247320,0.01357,0.04892,19.98,-0.000981,0.00596,-0.000448,0.000247,-0.004208,-0.05612,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0001978,-0.004234,0.02892,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140515959978,0.01352,0.0492,19.98,-0.000951,0.005833,-0.000465,0.00025,-0.004192,-0.05624,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0001985,-0.004234,0.02858,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140565971612,0.01347,0.0495,19.98,-0.000906,0.00569,-0.000237,0.000283,-0.00415,-0.0563,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0001988,-0.004234,0.0284,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140615974903,0.013435,0.04977,19.98,-0.000854,0.005554,-0.000392,0.000279,-0.004173,-0.05637,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0001998,-0.004234,0.02797,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140665978670,0.01339,0.05002,19.98,-0.000828,0.005417,-0.000537,0.000265,-0.004223,-0.05637,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0002005,-0.004234,0.02762,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140715970754,0.01335,0.0503,19.98,-0.0008,0.00529,-0.000471,0.000251,-0.00418,-0.05634,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0002007,-0.004234,0.02754,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140765964746,0.013306,0.05057,19.98,-0.000759,0.005165,-0.000274,0.000268,-0.00417,-0.05627,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0002011,-0.004234,0.02736,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140815953254,0.013275,0.0508,19.98,-0.00071,0.005024,-3e-05,0.00029,-0.00415,-0.0562,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0002016,-0.004234,0.0271,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140865986347,0.01324,0.05106,19.98,-0.00065,0.004887,0.000243,0.000302,-0.004116,-0.0561,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0002018,-0.004234,0.02702,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140915974617,0.01321,0.0513,19.98,-0.000591,0.004745,-0.000408,0.000285,-0.004204,-0.05597,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.0002011,-0.004234,0.02736,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014140965963125,0.013176,0.05154,19.98,-0.000597,0.004635,-0.000844,0.000256,-0.00429,-0.05588,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.00011355,-0.00432,0.02736,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1760014141015978813,0.013145,0.05176,19.98,-0.000602,0.004505,-0.000534,0.000261,-0.00421,-0.0558,-0.007427,0.02672,20.0,0.0,0.003906,-0.0,0.00011396,-0.00432,0.02719,0.0,0.0,20.0,0.0,0.0,0.0,0.0
