time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760012935731155633,-0.0603,0.0905,6.582,-0.1627,-0.0971,2.05,1.1e-05,-0.0062,-0.0504,0.010056,0.02672,6.496,-0.1406,-0.1172,1.941,-0.0001277,-0.01251,0.03418,0.0,0.0,6.832,0.0,0.0,1.993,0.0
1760012935781277179,-0.06805,0.08545,6.69,-0.1605,-0.0959,2.082,8.3e-05,-0.00461,-0.05048,0.010056,0.02672,6.574,-0.1445,-0.1172,2.012,3.1e-05,-0.008286,0.03418,0.0,0.0,7.0,0.0,0.0,2.0,0.0
1760012935831213235,-0.0764,0.0809,6.79,-0.1613,-0.09467,2.047,-0.000196,-0.01485,-0.0505,-0.007435,0.02672,6.71,-0.1406,-0.1172,2.078,9.257e-05,-0.004665,0.03436,0.0,0.0,7.0,0.0,0.0,2.0,0.0
1760012935881212711,-0.0843,0.0764,6.887,-0.1664,-0.0931,2.043,-0.000376,-0.01793,-0.0505,-0.007435,0.02672,6.758,-0.1406,-0.1133,2.055,-3.39e-05,-0.012085,0.03418,0.0,0.0,7.2,0.0,0.0,1.99,0.0
1760012935931208610,-0.0931,0.0716,6.992,-0.1704,-0.09143,2.08,-0.000188,-0.009995,-0.05057,-0.02492,0.0001992,6.88,-0.1484,-0.1133,2.035,-0.0003078,-0.01796,0.03427,0.0,0.0,7.2,0.0,0.0,1.99,0.0
1760012935981171131,-0.10126,0.0669,7.1,-0.1702,-0.09015,2.08,-4.1e-05,-0.007,-0.05063,-0.02492,0.0001992,6.96,-0.1523,-0.1133,2.062,-0.0001198,-0.012,0.03436,0.0,0.0,7.4,0.0,0.0,1.96,0.0
1760012936031154632,-0.1101,0.06256,7.203,-0.1708,-0.0889,2.035,-0.000185,-0.012825,-0.05066,-0.04242,0.0001992,7.098,-0.1523,-0.1133,2.082,5.16e-05,-0.00708,0.03418,0.0,0.0,7.4,0.0,0.0,1.96,0.0
1760012936081177949,-0.1184,0.05798,7.305,-0.1742,-0.0874,2.023,-0.000257,-0.01295,-0.05063,-0.04242,0.0001992,7.133,-0.1523,-0.1133,2.05,-9.13e-05,-0.010445,0.03403,0.0,0.0,7.59,0.0,0.0,1.911,0.0
1760012936131179094,-0.1274,0.05383,7.402,-0.1749,-0.0862,2.043,-9.2e-05,-0.004814,-0.05066,-0.0599,-0.02632,7.266,-0.1562,-0.1094,2.016,-0.0001413,-0.01338,0.03403,0.0,0.0,7.59,0.0,0.0,1.911,0.0
1760012936181210041,-0.1359,0.04938,7.51,-0.1718,-0.08514,2.04,2.2e-05,-0.000972,-0.05066,-0.0599,-0.02632,7.348,-0.1602,-0.1094,2.031,-2.91e-05,-0.00682,0.03384,0.0,0.0,7.777,0.0,0.0,1.842,0.0
