time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762353227686758756,0.9453,0.0483,6.58,-0.04672,-0.01704,2.275,0.00615,-0.00981,0.0086,0.973,-0.0001659,6.56,-0.04297,-0.02734,2.234,0.00815,-0.013176,0.03464,1.0,0.0,6.832,-0.0,0.0,1.993,0.0
1762353227736782073,0.9434,0.04742,6.688,-0.04706,-0.0205,2.32,0.007603,-0.004963,0.00849,0.973,-0.0001659,6.676,-0.04297,-0.03125,2.316,0.01018,-0.005787,0.03442,1.0,0.0,7.0,-0.0,0.0,2.0,0.0
1762353227786776542,0.941,0.04626,6.805,-0.04822,-0.02339,2.227,0.00661,-0.01665,0.008286,0.9556,-0.0001659,6.77,-0.04688,-0.03125,2.27,0.0096,-0.01415,0.0342,1.0,0.0,7.0,-0.0,0.0,2.0,0.0
1762353227836772680,0.9385,0.0451,6.91,-0.05667,-0.02525,2.129,0.004093,-0.0319,0.00814,0.973,-0.0001659,6.91,-0.0547,-0.03516,2.125,0.006275,-0.03214,0.034,1.0,0.0,7.2,-0.0,0.0,1.99,0.0
1762353227886781930,0.935,0.04373,7.023,-0.0695,-0.02701,2.2,0.002762,-0.014084,0.008156,0.9556,-0.0001659,6.977,-0.0625,-0.03906,2.16,0.00559,-0.02159,0.03403,1.0,0.0,7.2,-0.0,0.0,1.99,0.0
1762353227936774253,0.9316,0.04242,7.13,-0.0685,-0.02795,2.236,0.002167,0.001199,0.00808,0.9556,-0.0001659,7.094,-0.0664,-0.03906,2.234,0.00459,0.0006986,0.03418,1.0,0.0,7.4,-0.0,0.0,1.96,0.0
1762353227986787080,0.928,0.04095,7.246,-0.0661,-0.02841,2.205,0.001228,-0.00575,0.007996,0.9556,-0.0001659,7.184,-0.0586,-0.04297,2.21,0.00398,-0.004642,0.03418,1.0,0.0,7.4,-0.0,0.0,1.96,0.0
1762353228036794424,0.925,0.03958,7.35,-0.0675,-0.02849,2.2,0.000548,-0.00832,0.00795,0.9556,-0.0001659,7.324,-0.0586,-0.04297,2.195,0.003057,-0.00808,0.034,1.0,0.0,7.59,-0.0,0.0,1.911,0.0
1762353228086799383,0.9214,0.03812,7.465,-0.06775,-0.0283,2.205,0.000265,-0.0036,0.0079,0.9556,-0.0001659,7.39,-0.0586,-0.04297,2.2,0.002934,-0.005142,0.034,1.0,0.0,7.59,-0.0,0.0,1.911,0.0
1762353228136792898,0.918,0.03665,7.58,-0.066,-0.028,2.2,0.000115,-0.00176,0.00783,0.9556,-0.0001659,7.51,-0.0547,-0.04297,2.2,0.00264,-0.002203,0.034,1.0,0.0,7.777,-0.0,0.0,1.842,0.0
