time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760012188229476213,0.010704,0.00557,5.39,-0.0404,-0.0356,0.791,-0.004257,-0.00934,-0.0479,0.045,-0.02632,5.46,-0.02344,-0.03516,0.75,-0.004124,-0.00908,0.03384,0.0,0.0,6.832,0.0,0.0,1.993,0.0
1760012188279482603,0.0084,0.003807,5.434,-0.041,-0.03223,0.924,-0.004444,-0.002584,-0.04788,0.045,-0.02632,5.484,-0.02344,-0.03516,0.84,-0.004326,-0.00571,0.03403,0.0,0.0,7.0,0.0,0.0,2.0,0.0
1760012188329484224,0.006474,0.002335,5.48,-0.0398,-0.02919,1.03,-0.004646,-0.005,-0.04785,0.045,-0.02632,5.543,-0.02344,-0.03125,0.9844,-0.00447,-0.003983,0.03418,0.0,0.0,7.0,0.0,0.0,2.0,0.0
1760012188379478454,0.004555,0.000906,5.54,-0.04034,-0.02585,1.111,-0.004868,-0.007904,-0.04782,0.045,-0.02632,5.586,-0.02344,-0.02734,1.07,-0.004677,-0.005875,0.03455,0.0,0.0,7.2,0.0,0.0,1.99,0.0
1760012188429397344,0.002384,-0.000258,5.594,-0.04346,-0.02269,1.1875,-0.004547,-0.01219,-0.04785,0.045,-0.02632,5.65,-0.02734,-0.02344,1.168,-0.004433,-0.01175,0.03455,0.0,0.0,7.2,0.0,0.0,1.99,0.0
1760012188479374408,0.000204,-0.001359,5.656,-0.04706,-0.0199,1.246,-0.003162,-0.01121,-0.04788,0.045,-0.02632,5.68,-0.03125,-0.02344,1.207,-0.00373,-0.01107,0.03455,0.0,0.0,7.4,0.0,0.0,1.96,0.0
1760012188529367446,-0.00234,-0.002262,5.72,-0.0509,-0.0178,1.319,-0.002724,-0.01175,-0.04794,0.02754,-0.02632,5.76,-0.03906,-0.01953,1.281,-0.002537,-0.011955,0.03436,0.0,0.0,7.4,0.0,0.0,1.96,0.0
1760012188579367399,-0.004852,-0.00313,5.79,-0.05316,-0.0156,1.388,-0.003304,-0.0074,-0.04797,0.02754,-0.02632,5.81,-0.04297,-0.01953,1.344,-0.002829,-0.00884,0.03436,0.0,0.0,7.59,0.0,0.0,1.911,0.0
1760012188629351615,-0.007652,-0.003824,5.855,-0.05457,-0.01335,1.439,-0.00387,-0.008865,-0.048,0.02754,-0.02632,5.887,-0.04297,-0.01563,1.422,-0.003687,-0.008484,0.03445,0.0,0.0,7.59,0.0,0.0,1.911,0.0
1760012188679373979,-0.010544,-0.004494,5.938,-0.0568,-0.01046,1.477,-0.00444,-0.00996,-0.04803,0.02754,-0.02632,5.926,-0.04297,-0.01563,1.445,-0.00395,-0.008736,0.03436,0.0,0.0,7.777,0.0,0.0,1.842,0.0
1760012188729389429,-0.01309,-0.004894,6.004,-0.05927,-0.00795,1.512,-0.004738,-0.010635,-0.04803,0.02754,-0.02632,6.027,-0.04688,-0.01563,1.492,-0.004494,-0.01045,0.0342,0.0,0.0,7.777,0.0,0.0,1.842,0.0
1760012188779445648,-0.01624,-0.00523,6.082,-0.0616,-0.00496,1.54,-0.004955,-0.00958,-0.048,0.02754,-0.02632,6.082,-0.04688,-0.01172,1.52,-0.004738,-0.00951,0.03412,0.0,0.0,7.957,0.0,0.0,1.755,0.0
1760012188829417705,-0.0195,-0.005394,6.16,-0.0638,-0.001947,1.6045,-0.005054,-0.007812,-0.048,0.01005,-0.02632,6.176,-0.0547,-0.01172,1.586,-0.00479,-0.007515,0.03403,0.0,0.0,7.957,0.0,0.0,1.755,0.0
1760012188879400014,-0.02281,-0.005413,6.242,-0.06287,0.001126,1.67,-0.005,-0.001796,-0.04803,0.01005,-0.02632,6.22,-0.0547,-0.007812,1.625,-0.004726,-0.003891,0.03403,0.0,0.0,8.13,0.0,0.0,1.65,0.0
1760012188929407835,-0.02577,-0.005295,6.324,-0.06122,0.00378,1.709,-0.00508,-0.004066,-0.04803,0.010056,-0.02632,6.324,-0.05078,-0.003906,1.691,-0.004803,-0.00311,0.03436,0.0,0.0,8.13,0.0,0.0,1.65,0.0
1760012188979407310,-0.0287,-0.00502,6.414,-0.0612,0.006683,1.73,-0.00527,-0.007244,-0.048,0.010056,-0.02632,6.418,-0.05078,-0.003906,1.723,-0.005043,-0.00708,0.03464,0.0,0.0,8.29,0.0,0.0,1.529,0.0
1760012189029391288,-0.03192,-0.004597,6.504,-0.06287,0.00966,1.74,-0.005383,-0.01015,-0.04803,0.010056,-0.02632,6.49,-0.05078,0.0,1.734,-0.00517,-0.00941,0.03455,0.0,0.0,8.29,0.0,0.0,1.529,0.0
1760012189079388856,-0.035,-0.004063,6.59,-0.06537,0.012436,1.746,-0.00543,-0.01111,-0.04807,0.010056,-0.02632,6.53,-0.0547,0.0,1.738,-0.005184,-0.01027,0.0345,0.0,0.0,8.44,0.0,0.0,1.394,0.0
1760012189129387378,-0.039,-0.003214,6.695,-0.0683,0.01572,1.766,-0.004517,-0.008575,-0.0481,-0.007435,-0.02632,6.652,-0.0547,0.0,1.75,-0.004917,-0.00984,0.0343,0.0,0.0,8.44,0.0,0.0,1.394,0.0
1760012189179440736,-0.0423,-0.00248,6.773,-0.06885,0.01746,1.775,-0.003242,-0.005924,-0.04816,-0.007435,-0.02632,6.75,-0.0586,0.003906,1.77,-0.00312,-0.00573,0.03436,0.0,0.0,8.57,0.0,0.0,1.243,0.0
1760012189229423761,-0.04507,-0.001759,6.844,-0.0686,0.01854,1.791,-0.002338,-0.004147,-0.04816,-0.007435,-0.02632,6.812,-0.0586,0.007812,1.781,-0.002232,-0.004192,0.03455,0.0,0.0,8.57,0.0,0.0,1.243,0.0
1760012189279426813,-0.04886,-0.000614,6.95,-0.0668,0.01947,1.806,-0.001329,-0.001957,-0.0482,-0.007435,-0.02632,6.863,-0.0586,0.007812,1.793,-0.001686,-0.002647,0.03455,0.0,0.0,8.68,0.0,0.0,1.081,0.0
1760012189329400539,-0.05203,0.000329,7.04,-0.0652,0.0198,1.798,-0.000868,-0.003265,-0.04828,-0.007435,-0.02632,6.992,-0.0547,0.007812,1.797,-0.0008173,-0.002317,0.0347,0.0,0.0,8.68,0.0,0.0,1.081,0.0
1760012189379418611,-0.05515,0.001285,7.125,-0.06445,0.01999,1.791,-0.000585,-0.004368,-0.0483,-0.02492,-0.02632,7.09,-0.0547,0.01172,1.789,-0.0004172,-0.004135,0.0348,0.0,0.0,8.78,0.0,0.0,0.907,0.0
1760012189429384708,-0.05847,0.002327,7.215,-0.0639,0.02007,1.762,-0.000381,-0.005318,-0.0484,-0.02492,-0.02632,7.152,-0.05078,0.01172,1.77,-0.0003357,-0.0044,0.03488,0.0,0.0,8.78,0.0,0.0,0.907,0.0
1760012189479393720,-0.06155,0.003292,7.3,-0.0642,0.02011,1.743,-0.000279,-0.00613,-0.0485,-0.02492,-0.02632,7.203,-0.05078,0.01172,1.754,-0.000272,-0.00569,0.03488,0.0,0.0,8.87,0.0,0.0,0.7246,0.0
1760012189529395103,-0.0649,0.004257,7.383,-0.06396,0.02008,1.724,-0.000169,-0.003975,-0.0486,-0.02492,-0.02632,7.33,-0.05078,0.01172,1.727,-7.26e-05,-0.004143,0.03503,0.0,0.0,8.87,0.0,0.0,0.7246,0.0
1760012189579400777,-0.0682,0.0053,7.473,-0.06247,0.01993,1.711,-4.6e-05,-0.000942,-0.0487,-0.02492,-0.02632,7.42,-0.05078,0.01172,1.707,7.874e-05,-0.000433,0.03503,0.0,0.0,8.93,0.0,0.0,0.535,0.0
1760012189629385709,-0.0711,0.00625,7.555,-0.0596,0.01967,1.694,5e-05,0.001473,-0.04883,-0.02492,-0.02632,7.48,-0.04688,0.01172,1.695,0.0001089,0.001293,0.03488,0.0,0.0,8.93,0.0,0.0,0.535,0.0
