time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760018469765367269,0.981,0.952,0.961,-0.002966,0.000213,0.000191,9.5e-05,-0.004356,0.00971,0.9717,0.9546,0.996,0.0,0.0,-0.0,0.000873,-0.005108,0.03004,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018469815379142,0.9805,0.952,0.961,-0.002964,0.000222,-0.000195,0.000121,-0.004303,0.00977,0.9717,0.9546,1.0,0.0,0.0,-0.0,0.000873,-0.005108,0.02995,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018469865356445,0.9805,0.952,0.961,-0.002974,0.000229,-0.000848,0.000102,-0.004356,0.00982,0.9717,0.9546,1.0,0.0,0.0,-0.0,0.000873,-0.005108,0.02995,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018469915376901,0.9805,0.952,0.961,-0.002996,0.000242,-0.001264,8e-05,-0.00435,0.00988,0.9717,0.9546,1.0,0.0,0.0,-0.0,0.0008736,-0.005108,0.02979,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018469965370178,0.98,0.952,0.9604,-0.002998,0.000268,-0.00121,7.5e-05,-0.00428,0.009964,0.9717,0.9546,1.0,0.0,0.0,-0.0,0.0008736,-0.005108,0.02979,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470015433549,0.98,0.952,0.9604,-0.002964,0.000291,-0.001533,7e-05,-0.00425,0.01002,0.9717,0.928,1.0,0.0,0.0,-0.0,0.000876,-0.004932,0.02979,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470065456390,0.98,0.952,0.9604,-0.002953,0.000322,-0.001903,4.6e-05,-0.00432,0.01009,0.9717,0.928,1.0,0.0,0.0,-0.0,0.0008717,-0.005108,0.03047,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470115459680,0.9795,0.952,0.9604,-0.002941,0.000367,-0.001358,5.1e-05,-0.004227,0.01007,0.9717,0.928,1.0,0.0,0.0,-0.0,0.0007863,-0.00502,0.03073,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470165415763,0.9795,0.952,0.9604,-0.002878,0.000402,-0.00086,5.9e-05,-0.004158,0.010056,0.9717,0.928,0.996,0.0,0.0,-0.0,0.000873,-0.004936,0.03099,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470215348005,0.9795,0.952,0.9604,-0.002802,0.000446,-0.000234,2.3e-05,-0.00416,0.009964,0.9717,0.928,0.996,0.0,0.0,-0.0,0.0008726,-0.004936,0.03116,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470265334606,0.9795,0.952,0.9604,-0.00273,0.000548,0.000546,-0.000245,-0.004158,0.00987,0.9717,0.928,0.996,0.0,0.0,-0.0,0.0008717,-0.004936,0.0315,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470315356254,0.979,0.952,0.9604,-0.002647,0.001095,0.001849,-0.001666,-0.004112,0.00971,0.9717,0.928,0.996,0.0,0.0,-0.0,-0.0005097,-0.004913,0.03186,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470365344285,0.979,0.9526,0.9604,-0.002577,0.002193,0.001598,-0.002794,-0.004215,0.00952,0.9717,0.928,0.996,0.0,0.0,-0.0,-0.001458,-0.00481,0.03186,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470415374755,0.979,0.9526,0.9604,-0.002596,0.003729,0.000999,-0.003633,-0.00439,0.00936,0.9717,0.928,0.996,0.0,0.0,-0.0,-0.002066,-0.005062,0.03168,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470465339422,0.979,0.9526,0.9604,-0.002684,0.00575,0.000367,-0.004253,-0.004463,0.0092,0.9717,0.928,0.996,0.0,0.0,-0.0,-0.00319,-0.00513,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470515386343,0.9785,0.953,0.9604,-0.002766,0.008,0.000812,-0.00464,-0.004353,0.00909,0.9717,0.928,0.996,0.0,0.003906,-0.0,-0.003706,-0.005123,0.03091,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470565363645,0.9785,0.9536,0.9604,-0.002779,0.01019,0.001039,-0.00484,-0.00427,0.00899,0.9717,0.928,0.996,0.0,0.003906,-0.0,-0.003963,-0.00503,0.03082,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470615374803,0.9785,0.954,0.961,-0.002777,0.01263,0.001291,-0.00497,-0.004253,0.00893,0.9717,0.928,0.996,0.0,0.007812,-0.0,-0.004047,-0.004944,0.03065,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470665344238,0.978,0.955,0.961,-0.002762,0.0149,0.001324,-0.00506,-0.004223,0.00888,0.9717,0.928,1.0,0.0,0.01172,-0.0,-0.00422,-0.004944,0.03049,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470715469837,0.978,0.9556,0.961,-0.002768,0.01735,0.000149,-0.005085,-0.004364,0.00887,0.9717,0.9546,1.0,0.0,0.01172,-0.0,-0.004223,-0.005116,0.0303,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470765338897,0.978,0.9565,0.961,-0.002842,0.0196,-0.001048,-0.005123,-0.004463,0.00886,0.9717,0.9546,1.0,0.0,0.01563,-0.0,-0.004307,-0.0052,0.03014,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470815358400,0.978,0.9575,0.961,-0.002945,0.02203,-0.002071,-0.005127,-0.00445,0.00887,0.9717,0.9546,1.0,0.0,0.01563,-0.0,-0.004307,-0.0052,0.03014,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470865329504,0.9775,0.959,0.9604,-0.003021,0.0242,-0.00263,-0.004883,-0.00441,0.008896,0.9717,0.9546,1.0,0.0,0.01953,-0.0,-0.004307,-0.005203,0.02997,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470915505886,0.9775,0.96,0.9604,-0.00306,0.02611,-0.002207,-0.003473,-0.00426,0.00892,0.9717,0.9546,1.0,0.0,0.01953,-0.0,-0.002924,-0.00505,0.02997,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018470965343952,0.9775,0.9614,0.9604,-0.003012,0.02725,-0.001739,-0.002363,-0.004143,0.00897,0.9717,0.9546,1.0,0.0,0.02344,-0.0,-0.002058,-0.00489,0.02988,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760018471015375137,0.977,0.963,0.9604,-0.002926,0.02797,-0.001168,-0.001471,-0.00413,0.00903,0.9717,0.9546,0.996,0.0,0.02344,-0.0,-0.001368,-0.0049,0.02979,1.0,1.0,1.0,0.0,0.0,0.0,0.0
