time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762349764549564123,1.03,1.009,0.954,-0.001376,0.000245,-0.002626,6.6e-05,-0.004745,0.009026,1.007,0.981,1.0,0.0,0.0,-0.0,0.0001861,-0.004578,0.03186,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349764599533319,1.03,1.009,0.9536,-0.001611,0.000265,-0.004734,7.9e-05,-0.004696,0.009,1.007,0.981,1.0,0.0,0.0,-0.0,0.0002713,-0.004665,0.03177,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349764649553775,1.03,1.009,0.9536,-0.001762,0.000285,-0.00579,7.2e-05,-0.004505,0.008965,1.007,0.981,1.0,0.0,0.0,-0.003906,0.0002742,-0.004494,0.03168,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349764699535131,1.029,1.009,0.953,-0.001817,0.00031,-0.005993,6.9e-05,-0.004284,0.008965,1.007,0.981,1.0,0.0,0.0,-0.003906,0.0001922,-0.004234,0.0316,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349764749553918,1.029,1.009,0.953,-0.001767,0.000329,-0.00569,8.9e-05,-0.004105,0.00898,1.007,0.981,1.0,0.0,0.0,-0.003906,0.000195,-0.00406,0.0315,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349764799494504,1.029,1.009,0.9526,-0.001664,0.000347,-0.006073,9.7e-05,-0.00412,0.009,1.007,0.981,1.0,0.0,0.0,-0.003906,0.0002828,-0.003975,0.0315,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349764849518775,1.029,1.009,0.952,-0.001603,0.000363,-0.007095,6e-05,-0.004227,0.009,1.007,0.981,1.0,0.0,0.0,-0.003906,0.0001951,-0.00406,0.03143,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349764899445772,1.029,1.009,0.9517,-0.001602,0.000395,-0.006912,5.7e-05,-0.00429,0.00904,1.007,0.981,1.0,0.0,0.0,-0.003906,0.0001926,-0.004234,0.03134,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349764949509859,1.029,1.009,0.9517,-0.00157,0.000424,-0.005814,4e-05,-0.004124,0.00909,1.007,0.981,1.0,0.0,0.0,-0.003906,0.0001954,-0.00406,0.03134,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349764999513149,1.029,1.009,0.951,-0.001461,0.000472,-0.004868,2.8e-05,-0.004066,0.00913,1.007,0.981,0.996,0.0,0.0,-0.003906,0.0001104,-0.00397,0.03134,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765049513101,1.029,1.01,0.951,-0.001364,0.000514,-0.003075,4.6e-05,-0.004055,0.00916,1.007,0.981,0.996,0.0,0.0,-0.0,0.00011057,-0.003975,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765099441289,1.029,1.01,0.951,-0.001234,0.000536,-0.001616,7.9e-05,-0.00404,0.009224,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001982,-0.003887,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765149429082,1.029,1.01,0.951,-0.001146,0.000566,-0.000812,6e-05,-0.004192,0.00928,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001955,-0.00406,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765199520587,1.029,1.01,0.9507,-0.001139,0.000596,-0.000404,4.6e-05,-0.004322,0.009315,1.007,0.981,1.0,0.0,0.0,-0.0,0.000193,-0.004234,0.03116,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765249557971,1.029,1.01,0.9507,-0.001188,0.000624,-0.001284,5.2e-05,-0.00448,0.00938,1.007,0.981,1.0,0.0,0.0,-0.0,0.0001054,-0.00432,0.03116,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765299628257,1.029,1.01,0.9507,-0.001346,0.000661,-0.001589,4e-05,-0.004623,0.00946,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001874,-0.004578,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765349456071,1.028,1.01,0.9507,-0.001479,0.000701,-0.000921,1.1e-05,-0.00447,0.0095,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001901,-0.004406,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765399501323,1.028,1.01,0.9507,-0.001523,0.000739,0.000726,4e-05,-0.004284,0.00956,1.007,0.981,0.996,0.0,0.0,-0.0,0.000193,-0.004234,0.03116,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765449520587,1.028,1.01,0.9507,-0.001502,0.00078,0.000666,4e-05,-0.0043,0.00964,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001955,-0.00406,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765499541759,1.028,1.01,0.9507,-0.001557,0.000808,0.000455,5e-05,-0.00447,0.00969,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001904,-0.004406,0.03116,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765549452066,1.028,1.01,0.9507,-0.001649,0.000829,0.000795,8.2e-05,-0.00443,0.00979,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001901,-0.004406,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765599449872,1.028,1.01,0.9507,-0.0017,0.000849,0.001548,6.3e-05,-0.004337,0.00984,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001929,-0.004234,0.03125,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765649505853,1.028,1.01,0.951,-0.001713,0.000872,0.001844,4.5e-05,-0.004322,0.00992,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001926,-0.004234,0.03134,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765699537515,1.028,1.01,0.951,-0.001737,0.000914,0.002077,2.9e-05,-0.004353,0.009964,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001913,-0.004234,0.03195,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765749504327,1.028,1.01,0.951,-0.001764,0.000956,0.002344,3.3e-05,-0.00433,0.00999,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001909,-0.004234,0.0322,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765799499750,1.028,1.01,0.951,-0.001799,0.000999,0.001938,3.8e-05,-0.004406,0.00991,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001903,-0.004234,0.03247,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765849519729,1.028,1.01,0.951,-0.001869,0.001028,0.001012,4.4e-05,-0.00447,0.00986,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001876,-0.004406,0.03238,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765899795532,1.028,1.01,0.951,-0.001968,0.001046,-8.1e-05,7e-05,-0.004536,0.00978,1.007,0.981,1.0,0.0,0.0,-0.0,0.0001882,-0.004406,0.0321,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765949546098,1.027,1.01,0.951,-0.00212,0.001062,-0.001298,7.7e-05,-0.004574,0.00973,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001882,-0.004406,0.0321,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349765999495267,1.027,1.01,0.951,-0.002214,0.001069,-0.001079,8.7e-05,-0.00442,0.0097,1.007,0.981,0.996,0.0,0.0,-0.0,0.0002763,-0.004322,0.03195,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349766049466371,1.027,1.01,0.951,-0.002226,0.001076,-0.000622,0.000112,-0.004246,0.00966,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001916,-0.004234,0.03186,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349766099535942,1.027,1.01,0.951,-0.002174,0.001061,-0.000911,0.000126,-0.004204,0.009636,1.007,0.981,1.0,0.0,0.0,-0.0,0.0001943,-0.00406,0.03186,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349766149456024,1.027,1.01,0.951,-0.002165,0.001058,-0.001892,0.000106,-0.004353,0.00963,1.007,0.981,1.0,0.0,0.0,-0.0,0.0002792,-0.004147,0.03186,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349766199481487,1.027,1.011,0.951,-0.002214,0.001054,-0.002705,0.000106,-0.004433,0.00959,1.007,0.981,0.996,0.0,0.0,-0.0,0.0002768,-0.004322,0.03168,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1762349766249494552,1.027,1.011,0.9507,-0.002272,0.00105,-0.001779,0.000102,-0.004314,0.00961,1.007,0.981,0.996,0.0,0.0,-0.0,0.0001919,-0.004234,0.03168,1.0,1.0,1.0,0.0,0.0,0.0,0.0
