time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760020031998434782,1.059,1.006,0.9536,-0.02257,-0.004475,-0.000401,0.000432,-0.004635,0.01197,1.024,1.008,0.996,-0.01953,0.0,-0.0,0.0006795,-0.004936,0.03946,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032048392772,1.058,1.005,0.9536,-0.0225,-0.00457,-0.000331,0.000435,-0.00456,0.01203,1.024,1.008,0.996,-0.01953,0.0,-0.0,0.0005975,-0.004673,0.03998,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032098386764,1.057,1.005,0.9536,-0.0224,-0.004658,-0.00033,0.000423,-0.00448,0.01205,1.024,1.008,0.996,-0.01953,0.0,-0.0,0.0006847,-0.00459,0.04013,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032148384571,1.056,1.005,0.9536,-0.02228,-0.004745,-0.000755,0.000395,-0.00449,0.01204,1.024,1.008,1.0,-0.01953,0.0,-0.0,0.0006843,-0.00459,0.0405,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032198379039,1.054,1.005,0.9536,-0.02217,-0.004818,-0.001423,0.0004,-0.004486,0.01199,1.024,1.008,1.0,-0.01953,0.0,-0.0,0.000684,-0.00459,0.04065,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032248377323,1.053,1.005,0.953,-0.02205,-0.004894,-0.002075,0.000393,-0.004498,0.0119,1.024,1.008,1.0,-0.01953,0.0,-0.0,0.0006833,-0.00459,0.04083,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032298686742,1.052,1.004,0.953,-0.02194,-0.004963,-0.00267,0.00036,-0.00448,0.011826,1.024,1.008,1.0,-0.01563,0.0,-0.0,0.0005984,-0.0045,0.04108,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032348409414,1.051,1.004,0.953,-0.02184,-0.00502,-0.00359,0.000363,-0.004505,0.0117,1.024,1.008,1.0,-0.01563,0.0,-0.0,0.000598,-0.0045,0.04117,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032398411273,1.05,1.004,0.9526,-0.02173,-0.00508,-0.003592,0.000373,-0.004444,0.011566,1.024,1.008,1.0,-0.01563,0.0,-0.0,0.000598,-0.0045,0.04117,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032448444843,1.049,1.003,0.9526,-0.02158,-0.005146,-0.002874,0.000389,-0.00432,0.01144,1.024,1.008,1.0,-0.01563,0.0,-0.0,0.0005975,-0.0045,0.04135,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032498416900,1.048,1.003,0.9526,-0.02135,-0.00522,-0.002045,0.000404,-0.004196,0.01125,1.024,1.008,1.0,-0.01563,0.0,-0.0,0.0006013,-0.00433,0.04135,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032548409461,1.047,1.003,0.9526,-0.02112,-0.00529,-0.002398,0.000412,-0.00434,0.0111,1.024,1.008,1.0,-0.01563,0.0,-0.0,0.0006046,-0.004158,0.04144,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032598405838,1.046,1.003,0.952,-0.021,-0.005363,-0.002785,0.000413,-0.004463,0.01092,1.024,1.008,1.0,-0.01563,0.0,-0.0,0.000601,-0.00433,0.04144,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032648449897,1.044,1.002,0.952,-0.02087,-0.005455,-0.002134,0.000406,-0.00443,0.01072,1.024,1.008,0.996,-0.01563,0.0,-0.0,0.000597,-0.0045,0.04153,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032698462963,1.043,1.002,0.952,-0.0207,-0.005527,-0.000965,0.000408,-0.004246,0.01051,1.024,1.008,0.996,-0.01563,0.0,-0.0,0.000597,-0.0045,0.04153,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032748417139,1.042,1.002,0.952,-0.0205,-0.005608,-0.000393,0.000437,-0.00426,0.01033,1.024,1.008,0.996,-0.01563,0.0,-0.0,0.000601,-0.00433,0.04153,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032798391342,1.041,1.002,0.952,-0.02031,-0.00569,-0.000423,0.000445,-0.004375,0.0101,1.024,1.008,0.996,-0.01563,0.0,-0.0,0.000689,-0.004246,0.04153,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032848403930,1.04,1.001,0.952,-0.02019,-0.005787,-6.7e-05,0.000429,-0.00445,0.00992,1.024,0.9814,0.996,-0.01563,0.0,-0.0,0.0006857,-0.004417,0.04126,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032898412942,1.039,1.001,0.952,-0.02007,-0.00586,0.000356,0.00041,-0.004383,0.00974,1.024,0.9814,0.996,-0.01563,0.0,-0.0,0.0006866,-0.004417,0.04102,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032948418855,1.038,1.001,0.952,-0.01994,-0.005936,-0.000636,0.000379,-0.004517,0.009605,1.024,0.9814,0.996,-0.01172,0.0,-0.0,0.0006876,-0.004417,0.0404,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020032998389720,1.037,1.0,0.952,-0.0199,-0.006004,-0.000172,0.000393,-0.004505,0.009575,1.024,0.9814,0.996,-0.01172,0.0,-0.0,0.0006003,-0.0045,0.04013,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020033048389434,1.036,1.0,0.952,-0.01978,-0.006065,0.000378,0.000417,-0.00436,0.00956,1.007,0.9814,0.996,-0.01172,0.0,-0.0,0.0006013,-0.0045,0.0398,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020033098386287,1.035,0.9995,0.952,-0.0196,-0.00615,0.000782,0.000408,-0.004364,0.00957,1.007,0.9814,0.996,-0.01172,0.0,-0.0,0.0006895,-0.004417,0.0396,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020033148384094,1.034,0.9995,0.952,-0.01947,-0.006214,0.001421,0.000407,-0.004356,0.00962,1.007,0.9814,0.996,-0.01172,0.0,-0.0,0.0006905,-0.004417,0.03928,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020033198394298,1.033,0.999,0.952,-0.01932,-0.00629,0.001601,0.000429,-0.004387,0.00971,1.007,0.9814,0.996,-0.01172,0.0,-0.0,0.000606,-0.00433,0.0391,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1760020033248413801,1.032,0.999,0.952,-0.01921,-0.006363,0.001305,0.000423,-0.004475,0.009796,1.007,0.9814,0.996,-0.01172,0.0,-0.0,0.000691,-0.004417,0.03894,1.0,1.0,1.0,0.0,0.0,0.0,0.0
