time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738834746602126598,0.0339,-0.007835,0.973,-0.000665,-0.00535,0.001799,0.000219,-0.004406,0.00862,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0002785,-0.004494,0.02979,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834746652065277,0.03387,-0.007965,0.973,-0.000682,-0.00534,0.001769,0.000213,-0.00444,0.00859,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0002754,-0.004665,0.02995,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834746702121257,0.0338,-0.00841,0.9736,-0.000964,-0.005287,0.001623,0.000189,-0.004623,0.00849,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0003605,-0.004753,0.02995,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834746752096176,0.0338,-0.00841,0.9736,-0.000964,-0.005287,0.001623,0.000189,-0.004623,0.00847,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0002725,-0.004837,0.03012,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834746802129745,0.0337,-0.008934,0.9736,-0.00132,-0.005245,0.000176,0.000221,-0.00469,0.00829,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0002725,-0.004837,0.03012,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834746852074861,0.03366,-0.009,0.9736,-0.001369,-0.00524,-7.4e-05,0.000227,-0.0047,0.00829,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.000272,-0.004837,0.0303,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834746902113676,0.03357,-0.009415,0.9736,-0.001689,-0.005245,-0.001302,0.000252,-0.004658,0.00812,0.01123,-0.02673,1.0,0.0,0.0,-0.0,0.000357,-0.004925,0.0303,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834746952124118,0.03354,-0.00946,0.9736,-0.00176,-0.005245,-0.001478,0.00025,-0.004635,0.00808,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.000272,-0.004837,0.0303,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747002121925,0.0334,-0.00988,0.973,-0.001935,-0.005238,-0.000885,0.000235,-0.004436,0.00789,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0003595,-0.004753,0.0303,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747052089691,0.03336,-0.00999,0.973,-0.001957,-0.005238,-0.000593,0.000235,-0.00438,0.00785,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0003622,-0.00458,0.0303,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747102108001,0.03317,-0.010506,0.973,-0.001987,-0.005245,0.000232,0.000292,-0.004356,0.0076,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0003622,-0.00458,0.03038,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747152088403,0.03317,-0.010506,0.973,-0.001987,-0.005245,0.000232,0.000292,-0.004356,0.0076,0.01123,-0.02673,1.0,0.0,0.0,-0.0,0.0003622,-0.00458,0.03038,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747202119827,0.03305,-0.0108,0.973,-0.002096,-0.00527,-0.000937,0.00032,-0.004528,0.007427,0.01123,-0.02673,1.0,0.0,0.0,-0.0,0.000447,-0.00467,0.03038,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747252074480,0.03293,-0.01112,0.973,-0.002228,-0.005306,-0.001658,0.000304,-0.004677,0.007313,0.01123,-0.02673,1.0,0.0,0.0,-0.0,0.0004458,-0.00484,0.02979,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747302134990,0.0328,-0.011375,0.973,-0.002405,-0.00535,-0.001569,0.000314,-0.00455,0.0072,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0004463,-0.00484,0.0296,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747352087497,0.03265,-0.011635,0.973,-0.002499,-0.005394,-0.000895,0.000321,-0.004387,0.00718,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0004501,-0.00467,0.02908,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747402123212,0.0326,-0.011894,0.973,-0.002514,-0.005413,-0.000561,0.000303,-0.00436,0.007168,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.000365,-0.00458,0.02908,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747452067375,0.0324,-0.01215,0.973,-0.002539,-0.005436,0.000621,0.000293,-0.00434,0.007164,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0003645,-0.00458,0.02927,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747502104520,0.03232,-0.01241,0.973,-0.002523,-0.00545,0.001963,0.000305,-0.004215,0.00716,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0004518,-0.004498,0.02943,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738834747552069425,0.03223,-0.01266,0.973,-0.002485,-0.00547,0.002611,0.000316,-0.004276,0.007133,0.01123,-0.02673,0.996,0.0,0.0,-0.0,0.0004513,-0.004498,0.0296,0.0,0.0,1.0,0.0,0.0,0.0,0.0
