time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738837617391834259,0.00913,-0.044,0.9717,0.01359,0.01425,0.000758,-0.004894,-0.004177,0.0343,-0.007156,-0.053,0.996,0.007812,0.01172,-0.0,-0.004997,-0.003963,0.03772,0,0,0,0,0,0,0
1738837617441892385,0.00978,-0.04327,0.972,0.01339,0.01645,2.8e-05,-0.004898,-0.00427,0.03436,-0.007156,-0.053,1.0,0.007812,0.01563,-0.0,-0.004997,-0.003963,0.03772,0,0,0,0,0,0,0
1738837617491834640,0.010475,-0.04236,0.9717,0.01314,0.01881,-0.000109,-0.004925,-0.004288,0.0344,-0.007156,-0.053,0.996,0.007812,0.01563,-0.0,-0.005,-0.004135,0.0378,0,0,0,0,0,0,0
1738837617541855335,0.0111,-0.0414,0.972,0.01295,0.02097,0.000474,-0.00491,-0.00413,0.03442,-0.007156,-0.053,0.996,0.007812,0.01953,-0.0,-0.005,-0.004135,0.0378,0,0,0,0,0,0,0
1738837617591825723,0.011765,-0.04025,0.972,0.01281,0.02328,0.000833,-0.004898,-0.004066,0.0345,-0.007156,-0.053,0.996,0.007812,0.01953,-0.0,-0.004997,-0.003963,0.0378,0,0,0,0,0,0,0
1738837617641850471,0.01238,-0.0391,0.972,0.01269,0.02539,0.000439,-0.00489,-0.004124,0.0345,-0.007156,-0.053,0.996,0.007812,0.02344,-0.0,-0.004997,-0.003963,0.0379,0,0,0,0,0,0,0
1738837617691847085,0.01303,-0.03772,0.972,0.012505,0.02763,0.000176,-0.0049,-0.0042,0.03455,-0.007156,-0.053,0.996,0.003906,0.02344,-0.0,-0.004997,-0.003963,0.0378,0,0,0,0,0,0,0
1738837617741886377,0.01363,-0.03632,0.972,0.012344,0.02966,0.000334,-0.00475,-0.004112,0.03458,-0.007156,-0.053,0.996,0.003906,0.02734,-0.0,-0.005085,-0.004047,0.0379,0,0,0,0,0,0,0
1738837617791890621,0.01427,-0.03473,0.972,0.01222,0.03143,-0.00025,-0.003378,-0.00413,0.03464,-0.007156,-0.02649,1.0,0.003906,0.02734,-0.0,-0.004562,-0.003885,0.0379,0,0,0,0,0,0,0
1738837617841896533,0.014854,-0.0332,0.972,0.01209,0.03247,-0.000786,-0.002235,-0.00418,0.03467,-0.007156,-0.02649,1.0,0.003906,0.03125,-0.0,-0.0037,-0.0039,0.0379,0,0,0,0,0,0,0
