time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760009260349776744,152.6,0.1074,7.11,1.997,-0.01317,-0.0003,0.000732,0.0488,0.03113,152.1,0.1084,7.098,1.992,-0.01172,-0.0,0.0006065,0.0475,0.03284,152.6,0.0,7.0,2.0,0.0,0.0,0.0
1760009260399770975,152.8,0.10675,7.11,1.998,-0.01247,-0.000344,0.000455,0.04904,0.03128,152.2,0.1084,7.098,1.992,-0.01172,-0.0,0.0001936,0.04773,0.03342,152.8,0.0,7.0,2.0,0.0,0.0,0.0
1760009260449774265,152.9,0.10614,7.11,2.0,-0.01166,-0.000842,0.000301,0.0491,0.03134,152.4,0.08185,7.098,1.992,-0.007812,-0.0,0.0001148,0.04782,0.0337,152.8,0.0,7.0,2.0,0.0,0.0,0.0
1760009260499767065,152.9,0.1056,7.11,2.002,-0.010864,-0.001212,0.000218,0.04913,0.0314,152.5,0.08185,7.098,1.996,-0.007812,-0.0,-0.0001346,0.0479,0.03403,153.0,0.0,7.0,2.0,0.0,0.0,0.0
1760009260549728870,153.0,0.10504,7.11,2.002,-0.00999,-0.001538,0.000181,0.0492,0.0314,152.6,0.0819,7.098,1.996,-0.007812,-0.0,-0.0001284,0.0479,0.03427,153.0,0.0,7.0,2.0,0.0,0.0,0.0
1760009260599780797,153.1,0.1046,7.11,2.004,-0.00917,-0.001702,0.000167,0.0493,0.03137,152.8,0.0819,7.098,1.996,-0.007812,-0.0,-0.0001192,0.0481,0.03455,153.2,0.0,7.0,2.0,0.0,0.0,0.0
1760009260649779081,153.2,0.1042,7.11,2.006,-0.00835,-0.001783,0.000137,0.04932,0.0313,152.8,0.0819,7.098,2.0,-0.003906,-0.0,-0.00011706,0.0481,0.03464,153.2,0.0,7.0,2.0,0.0,0.0,0.0
1760009260699779987,153.4,0.10376,7.11,2.006,-0.007473,-0.001258,0.000141,0.04938,0.03122,152.9,0.0819,7.098,2.0,-0.003906,-0.0,-0.0001978,0.0482,0.0348,153.4,0.0,7.0,2.0,0.0,0.0,0.0
1760009260749758005,153.4,0.1034,7.11,2.008,-0.006603,-0.001009,0.000152,0.0494,0.0311,153.0,0.0819,7.098,2.0,-0.003906,-0.0,-0.0001936,0.0482,0.03497,153.4,0.0,7.0,2.0,0.0,0.0,0.0
1760009260799816846,153.5,0.1031,7.11,2.01,-0.00583,-0.00091,0.000171,0.04922,0.03099,153.1,0.0819,7.098,2.004,-0.003906,-0.0,-0.00010675,0.0481,0.03506,153.6,0.0,7.0,2.0,0.0,0.0,0.0
1760009260849806308,153.6,0.10284,7.11,2.01,-0.005077,-0.000874,0.000175,0.04803,0.03085,153.1,0.0819,7.098,2.004,-0.003906,-0.0,-0.0002016,0.0475,0.03513,153.6,0.0,7.0,2.0,0.0,0.0,0.0
1760009260899786710,153.8,0.1026,7.11,2.01,-0.004303,-0.000445,0.000164,0.04672,0.03073,153.2,0.0819,7.098,2.004,0.0,-0.0,-0.000157,0.0457,0.0347,153.8,0.0,7.0,2.0,0.0,0.0,0.0
1760009260949801445,153.9,0.1024,7.11,2.01,-0.003548,-0.000179,0.000153,0.04578,0.03061,153.4,0.0819,7.098,2.004,0.0,-0.0,-0.0001779,0.0448,0.03445,153.8,0.0,7.0,2.0,0.0,0.0,0.0
1760009261000195741,153.9,0.10223,7.11,2.01,-0.002924,-0.000219,0.000121,0.04507,0.03053,153.5,0.0819,7.098,2.004,0.0,-0.0,-0.0002003,0.04395,0.0341,154.0,0.0,7.0,2.0,0.0,0.0,0.0
1760009261049746274,154.0,0.1021,7.11,2.008,-0.00219,-8.1e-05,0.000111,0.04462,0.03049,153.6,0.0819,7.098,2.004,0.0,-0.0,-0.000208,0.0436,0.03403,154.0,0.0,7.0,2.0,0.0,0.0,0.0
