time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762354003688045978,76.0,-0.04025,6.97,2.996,0.001875,-1.6e-05,0.003887,0.0774,0.02774,75.25,-0.05264,7.0,3.0,0.0,-0.0,0.005634,0.0766,0.03433,75.6,0.0,7.0,3.0,0.0,0.0,0.0
1762354003738079547,76.2,-0.0402,6.97,2.994,0.000816,0.000521,0.004272,0.0783,0.02776,75.44,-0.05264,6.996,2.996,0.0,-0.0,0.006313,0.07623,0.03418,75.9,0.0,7.0,3.0,0.0,0.0,0.0
1762354003788068056,76.3,-0.0402,6.97,2.996,-0.000275,0.000731,0.004498,0.07916,0.02774,75.56,-0.05264,6.996,2.996,0.0,-0.0,0.006584,0.07684,0.0342,75.9,0.0,7.0,3.0,0.0,0.0,0.0
1762354003838083028,76.44,-0.04022,6.97,2.996,-0.001536,0.000818,0.004635,0.0798,0.02773,75.75,-0.05264,6.996,2.996,0.0,-0.0,0.006863,0.07794,0.03412,76.2,0.0,7.0,3.0,0.0,0.0,0.0
1762354003888076066,76.6,-0.04034,6.97,2.996,-0.002821,0.001021,0.004726,0.0802,0.02774,75.9,-0.05264,6.996,3.0,0.0,-0.0,0.007042,0.0785,0.03415,76.2,0.0,7.0,3.0,0.0,0.0,0.0
1762354003938052177,76.75,-0.0405,6.97,2.998,-0.004032,0.00095,0.004776,0.08044,0.02774,76.06,-0.05264,6.996,3.0,-0.003906,-0.0,0.007133,0.07904,0.03397,76.5,0.0,7.0,3.0,0.0,0.0,0.0
1762354003988037824,76.9,-0.04074,6.97,2.998,-0.00524,0.000761,0.004826,0.08057,0.02779,76.1,-0.05264,6.996,3.0,-0.003906,-0.0,0.007137,0.0792,0.03397,76.5,0.0,7.0,3.0,0.0,0.0,0.0
1762354004038057565,77.06,-0.04105,6.97,3.0,-0.006557,0.000645,0.00483,0.0807,0.02782,76.3,-0.0526,6.996,3.0,-0.003906,-0.0,0.007217,0.07935,0.0338,76.8,0.0,7.0,3.0,0.0,0.0,0.0
1762354004088107347,77.2,-0.0414,6.97,3.002,-0.00785,0.000915,0.00482,0.0808,0.02785,76.44,-0.0526,6.996,3.0,-0.007812,-0.0,0.007305,0.0794,0.0338,76.8,0.0,7.0,3.0,0.0,0.0,0.0
1762354004138125896,77.4,-0.0418,6.97,3.002,-0.00902,0.000924,0.0048,0.0809,0.02788,76.7,-0.0526,6.996,3.004,-0.007812,-0.0,0.007305,0.0796,0.03372,77.1,0.0,7.0,3.0,0.0,0.0,0.0
1762354004188107490,77.5,-0.04227,6.97,3.004,-0.01017,0.000656,0.004833,0.0809,0.02797,76.75,-0.0526,6.996,3.004,-0.007812,-0.0,0.00713,0.0796,0.03363,77.1,0.0,7.0,3.0,0.0,0.0,0.0
1762354004238113164,77.7,-0.04285,6.97,3.004,-0.01141,0.000349,0.00483,0.0809,0.02802,76.94,-0.0526,6.996,3.004,-0.01172,-0.0,0.0073,0.0796,0.03363,77.4,0.0,7.0,3.0,0.0,0.0,0.0
1762354004288055658,77.8,-0.04346,6.97,3.006,-0.01259,8.7e-05,0.004547,0.0809,0.02809,77.06,-0.0526,7.0,3.008,-0.01172,-0.0,0.0073,0.0796,0.03363,77.4,0.0,7.0,3.0,0.0,0.0,0.0
1762354004338074445,77.94,-0.0441,6.97,3.006,-0.01326,-4.8e-05,0.003244,0.08093,0.02817,77.25,-0.0526,7.0,3.008,-0.01172,-0.0,0.006866,0.07965,0.03354,77.7,0.0,7.0,3.0,0.0,0.0,0.0
1762354004388032674,78.1,-0.04474,6.97,3.008,-0.01336,-0.00026,0.002108,0.08093,0.02826,77.3,-0.0526,7.0,3.008,-0.01172,-0.0,0.006004,0.0797,0.0336,77.7,0.0,7.0,3.0,0.0,0.0,0.0
1762354004438043832,78.25,-0.0454,6.97,3.008,-0.01293,-0.000397,0.001192,0.08093,0.02835,77.56,-0.0526,7.0,3.008,-0.01172,-0.0,0.00436,0.07965,0.0335,78.0,0.0,7.0,3.0,0.0,0.0,0.0
1762354004488028526,78.44,-0.04608,6.97,3.01,-0.012115,-0.000638,0.000577,0.08093,0.02844,77.7,-0.0526,7.0,3.008,-0.01172,-0.0,0.003668,0.07965,0.0335,78.0,0.0,7.0,3.0,0.0,0.0,0.0
1762354004538038969,78.56,-0.04663,6.97,3.01,-0.01115,-0.000986,0.000214,0.08093,0.02853,77.9,-0.0526,7.0,3.012,-0.01172,-0.0,0.002975,0.07965,0.03348,78.3,0.0,7.0,3.0,0.0,0.0,0.0
1762354004588057041,78.7,-0.04712,6.97,3.012,-0.01005,-0.001418,-1.7e-05,0.08075,0.02861,77.94,-0.0526,7.0,3.012,-0.01172,-0.0,0.002628,0.07965,0.03345,78.3,0.0,7.0,3.0,0.0,0.0,0.0
1762354004638046741,78.9,-0.04764,6.97,3.012,-0.00877,-0.001265,-0.000141,0.07935,0.02872,78.1,-0.0526,7.0,3.012,-0.007812,-0.0,0.002363,0.0792,0.03345,78.6,0.0,7.0,3.0,0.0,0.0,0.0
1762354004688031196,79.0,-0.048,6.97,3.012,-0.007587,-0.000623,-0.000227,0.0784,0.0288,78.25,-0.0526,7.0,3.012,-0.007812,-0.0,0.002264,0.0783,0.0335,78.6,0.0,7.0,3.0,0.0,0.0,0.0
1762354004738043546,79.2,-0.04837,6.97,3.012,-0.006287,-0.000365,-0.000263,0.0789,0.0289,78.44,-0.05258,7.0,3.012,-0.007812,-0.0,0.002157,0.07715,0.0335,78.9,0.0,7.0,3.0,0.0,0.0,0.0
1762354004788028478,79.3,-0.04865,6.97,3.012,-0.005074,-0.000227,-0.000267,0.07947,0.02899,78.56,-0.05258,6.996,3.012,-0.003906,-0.0,0.002167,0.0775,0.0336,78.9,0.0,7.0,3.0,0.0,0.0,0.0
1762354004838042020,79.44,-0.0489,6.97,3.012,-0.003761,-0.000104,-0.000282,0.07996,0.02905,78.75,-0.05258,6.996,3.012,-0.003906,-0.0,0.002182,0.0782,0.0337,79.2,0.0,7.0,3.0,0.0,0.0,0.0
1762354004888036251,79.6,-0.04904,6.97,3.012,-0.00256,-0.000375,-0.000255,0.0801,0.02913,78.9,-0.05258,7.0,3.012,-0.003906,-0.0,0.0021,0.0786,0.0336,79.2,0.0,7.0,3.0,0.0,0.0,0.0
1762354004938394546,79.75,-0.04913,6.97,3.014,-0.001289,-0.000643,-0.000247,0.0789,0.0292,79.06,-0.05258,7.0,3.016,0.0,-0.0,0.0021,0.0786,0.0336,79.5,0.0,7.0,3.0,0.0,0.0,0.0
1762354004988074064,79.94,-0.04916,6.97,3.012,-0.00019,-0.000914,-4.9e-05,0.0779,0.02927,79.2,-0.05258,7.0,3.012,0.0,-0.0,0.002176,0.0779,0.0337,79.5,0.0,7.0,3.0,0.0,0.0,0.0
1762354005038078069,80.06,-0.04913,6.97,3.012,0.000583,-0.000808,0.001344,0.0771,0.02934,79.4,-0.05258,7.0,3.012,0.0,-0.0,0.002584,0.07635,0.0337,79.8,0.0,7.0,3.0,0.0,0.0,0.0
1762354005088064193,80.2,-0.0491,6.97,3.012,0.000669,-0.00064,0.002506,0.07666,0.02939,79.44,-0.05258,7.0,3.012,0.0,-0.0,0.00353,0.0759,0.0338,79.8,0.0,7.0,3.0,0.0,0.0,0.0
1762354005138294219,80.4,-0.0491,6.97,3.01,0.000224,-0.000526,0.003433,0.0763,0.02943,79.6,-0.05258,7.0,3.012,0.0,-0.0,0.005077,0.0752,0.03387,80.1,0.0,7.0,3.0,0.0,0.0,0.0
1762354005188066720,80.5,-0.0491,6.97,3.008,-0.00054,-0.000172,0.004032,0.0761,0.02946,79.75,-0.05258,7.0,3.012,0.0,-0.0,0.005676,0.07495,0.0339,80.1,0.0,7.0,3.0,0.0,0.0,0.0
1762354005238090515,80.7,-0.04916,6.97,3.008,-0.001622,0.000214,0.004444,0.076,0.02951,79.94,-0.05258,6.996,3.008,0.0,-0.0,0.006462,0.0748,0.03412,80.4,0.0,7.0,3.0,0.0,0.0,0.0
