time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760001138098001718,238.2,0.1,6.98,3.0,0.00822,-0.000132,-0.006237,0.08044,-0.1257,237.6,0.08453,6.996,2.996,0.007812,-0.0,-0.006,0.0804,-0.03748,241.5,0.0,7.0,3.0,0.0,0.0,0.0
1760001138147965431,238.4,0.10034,6.98,3.002,0.006763,-0.000141,-0.00624,0.08014,-0.1259,237.8,0.08453,6.996,2.996,0.003906,-0.0,-0.006,0.0804,-0.03748,241.8,0.0,7.0,3.0,0.0,0.0,0.0
1760001138197986364,238.6,0.10065,6.98,3.002,0.00526,-0.000206,-0.00624,0.07874,-0.1259,237.9,0.08453,6.996,3.0,0.003906,-0.0,-0.005974,0.079,-0.03748,241.8,0.0,7.0,3.0,0.0,0.0,0.0
1760001138247992753,238.8,0.1009,6.98,3.002,0.00398,-0.000222,-0.006264,0.0776,-0.126,238.0,0.0846,6.996,3.0,0.003906,-0.0,-0.00605,0.0782,-0.03757,242.1,0.0,7.0,3.0,0.0,0.0,0.0
1760001138297995328,238.9,0.1011,6.98,3.002,0.00268,-0.000242,-0.00628,0.07666,-0.126,238.2,0.0846,6.996,3.0,0.0,-0.0,-0.0061,0.0767,-0.03738,242.1,0.0,7.0,3.0,0.0,0.0,0.0
1760001138347968578,239.0,0.10114,6.98,3.002,0.001528,-0.000293,-0.006264,0.0762,-0.1261,238.4,0.0846,6.996,2.996,0.0,-0.0,-0.00601,0.0763,-0.03738,242.4,0.0,7.0,3.0,0.0,0.0,0.0
1760001138397987365,239.1,0.1012,6.98,3.0,0.000318,-0.000501,-0.00624,0.07574,-0.1262,238.5,0.0846,6.996,2.996,0.0,-0.0,-0.006012,0.0758,-0.0378,242.4,0.0,7.0,3.0,0.0,0.0,0.0
1760001138447964906,239.4,0.1012,6.98,2.998,-0.000881,-0.000735,-0.006237,0.0755,-0.1262,238.6,0.0846,6.996,2.996,0.0,-0.0,-0.00602,0.0756,-0.03806,242.8,0.0,7.0,3.0,0.0,0.0,0.0
1760001138497995853,239.5,0.10114,6.98,2.998,-0.002048,-0.00057,-0.006245,0.07544,-0.1262,238.9,0.0846,6.996,2.996,0.0,-0.0,-0.006027,0.07526,-0.03848,242.8,0.0,7.0,3.0,0.0,0.0,0.0
1760001138547971487,239.6,0.101,6.98,2.996,-0.003101,-0.000327,-0.006275,0.07574,-0.1261,239.0,0.0846,6.996,2.992,0.0,-0.0,-0.006035,0.07526,-0.03867,243.0,0.0,7.0,3.0,0.0,0.0,0.0
1760001138597977161,239.8,0.1008,6.98,2.996,-0.004097,-0.000342,-0.006283,0.07697,-0.1261,239.1,0.0846,6.996,2.992,-0.003906,-0.0,-0.006065,0.07666,-0.03876,243.0,0.0,7.0,3.0,0.0,0.0,0.0
1760001138647881507,239.9,0.1006,6.98,2.996,-0.00533,-0.000253,-0.006294,0.0782,-0.126,239.2,0.0846,6.996,2.992,-0.003906,-0.0,-0.00599,0.07745,-0.03857,243.2,0.0,7.0,3.0,0.0,0.0,0.0
1760001138697919607,240.1,0.1003,6.98,2.996,-0.006603,-0.000249,-0.006294,0.07904,-0.126,239.4,0.08466,6.996,2.992,-0.003906,-0.0,-0.00609,0.07874,-0.03833,243.2,0.0,7.0,3.0,0.0,0.0,0.0
