time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760109426670987844,0.1481,0.0671,6.246,1.045,-0.1004,0.4517,0.002527,-0.00268,-0.002136,0.1321,0.053,6.29,1.035,-0.0586,0.4297,0.002178,-0.003836,0.03436,0.9966,0.0,6.918,0.08307,0.0,0.9966,0.0
1760109426720971107,0.2021,0.06186,6.27,1.032,-0.1003,0.4812,0.001583,-0.00764,-0.002192,0.1495,0.053,6.293,1.031,-0.0586,0.4531,0.0016165,-0.006416,0.03436,1.0,0.0,7.0,-0.0,0.0,1.0,0.0
1760109426771172761,0.2515,0.05707,6.293,1.019,-0.09973,0.5054,0.000986,-0.01335,-0.002245,0.2369,0.053,6.33,1.012,-0.0586,0.4922,0.0004597,-0.01347,0.03427,1.0,0.0,7.0,-0.0,0.0,1.0,0.0
1760109426821130990,0.304,0.05188,6.32,0.9995,-0.0989,0.521,0.000619,-0.02045,-0.002312,0.2896,0.02649,6.363,0.992,-0.0586,0.5195,-3.344e-05,-0.0221,0.03427,0.995,0.0,7.1,-0.09985,0.0,0.995,0.0
1760109426871088743,0.3513,0.04715,6.348,0.979,-0.098,0.556,0.000405,-0.02504,-0.002386,0.3418,0.02649,6.383,0.9766,-0.0586,0.535,-0.0003726,-0.02684,0.03418,0.995,0.0,7.1,-0.09985,0.0,0.995,0.0
1760109426921067714,0.4016,0.04208,6.375,0.9556,-0.097,0.5977,0.000408,-0.02724,-0.002441,0.3594,0.02649,6.39,0.965,-0.0586,0.5586,-0.0003963,-0.02823,0.03418,0.98,0.0,7.2,-0.1986,0.0,0.98,0.0
1760109426971081495,0.447,0.03748,6.406,0.9326,-0.096,0.6377,0.000345,-0.0317,-0.002481,0.4294,0.02649,6.434,0.9336,-0.0586,0.6133,-0.0004745,-0.03253,0.03445,0.98,0.0,7.2,-0.1986,0.0,0.98,0.0
1760109427021093368,0.4946,0.0325,6.44,0.906,-0.0949,0.668,0.000319,-0.03613,-0.002542,0.4817,0.02649,6.473,0.9062,-0.0586,0.66,-0.000471,-0.03763,0.0342,0.9556,0.0,7.297,-0.2954,0.0,0.9556,0.0
1760109427071073770,0.5376,0.02797,6.473,0.8784,-0.09393,0.692,0.00025,-0.0413,-0.002617,0.5166,0.02649,6.5,0.879,-0.0586,0.6836,-0.0004642,-0.0424,0.03412,0.9556,0.0,7.297,-0.2954,0.0,0.9556,0.0
1760109427121113777,0.5825,0.02312,6.508,0.8477,-0.09283,0.7085,0.000222,-0.0458,-0.002684,0.5693,0.02649,6.53,0.8438,-0.0586,0.707,-0.0005627,-0.0479,0.0343,0.921,0.0,7.39,-0.3894,0.0,0.921,0.0
1760109427171079397,0.6226,0.01868,6.543,0.8164,-0.0918,0.7383,0.00024,-0.04977,-0.002735,0.604,0.02649,6.56,0.824,-0.0586,0.7188,-0.0006056,-0.05066,0.03412,0.921,0.0,7.39,-0.3894,0.0,0.921,0.0
1760109427221023082,0.6606,0.0143,6.582,0.7837,-0.0908,0.7627,0.000295,-0.05515,-0.002804,0.6567,0.02649,6.6,0.7812,-0.0586,0.758,-0.0004485,-0.05664,0.03412,0.8774,0.0,7.48,-0.4795,0.0,0.8774,0.0
1760109427270972728,0.7007,0.009605,6.62,0.745,-0.0897,0.7866,0.000245,-0.06155,-0.002855,0.692,-3.135e-05,6.637,0.75,-0.0586,0.7773,-0.000549,-0.0625,0.03412,0.8774,0.0,7.48,-0.4795,0.0,0.8774,0.0
1760109427320970773,0.7354,0.005325,6.66,0.7085,-0.08875,0.8013,0.00023,-0.0655,-0.002876,0.709,-3.135e-05,6.65,0.7344,-0.0586,0.789,-0.0005054,-0.065,0.03415,0.825,0.0,7.566,-0.5645,0.0,0.825,0.0
1760109427370977878,0.771,0.000741,6.7,0.666,-0.0876,0.821,0.000189,-0.0691,-0.002937,0.7617,-3.13e-05,6.703,0.6797,-0.0586,0.8125,-0.000594,-0.07056,0.03397,0.825,0.0,7.566,-0.5645,0.0,0.825,0.0
1760109427420988321,0.8022,-0.00344,6.742,0.627,-0.0866,0.8335,0.000196,-0.0716,-0.002953,0.7964,-3.123e-05,6.754,0.629,-0.0586,0.832,-0.0006533,-0.0738,0.03406,0.7646,0.0,7.645,-0.644,0.0,0.7646,0.0
1760109427471002817,0.8335,-0.00791,6.785,0.5835,-0.0854,0.84,-0.000255,-0.07556,-0.002995,0.8315,-3.123e-05,6.793,0.5938,-0.0586,0.84,-0.0007067,-0.0768,0.03415,0.7646,0.0,7.645,-0.644,0.0,0.7646,0.0
1760109427520997047,0.8604,-0.01198,6.824,0.542,-0.08386,0.8438,-0.001624,-0.0801,-0.003035,0.8315,-3.123e-05,6.8,0.574,-0.0625,0.8438,-0.001267,-0.079,0.03427,0.697,0.0,7.72,-0.7173,0.0,0.697,0.0
1760109427570977210,0.8877,-0.01628,6.867,0.4956,-0.0815,0.846,-0.002808,-0.0837,-0.003056,0.884,-3.12e-05,6.863,0.5117,-0.0625,0.8477,-0.003178,-0.0849,0.0341,0.697,0.0,7.72,-0.7173,0.0,0.697,0.0
1760109427620973348,0.91,-0.02013,6.91,0.4514,-0.0789,0.848,-0.003588,-0.08685,-0.003107,0.919,-3.12e-05,6.918,0.457,-0.0625,0.8516,-0.004284,-0.08923,0.03397,0.6216,0.0,7.785,-0.783,0.0,0.6216,0.0
1760109427670975923,0.9326,-0.02415,6.953,0.4028,-0.07574,0.849,-0.00416,-0.08997,-0.00314,0.9365,-0.02655,6.953,0.418,-0.0586,0.8516,-0.004757,-0.0914,0.0341,0.6216,0.0,7.785,-0.783,0.0,0.6216,0.0
