time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1762356046074437141,2.281,-0.2532,6.477,0.691,-0.0809,2.215,-0.010475,-0.1971,-0.05023,2.334,-0.05307,6.414,0.8516,-0.03516,2.164,-0.01134,-0.1982,0.03375,1.993,0.0,6.832,0.1661,0.0,1.993,0.0
1762356046124464988,2.312,-0.257,6.598,0.5654,-0.06824,2.307,-0.007084,-0.1858,-0.05035,2.387,-0.05307,6.555,0.6914,-0.02734,2.242,-0.00929,-0.1917,0.0335,2.0,0.0,7.0,-0.0,0.0,2.0,0.0
1762356046174440860,2.34,-0.2605,6.715,0.4724,-0.06027,2.23,-0.00472,-0.2067,-0.05035,2.404,-0.05307,6.625,0.621,-0.02344,2.3,-0.007263,-0.1849,0.03345,2.0,0.0,7.0,-0.0,0.0,2.0,0.0
1762356046224445104,2.36,-0.2632,6.82,0.372,-0.05295,2.172,-0.003487,-0.2277,-0.05023,2.44,-0.05307,6.746,0.504,-0.02344,2.219,-0.004612,-0.2129,0.0334,1.99,0.0,7.2,-0.1997,0.0,1.99,0.0
1762356046274409294,2.377,-0.2656,6.934,0.2551,-0.04517,2.133,-0.002182,-0.2279,-0.05023,2.475,-0.05307,6.832,0.4219,-0.02344,2.172,-0.003561,-0.227,0.0335,1.99,0.0,7.2,-0.1997,0.0,1.99,0.0
1762356046324443101,2.387,-0.2678,7.035,0.1384,-0.03818,2.15,-0.000532,-0.2227,-0.05017,2.492,-0.05307,6.973,0.2734,-0.02344,2.129,-0.001966,-0.2253,0.0335,1.96,0.0,7.4,-0.3972,0.0,1.96,0.0
1762356046374422550,2.39,-0.2695,7.15,0.02005,-0.0321,2.152,0.001686,-0.2198,-0.05017,2.492,-0.05307,7.04,0.1992,-0.02344,2.145,-0.0007706,-0.2218,0.03345,1.96,0.0,7.4,-0.3972,0.0,1.96,0.0
1762356046424442291,2.389,-0.271,7.25,-0.0877,-0.02748,2.15,0.002989,-0.2225,-0.05017,2.492,-0.0796,7.15,0.04688,-0.02734,2.148,0.001879,-0.2194,0.03342,1.911,0.0,7.59,-0.591,0.0,1.911,0.0
1762356046474405050,2.38,-0.2722,7.35,-0.1945,-0.02344,2.145,0.00391,-0.2238,-0.0501,2.492,-0.05307,7.234,-0.03906,-0.02734,2.148,0.0028,-0.2216,0.0334,1.911,0.0,7.59,-0.591,0.0,1.911,0.0
1762356046524443387,2.367,-0.2732,7.465,-0.3083,-0.01953,2.13,0.004536,-0.2238,-0.05008,2.492,-0.05307,7.375,-0.1797,-0.03125,2.137,0.003902,-0.2229,0.03345,1.842,0.0,7.777,-0.779,0.0,1.842,0.0
1762356046574410200,2.352,-0.2742,7.566,-0.413,-0.01622,2.127,0.004936,-0.2236,-0.05005,2.475,-0.05307,7.44,-0.2461,-0.03516,2.133,0.004257,-0.2228,0.0334,1.842,0.0,7.777,-0.779,0.0,1.842,0.0
1762356046624450922,2.326,-0.275,7.676,-0.529,-0.01271,2.127,0.00529,-0.2316,-0.05002,2.44,-0.0796,7.555,-0.3945,-0.03906,2.125,0.004734,-0.2247,0.0335,1.755,0.0,7.957,-0.959,0.0,1.755,0.0
1762356046674409866,2.295,-0.2754,7.79,-0.6475,-0.00917,2.125,0.005417,-0.2386,-0.05,2.422,-0.0796,7.637,-0.4883,-0.04297,2.125,0.004986,-0.2313,0.0334,1.755,0.0,7.957,-0.959,0.0,1.755,0.0
1762356046724438190,2.262,-0.276,7.89,-0.757,-0.005886,2.113,0.005493,-0.2457,-0.04996,2.387,-0.0796,7.777,-0.6367,-0.05078,2.121,0.005104,-0.2401,0.0334,1.65,0.0,8.13,-1.129,0.0,1.65,0.0
1762356046774419307,2.215,-0.2761,8.01,-0.8887,-0.001829,2.105,0.00533,-0.251,-0.04993,2.37,-0.0796,7.84,-0.707,-0.0547,2.113,0.005116,-0.2446,0.0334,1.65,0.0,8.13,-1.129,0.0,1.65,0.0
1762356046824481248,2.174,-0.2761,8.1,-0.992,0.001645,2.102,0.004234,-0.2496,-0.04987,2.316,-0.0796,7.953,-0.8555,-0.0625,2.105,0.004784,-0.25,0.03323,1.529,0.0,8.29,-1.288,0.0,1.529,0.0
1762356046874472141,2.12,-0.276,8.21,-1.106,0.006096,2.07,0.003033,-0.2527,-0.04977,2.283,-0.0796,8.04,-0.949,-0.0664,2.102,0.00378,-0.2485,0.0331,1.529,0.0,8.29,-1.288,0.0,1.529,0.0
1762356046924469947,2.064,-0.2754,8.305,-1.216,0.01085,2.05,0.002182,-0.2568,-0.0497,2.23,-0.1061,8.17,-1.086,-0.0742,2.062,0.002388,-0.254,0.0331,1.394,0.0,8.44,-1.435,0.0,1.394,0.0
1762356046974461078,2.004,-0.275,8.41,-1.314,0.01552,1.992,0.001524,-0.2546,-0.04962,2.195,-0.1061,8.234,-1.156,-0.0742,2.055,0.001837,-0.2559,0.0331,1.394,0.0,8.44,-1.435,0.0,1.394,0.0
1762356047024468898,1.932,-0.274,8.51,-1.421,0.02084,1.946,0.001046,-0.2467,-0.0496,2.107,-0.1061,8.34,-1.289,-0.08203,1.98,0.001003,-0.2522,0.0333,1.243,0.0,8.57,-1.566,0.0,1.243,0.0
1762356047074465751,1.861,-0.2727,8.6,-1.504,0.02527,1.861,0.000111,-0.2389,-0.04953,2.055,-0.1061,8.42,-1.371,-0.08203,1.949,0.0006056,-0.245,0.03323,1.243,0.0,8.57,-1.566,0.0,1.243,0.0
1762356047124512910,1.781,-0.2712,8.695,-1.594,0.03073,1.788,-0.001525,-0.2334,-0.04944,1.968,-0.1061,8.55,-1.484,-0.08594,1.836,-0.001005,-0.2366,0.03333,1.081,0.0,8.68,-1.683,0.0,1.081,0.0
1762356047174417257,1.703,-0.2698,8.77,-1.663,0.03568,1.682,-0.003284,-0.2257,-0.04938,1.915,-0.1326,8.6,-1.539,-0.08984,1.797,-0.0018,-0.2327,0.03323,1.081,0.0,8.68,-1.683,0.0,1.081,0.0
1762356047224449872,1.614,-0.2676,8.86,-1.739,0.042,1.582,-0.005627,-0.2238,-0.0493,1.811,-0.1326,8.695,-1.637,-0.08984,1.66,-0.004368,-0.2246,0.03333,0.907,0.0,8.78,-1.782,0.0,0.907,0.0
1762356047274410724,1.521,-0.2654,8.945,-1.823,0.04987,1.542,-0.007008,-0.2112,-0.04926,1.74,-0.1326,8.76,-1.699,-0.09375,1.586,-0.006077,-0.2223,0.03342,0.907,0.0,8.78,-1.782,0.0,0.907,0.0
1762356047324458837,1.44,-0.263,9.01,-1.879,0.0558,1.46,-0.007774,-0.2043,-0.04922,1.6875,-0.1326,8.8,-1.742,-0.09375,1.559,-0.006756,-0.2167,0.0334,0.7246,0.0,8.87,-1.864,0.0,0.7246,0.0
1762356047374404668,1.341,-0.26,9.08,-1.922,0.06137,1.26,-0.010376,-0.2139,-0.04907,1.565,-0.1592,8.9,-1.844,-0.09375,1.473,-0.00809,-0.2036,0.0333,0.7246,0.0,8.87,-1.864,0.0,0.7246,0.0
1762356047424448966,1.24,-0.2566,9.14,-1.9795,0.06934,1.112,-0.014,-0.2175,-0.0489,1.443,-0.1592,8.984,-1.902,-0.08984,1.211,-0.01224,-0.2174,0.0334,0.535,0.0,8.93,-1.927,0.0,0.535,0.0
1762356047474393844,1.144,-0.253,9.19,-2.037,0.0784,1.018,-0.016,-0.2029,-0.04898,1.373,-0.1592,9.02,-1.941,-0.08984,1.121,-0.01437,-0.2161,0.03326,0.535,0.0,8.93,-1.927,0.0,0.535,0.0
1762356047524475336,1.036,-0.2485,9.24,-2.1,0.0898,0.965,-0.01738,-0.1848,-0.04904,1.233,-0.1857,9.09,-2.027,-0.08594,0.992,-0.01692,-0.1931,0.0332,0.3398,0.0,8.97,-1.971,0.0,0.3398,0.0
1762356047574476718,0.9336,-0.244,9.29,-2.14,0.0988,0.858,-0.01906,-0.175,-0.049,1.181,-0.1857,9.12,-2.059,-0.08203,0.9727,-0.01746,-0.1844,0.03308,0.3398,0.0,8.97,-1.971,0.0,0.3398,0.0
1762356047624459981,0.822,-0.2386,9.33,-2.17,0.107,0.662,-0.02165,-0.182,-0.04858,1.059,-0.1857,9.17,-2.105,-0.0781,0.828,-0.01997,-0.1749,0.0331,0.1415,0.0,8.99,-1.995,0.0,0.1415,0.0
1762356047674455642,0.717,-0.2333,9.35,-2.205,0.1167,0.533,-0.0233,-0.1802,-0.04843,0.9883,-0.1857,9.2,-2.125,-0.0742,0.676,-0.02193,-0.1814,0.0334,0.1415,0.0,8.99,-1.995,0.0,0.1415,0.0
1762356047724477529,0.61,-0.2274,9.375,-2.25,0.1287,0.4712,-0.02402,-0.1654,-0.04855,0.848,-0.2122,9.24,-2.176,-0.0664,0.5117,-0.02379,-0.1735,0.03345,-0.0584,0.0,9.0,-1.999,-0.0,-0.0584,0.0
1762356047774430751,0.492,-0.2205,9.4,-2.281,0.1399,0.3545,-0.02519,-0.1544,-0.0486,0.7783,-0.2122,9.26,-2.2,-0.0586,0.4766,-0.02412,-0.1636,0.03323,-0.0584,0.0,9.0,-1.999,-0.0,-0.0584,0.0
1762356047824442148,0.3728,-0.2129,9.414,-2.303,0.1499,0.1918,-0.02739,-0.1582,-0.04825,0.6387,-0.2122,9.28,-2.238,-0.04688,0.3281,-0.02602,-0.1538,0.03308,-0.2576,0.0,8.984,-1.983,-0.0,-0.2576,0.0
1762356047874399900,0.2617,-0.2054,9.42,-2.328,0.1605,0.0675,-0.02798,-0.1533,-0.04813,0.5684,-0.2122,9.29,-2.254,-0.04297,0.2188,-0.02747,-0.1571,0.03326,-0.2576,0.0,8.984,-1.983,-0.0,-0.2576,0.0
1762356047924432277,0.1398,-0.1968,9.42,-2.36,0.1736,-0.006714,-0.0273,-0.1406,-0.0482,0.3938,-0.2122,9.3,-2.293,-0.03125,0.04297,-0.02782,-0.148,0.03314,-0.4543,0.0,8.945,-1.947,-0.0,-0.4543,0.0
1762356047974389553,0.02602,-0.1882,9.42,-2.377,0.1836,-0.11926,-0.02748,-0.1311,-0.0482,0.3237,-0.2122,9.3,-2.316,-0.02734,0.003906,-0.02742,-0.14,0.03317,-0.4543,0.0,8.945,-1.947,-0.0,-0.4543,0.0
1762356048024437189,-0.0884,-0.1791,9.41,-2.39,0.1932,-0.2458,-0.02867,-0.132,-0.04788,0.1838,-0.2122,9.3,-2.34,-0.01172,-0.1406,-0.02794,-0.13,0.03323,-0.6465,0.0,8.89,-1.893,-0.0,-0.6465,0.0
1762356048074429512,-0.213,-0.1688,9.39,-2.402,0.2035,-0.387,-0.02882,-0.1252,-0.04773,0.0789,-0.2122,9.29,-2.352,-0.007812,-0.2383,-0.02884,-0.1305,0.03363,-0.6465,0.0,8.89,-1.893,-0.0,-0.6465,0.0
1762356048124433994,-0.3384,-0.158,9.37,-2.418,0.2145,-0.4917,-0.028,-0.1171,-0.0477,-0.0785,-0.2122,9.266,-2.367,0.0,-0.414,-0.02861,-0.12177,0.03366,-0.8325,0.0,8.82,-1.818,-0.0,-0.8325,0.0
1762356048174391984,-0.4546,-0.1475,9.34,-2.424,0.2234,-0.61,-0.0273,-0.10425,-0.0477,-0.1484,-0.2122,9.26,-2.379,0.003906,-0.4727,-0.02808,-0.1165,0.03354,-0.8325,0.0,8.82,-1.818,-0.0,-0.8325,0.0
1762356048224452257,-0.5806,-0.1356,9.31,-2.428,0.2329,-0.721,-0.02687,-0.0943,-0.04758,-0.306,-0.2122,9.23,-2.39,0.01953,-0.625,-0.02728,-0.1004,0.0336,-1.01,0.0,8.73,-1.727,-0.0,-1.01,0.0
