time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1760108676416336297,3.324,0.2445,6.773,1.504,-0.2264,2.266,0.02016,-0.3997,0.01484,3.227,0.159,6.766,1.637,-0.207,2.258,0.01955,-0.395,0.0343,2.99,0.0,6.75,0.2493,0.0,2.99,0.0
1760108676466338872,3.39,0.2334,6.883,1.289,-0.2366,2.232,0.01872,-0.4133,0.014694,3.262,0.159,6.82,1.52,-0.2148,2.254,0.01929,-0.401,0.0343,3.0,0.0,7.0,-0.0,0.0,3.0,0.0
1760108676516357183,3.451,0.2208,6.996,1.042,-0.2473,2.225,0.0172,-0.42,0.01463,3.367,0.159,6.95,1.207,-0.2344,2.21,0.01704,-0.4185,0.03406,3.0,0.0,7.0,-0.0,0.0,3.0,0.0
1760108676566369056,3.498,0.2076,7.113,0.789,-0.2578,2.232,0.01627,-0.4177,0.014595,3.402,0.1326,7.027,1.039,-0.2461,2.21,0.01617,-0.4202,0.03424,2.984,0.0,7.3,-0.2996,0.0,2.984,0.0
1760108676616350173,3.531,0.1951,7.22,0.567,-0.2664,2.227,0.015564,-0.418,0.01451,3.455,0.1326,7.17,0.7266,-0.2656,2.223,0.015144,-0.4177,0.0343,2.984,0.0,7.3,-0.2996,0.0,2.984,0.0
1760108676666347026,3.555,0.181,7.336,0.337,-0.2744,2.2,0.01386,-0.4192,0.01431,3.49,0.106,7.316,0.4336,-0.2812,2.195,0.013535,-0.4197,0.03427,2.94,0.0,7.598,-0.596,0.0,2.94,0.0
1760108676716337203,3.564,0.1677,7.44,0.1222,-0.2812,2.188,0.01239,-0.4158,0.01424,3.508,0.106,7.367,0.2852,-0.289,2.184,0.012405,-0.4187,0.03424,2.94,0.0,7.598,-0.596,0.0,2.94,0.0
1760108676766339778,3.566,0.154,7.547,-0.0887,-0.287,2.182,0.01037,-0.4055,0.014114,3.525,0.0795,7.51,0.0,-0.3008,2.176,0.009926,-0.4082,0.03427,2.865,0.0,7.887,-0.8867,0.0,2.865,0.0
1760108676816332340,3.555,0.139,7.66,-0.306,-0.292,2.172,0.00841,-0.395,0.01403,3.525,0.0795,7.586,-0.1484,-0.3086,2.172,0.00845,-0.4001,0.0343,2.865,0.0,7.887,-0.8867,0.0,2.865,0.0
1760108676866345882,3.535,0.1249,7.76,-0.4966,-0.2952,2.158,0.006054,-0.386,0.013916,3.508,0.0795,7.652,-0.2734,-0.3125,2.164,0.007427,-0.3948,0.03418,2.764,0.0,8.17,-1.168,0.0,2.764,0.0
