time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738834021365123271,58.6,0.0881,7.0,2.004,-0.001831,0.000396,0.000802,0.0469,0.003359,58.22,0.05365,6.996,2.004,-0.007812,-0.0,0.002872,0.04623,0.0346,58.6,0.0,7.0,2.0,0.0,0.0,0.0
1738834021415116548,58.72,0.08795,7.0,2.004,-0.002323,-0.000546,0.001795,0.04645,0.003277,58.3,0.05365,7.0,2.004,-0.007812,-0.0,0.003473,0.04596,0.0346,58.6,0.0,7.0,2.0,0.0,0.0,0.0
1738834021465077877,58.8,0.0878,7.0,2.004,-0.003166,-0.000951,0.002447,0.0457,0.003166,58.34,0.05365,7.0,2.004,-0.007812,-0.0,0.003983,0.04544,0.03464,58.8,0.0,7.0,2.0,0.0,0.0,0.0
1738834021515100479,58.9,0.08765,7.0,2.002,-0.004353,-0.000975,0.002901,0.04626,0.00309,58.5,0.05365,6.996,2.004,-0.01172,-0.0,0.00475,0.04517,0.0345,58.8,0.0,7.0,2.0,0.0,0.0,0.0
1738834021565258979,59.03,0.08734,7.0,2.002,-0.005714,-0.000926,0.003202,0.0472,0.00299,58.62,0.05365,6.996,2.004,-0.01172,-0.0,0.00512,0.04654,0.0345,59.0,0.0,7.0,2.0,0.0,0.0,0.0
1738834021615220069,59.12,0.08704,7.0,2.004,-0.007072,-0.000714,0.00338,0.04675,0.002916,58.7,0.05365,6.996,2.004,-0.01172,-0.0,0.005287,0.04617,0.0345,59.0,0.0,7.0,2.0,0.0,0.0,0.0
1738834021665201425,59.22,0.0867,7.0,2.004,-0.00849,-9.8e-05,0.003487,0.04596,0.002829,58.75,0.05365,6.996,2.004,-0.01172,-0.0,0.005363,0.04575,0.0344,59.2,0.0,7.0,2.0,0.0,0.0,0.0
1738834021715129137,59.3,0.0862,7.0,2.002,-0.01004,0.000592,0.003544,0.04645,0.002762,58.88,0.05365,6.996,2.004,-0.01563,-0.0,0.005527,0.0454,0.03433,59.2,0.0,7.0,2.0,0.0,0.0,0.0
1738834021765105009,59.4,0.0857,7.0,2.002,-0.01149,0.000711,0.003586,0.0472,0.002703,59.0,0.05365,6.996,2.004,-0.01563,-0.0,0.005547,0.04645,0.03433,59.4,0.0,7.0,2.0,0.0,0.0,0.0
1738834021815102815,59.5,0.0851,7.0,2.004,-0.01293,0.000574,0.003622,0.04675,0.002632,59.1,0.05365,6.996,2.004,-0.01953,-0.0,0.00563,0.04617,0.03433,59.4,0.0,7.0,2.0,0.0,0.0,0.0
