time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738841382744354963,78.94,0.05905,6.984,3.008,-0.00789,0.000793,-0.005634,0.076,-0.1271,78.2,0.05356,7.0,3.008,0.0,-0.0,-0.006004,0.07666,-0.0372,82.2,0.0,7.0,3.0,0.0,0.0,0.0
1738841382794260978,79.06,0.0586,6.984,3.006,-0.00932,0.000609,-0.005634,0.0755,-0.1272,78.3,0.0536,7.0,3.008,0.0,-0.0,-0.006,0.0761,-0.0373,82.5,0.0,7.0,3.0,0.0,0.0,0.0
1738841382844271659,79.25,0.0581,6.984,3.004,-0.010605,0.000564,-0.005646,0.07526,-0.1272,78.5,0.0536,7.0,3.008,0.0,-0.0,-0.006012,0.0756,-0.0379,82.5,0.0,7.0,3.0,0.0,0.0,0.0
1738841382894273281,79.4,0.0576,6.984,3.002,-0.011856,0.000819,-0.005665,0.0752,-0.1272,78.75,0.0536,6.996,3.004,0.0,-0.0,-0.006023,0.07526,-0.03833,82.8,0.0,7.0,3.0,0.0,0.0,0.0
1738841382944263935,79.5,0.05692,6.984,3.002,-0.01318,0.001121,-0.005703,0.07513,-0.1272,78.8,0.0536,6.996,3.004,0.0,-0.0,-0.006027,0.07526,-0.03848,82.8,0.0,7.0,3.0,0.0,0.0,0.0
1738841382994265079,79.7,0.05627,6.984,3.0,-0.01438,0.001167,-0.005695,0.0751,-0.1272,78.94,0.0536,6.996,3.004,0.0,-0.0,-0.00612,0.0752,-0.03867,83.1,0.0,7.0,3.0,0.0,0.0,0.0
1738841383044270515,79.8,0.05554,6.984,2.998,-0.01556,0.00114,-0.00571,0.075,-0.1271,79.1,0.0536,7.0,3.0,-0.003906,-0.0,-0.006042,0.0751,-0.03894,83.1,0.0,7.0,3.0,0.0,0.0,0.0
1738841383094269752,80.0,0.0547,6.984,2.996,-0.01682,0.001163,-0.005707,0.075,-0.127,79.3,0.0536,6.996,3.0,-0.003906,-0.0,-0.00605,0.0751,-0.03918,83.4,0.0,7.0,3.0,0.0,0.0,0.0
1738841383144281864,80.1,0.05386,6.984,2.996,-0.01794,0.001144,-0.0057,0.075,-0.1268,79.44,0.0536,7.0,2.996,-0.007812,-0.0,-0.006054,0.0751,-0.03928,83.4,0.0,7.0,3.0,0.0,0.0,0.0
1738841383194270610,80.25,0.0529,6.984,2.994,-0.01917,0.001032,-0.005707,0.075,-0.1266,79.5,0.0536,7.0,2.996,-0.007812,-0.0,-0.006054,0.0751,-0.03928,83.7,0.0,7.0,3.0,0.0,0.0,0.0
