time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738777411420580863,0.9736,0.06494,5.984,-0.0178,-0.00803,0.8823,7.6e-05,-0.00656,-0.1243,0.989,0.0266,5.984,-0.007812,-0.007812,0.8867,-0.0002518,-0.00553,-0.03384,1.0,0.0,6.934,-0.0,0.0,0.9995,0.0
1738777411470617055,0.9727,0.0646,6.027,-0.0187,-0.007786,0.8965,6.5e-05,-0.005753,-0.12427,0.989,0.0266,6.016,-0.007812,-0.007812,0.8906,-0.0002453,-0.005875,-0.034,1.0,0.0,7.0,-0.0,0.0,1.0,0.0
1738777411520591259,0.9717,0.0642,6.07,-0.01884,-0.007637,0.907,9.2e-05,-0.004524,-0.1242,0.989,0.0266,6.062,-0.01172,-0.007812,0.9062,-0.0002623,-0.00484,-0.03436,1.0,0.0,7.0,-0.0,0.0,1.0,0.0
1738777411570629835,0.9707,0.06384,6.117,-0.01878,-0.007504,0.926,0.000111,-0.004246,-0.12415,0.989,0.0266,6.09,-0.01172,-0.007812,0.914,-0.0002773,-0.003975,-0.03418,1.0,0.0,7.1,-0.0,0.0,0.9985,0.0
1738777411620640039,0.9697,0.0635,6.16,-0.0184,-0.007446,0.938,0.000118,-0.003792,-0.12415,0.989,0.0266,6.156,-0.01172,-0.007812,0.9336,-0.0001993,-0.003544,-0.03366,1.0,0.0,7.1,-0.0,0.0,0.9985,0.0
1738777411670612335,0.9688,0.0631,6.21,-0.01823,-0.00733,0.944,8.8e-05,-0.004974,-0.12415,0.989,0.0266,6.188,-0.01172,-0.007812,0.9453,-0.0002053,-0.003197,-0.03357,1.0,0.0,7.2,-0.0,0.0,0.995,0.0
1738777411720602989,0.9683,0.06274,6.254,-0.01863,-0.007145,0.9463,3e-05,-0.00577,-0.12415,0.989,0.0266,6.234,-0.01172,-0.007812,0.953,-0.0001823,-0.004578,-0.0335,1.0,0.0,7.2,-0.0,0.0,0.995,0.0
1738777411770535469,0.9673,0.06238,6.305,-0.01932,-0.0069,0.9478,3.6e-05,-0.006077,-0.12415,0.989,0.0266,6.266,-0.01172,-0.007812,0.953,-0.000261,-0.005013,-0.03366,1.0,0.0,7.3,-0.0,0.0,0.989,0.0
1738777411820633172,0.9663,0.06204,6.35,-0.02,-0.006683,0.9487,5.9e-05,-0.006027,-0.1241,0.989,0.0266,6.332,-0.01172,-0.007812,0.953,-0.0002513,-0.00553,-0.034,1.0,0.0,7.3,-0.0,0.0,0.989,0.0
1738777411870587348,0.965,0.0617,6.4,-0.02065,-0.006462,0.95,8.3e-05,-0.005795,-0.124,0.989,0.0266,6.363,-0.01172,-0.007812,0.957,-0.0001659,-0.005444,-0.03418,1.0,0.0,7.4,-0.0,0.0,0.98,0.0
