time,x_sphinx,y_sphinx,z_sphinx,vx_sphinx,vy_sphinx,vz_sphinx,roll_sphinx,pitch_sphinx,yaw_sphinx,x_anafi,y_anafi,z_anafi,vx_anafi,vy_anafi,vz_anafi,roll_anafi,pitch_anafi,yaw_anafi,wp_x,wp_y,wp_z,wp_vx,wp_vy,wp_vz,wp_yaw
1738833811894925594,-0.05576,0.002266,6.46,-0.04163,-0.03403,2.139,-0.00473,-0.02055,0.005367,-0.00665,-0.02625,6.418,-0.02344,-0.03906,2.168,-0.002556,-0.01775,0.03497,0.0,0.0,6.832,0.0,0.0,1.993,0.0
1738833811944914102,-0.05817,0.000571,6.57,-0.0503,-0.03111,2.117,-0.005074,-0.02075,0.00513,-0.00665,-0.02625,6.504,-0.02734,-0.03516,2.133,-0.003056,-0.02179,0.03482,0.0,0.0,7.0,0.0,0.0,2.0,0.0
1738833811994920492,-0.06097,-0.000962,6.68,-0.05658,-0.02791,2.139,-0.00502,-0.01154,0.00484,-0.00665,-0.02625,6.64,-0.03906,-0.03125,2.121,-0.003225,-0.0167,0.03464,0.0,0.0,7.0,0.0,0.0,2.0,0.0
1738833812045043706,-0.0637,-0.002232,6.785,-0.05795,-0.02507,2.146,-0.004944,-0.006535,0.00462,-0.00665,-0.02625,6.676,-0.04297,-0.03125,2.133,-0.00321,-0.01091,0.03436,0.0,0.0,7.2,0.0,0.0,1.99,0.0
1738833812095047235,-0.0668,-0.003454,6.895,-0.05902,-0.02197,2.113,-0.006165,-0.01009,0.00445,-0.02414,-0.02625,6.816,-0.04297,-0.02734,2.137,-0.003405,-0.007195,0.0342,0.0,0.0,7.2,0.0,0.0,1.99,0.0
1738833812145060062,-0.0699,-0.004498,7.004,-0.06216,-0.01808,2.104,-0.00753,-0.01039,0.004333,-0.02414,-0.02625,6.9,-0.04297,-0.02734,2.11,-0.00459,-0.01089,0.03397,0.0,0.0,7.4,0.0,0.0,1.96,0.0
1738833812195017099,-0.07294,-0.00527,7.105,-0.0633,-0.01414,2.113,-0.00719,-0.004765,0.004208,-0.02414,-0.02625,7.047,-0.04688,-0.01953,2.105,-0.00565,-0.007328,0.0337,0.0,0.0,7.4,0.0,0.0,1.96,0.0
1738833812244930267,-0.0759,-0.00586,7.207,-0.06198,-0.01057,2.11,-0.006565,-0.002056,0.00411,-0.02414,-0.02625,7.074,-0.04688,-0.01953,2.11,-0.005257,-0.004574,0.03384,0.0,0.0,7.59,0.0,0.0,1.911,0.0
1738833812294880628,-0.07886,-0.006287,7.31,-0.06055,-0.0074,2.086,-0.006195,-0.003054,0.004017,-0.02414,-0.02625,7.21,-0.04688,-0.01172,2.098,-0.00453,-0.002514,0.03384,0.0,0.0,7.59,0.0,0.0,1.911,0.0
1738833812344923496,-0.082,-0.006584,7.414,-0.05917,-0.004116,2.074,-0.005844,-0.001474,0.003881,-0.02414,-0.02625,7.297,-0.04297,-0.01172,2.082,-0.0042,-0.00321,0.03384,0.0,0.0,7.777,0.0,0.0,1.842,0.0
1738833812394917726,-0.0848,-0.00671,7.516,-0.05652,-0.001228,2.07,-0.00554,0.001461,0.003738,-0.02414,-0.02625,7.43,-0.04297,-0.007812,2.07,-0.003798,6.425e-05,0.03384,0.0,0.0,7.777,0.0,0.0,1.842,0.0
1738833812444912195,-0.0876,-0.006695,7.62,-0.05234,0.001723,2.066,-0.00532,0.003345,0.003637,-0.04163,-0.02625,7.47,-0.03906,-0.003906,2.066,-0.0036,0.001615,0.03384,0.0,0.0,7.957,0.0,0.0,1.755,0.0
1738833812494903326,-0.09,-0.00655,7.723,-0.04822,0.0043,2.053,-0.005253,0.002989,0.003527,-0.04163,-0.02625,7.605,-0.03516,0.0,2.059,-0.0034,0.003164,0.03366,0.0,0.0,7.957,0.0,0.0,1.755,0.0
1738833812544902801,-0.0924,-0.006252,7.83,-0.044,0.007053,2.047,-0.005184,0.003323,0.003454,-0.04163,-0.02625,7.688,-0.03125,0.0,2.047,-0.00332,0.002731,0.03348,0.0,0.0,8.13,0.0,0.0,1.65,0.0
1738833812594927549,-0.0944,-0.005856,7.926,-0.0396,0.009384,2.045,-0.004288,0.00452,0.003393,-0.04163,-0.02625,7.82,-0.02344,0.0,2.043,-0.003132,0.003765,0.0334,0.0,0.0,8.13,0.0,0.0,1.65,0.0
1738833812644937038,-0.0964,-0.005314,8.03,-0.0344,0.011215,2.04,-0.002802,0.005096,0.003319,-0.04163,-0.02625,7.86,-0.02344,0.003906,2.04,-0.002256,0.00444,0.03333,0.0,0.0,8.29,0.0,0.0,1.529,0.0
1738833812694915771,-0.098,-0.0047,8.14,-0.02948,0.01234,2.023,-0.001793,0.003887,0.00326,-0.04163,-0.02625,7.94,-0.01953,0.003906,2.04,-0.001128,0.004852,0.03323,0.0,0.0,8.29,0.0,0.0,1.529,0.0
1738833812744920969,-0.0993,-0.00409,8.234,-0.02545,0.01297,2.012,-0.001101,0.003723,0.003252,-0.04163,-0.02625,8.07,-0.01172,0.007812,2.02,0.000142,0.003365,0.03305,0.0,0.0,8.44,0.0,0.0,1.394,0.0
1738833812794921159,-0.10046,-0.00346,8.33,-0.02151,0.01331,1.996,-0.000653,0.003319,0.003223,-0.04163,-0.02625,8.2,-0.007812,0.007812,2.0,0.000917,0.003265,0.033,0.0,0.0,8.44,0.0,0.0,1.394,0.0
1738833812844940185,-0.10144,-0.002762,8.44,-0.01736,0.01347,1.974,-0.000315,0.003681,0.003258,-0.0591,-0.02625,8.24,-0.007812,0.007812,1.992,0.001172,0.003002,0.033,0.0,0.0,8.57,0.0,0.0,1.243,0.0
1738833812894972324,-0.1022,-0.002113,8.53,-0.01451,0.013504,1.916,-0.000223,-0.001189,0.003258,-0.0591,-0.02625,8.37,-0.003906,0.007812,1.953,0.001588,0.002047,0.0329,0.0,0.0,8.57,0.0,0.0,1.243,0.0
1738833812944977045,-0.10297,-0.001412,8.625,-0.01389,0.0135,1.87,-0.000153,-0.003101,0.003302,-0.0591,-0.02625,8.445,0.0,0.007812,1.91,0.001508,-0.002787,0.033,0.0,0.0,8.68,0.0,0.0,1.081,0.0
1738833812994968175,-0.1036,-0.000764,8.71,-0.0135,0.013466,1.778,-0.000146,-0.006138,0.003307,-0.0591,-0.02625,8.57,0.0,0.007812,1.832,0.001664,-0.003826,0.0328,0.0,0.0,8.68,0.0,0.0,1.081,0.0
1738833813044973850,-0.1043,-6.6e-05,8.805,-0.01511,0.01341,1.708,-0.00012,-0.00705,0.003365,-0.0591,-0.02625,8.6,0.0,0.007812,1.773,0.001611,-0.007107,0.03262,0.0,0.0,8.78,0.0,0.0,0.907,0.0
